director_name,num_critic_for_reviews,duration,gross,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Robert Adetuyi,5,91,,Shane Pollard,Chase Armitage,,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,English,PG-13,2011,152,4.5,0
Kari Skogland,76,117,,Jim Sturgess,Michael McElhatton,1980s|ira|near death experience|title directed by female|what happened to epilogue,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,English,R,2008,2000,6.9,0
Taedong Park,8,85,,Drake Bell,Amanda Troop,,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,English,,2014,618,4.8,186
Paul Schrader,75,106,,Veronica Ferres,Derek Jacobi,circus|dog|entertainer|holocaust|patient,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,English,R,2008,744,6.3,589
Benedikt Erlingsson,66,81,11835,Ingvar Eggert Sigurðsson,Sigríður María Egilsdóttir,barbed wire|barbed wire fence|horse|nature|snowstorm,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,Icelandic,,2013,10,6.9,1000
Gurinder Chadha,31,100,,Sendhil Ramamurthy,Shabana Azmi,afterlife|indian|murder|overweight woman|police,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,English,PG-13,2010,891,5.4,695
Jason Connery,32,90,,Ray Winstone,Jason London,desert|mercenary|priest|scientist|war veteran,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,English,R,2009,898,3.8,486
Vic Sarin,17,116,,Jimi Mistry,John Light,india|love|muslim|pakistan|sikh,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,English,R,2007,136,7.0,746
Jim Issa,4,84,,Elaine Hendrix,Jon Gries,,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,English,PG-13,2010,608,5.2,119
Jee-woon Kim,152,135,128486,Kang-ho Song,Dal-su Oh,bounty hunter|manchuria|map|train|treasure,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,Korean,R,2008,149,7.3,0
