director_name,actor_2_name,genres,movie_title,actor_3_name,plot_keywords,country,content_rating,title_year,movie_facebook_likes
J.A. Bayona,Belén Rueda,Drama|Mystery|Thriller,The Orphanage ,Fernando Cayo,dead children|ghost|missing child|orphan|orphanage,Spain,R,2007,11000
Michael Tiddes,Essence Atkins,Comedy|Fantasy,A Haunted House 2 ,Gabriel Iglesias,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,USA,R,2014,0
Roger Avary,Faye Dunaway,Comedy|Drama|Romance,The Rules of Attraction ,Clifton Collins Jr.,bisexual|college|drug dealer|drugs|student,USA,R,2002,0
Alfred Hitchcock,John Vernon,Drama|Thriller,Topaz ,Philippe Noiret,1960s|agent|cuba|intelligence|spy,USA,M,1969,414
Bob Odenkirk,Chi McBride,Comedy|Crime,Let's Go to Prison ,Amy Hill,illinois|judge|male full back nudity|revenge|wine tasting,USA,R,2006,931
Allison Anders,Alicia Witt,Comedy|Fantasy,Four Rooms ,Lili Taylor,bellhop|coven|gangster|hotel|new year's eve,USA,R,1995,0
Steven Shainberg,Stephen McHattie,Comedy|Drama|Romance,Secretary ,Lesley Ann Warren,bdsm|employer employee relationship|hospital|mental hospital|secretary,USA,R,2002,15000
Rick de Oliveira,Alan Taylor,Documentary,The Real Cancun ,Benjamin Fletcher,cancun mexico|mexico|spring break|vacation|wisconsin,USA,R,2003,131
Oliver Stone,Zach Grenier,Drama,Talk Radio ,Bill Johnson,listener|neo nazi|radio|radio station|radio talk show,USA,R,1988,816
Christopher Guest,Fred Willard,Comedy,Waiting for Guffman ,Larry Miller,amateur theater|dentist|missouri|small town|travel agent,USA,R,1996,0
Jeff Franklin,Tyra Banks,Comedy,Love Stinks ,Bridgette Wilson-Sampras,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,USA,R,1999,309
John Dahl,Aaron Hughes,Comedy|Crime|Romance|Thriller,You Kill Me ,Jayne Eastwood,alcoholic|buffalo new york|claim in title|embalming|mortuary,USA,R,2007,830
Mike Mills,Lou Taylor Pucci,Comedy|Drama,Thumbsucker ,Nancy O'Dell,attention deficit disorder|debate|drugs|psychologist|school,USA,R,2005,708
Kevin Smith,Michael Angarano,Action|Crime|Horror|Thriller,Red State ,Stephen Root,atf agent|ball gag|cult leader|pastor|pretending to be dead,USA,R,2011,16000
Dave McKean,Gina McKee,Adventure|Fantasy,Mirrormask ,Rob Brydon,circus|dark fantasy|dream|dream world|fantasy world,UK,PG,2005,0
Ron Fricke,Balinese Tari Legong Dancers,Documentary|Music,Samsara ,Puti Sri Candra Dewi,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,USA,PG-13,2011,26000
Ruggero Deodato,Eva LaRue,Adventure|Fantasy,The Barbarians ,Richard Lynch,bare breasts|comic relief|dragon|gladiator|harem,USA,R,1987,550
Gavin Wiesen,Blair Underwood,Drama|Romance,The Art of Getting By ,Rita Wilson,art teacher|artist|high school|homework|principal,USA,PG-13,2011,0
Mora Stephens,Alexandra Breckenridge,Drama|Thriller,Zipper ,Elena Satine,escort|f word|no opening credits|one word title|prosecutor,USA,R,2015,987
