actor_2_name,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,imdb_score,movie_facebook_likes
John Doman,2955039,Biography|Drama|Sport,Emma Bell,Gracie ,3624,Carly Schroeder,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,27,USA,PG-13,9000000,6.2,313
Garry Shandling,1530535,Comedy|Drama|Romance,Billy Crudup,Trust the Man ,7833,Dagmara Dominczyk,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,63,USA,R,9000000,5.7,215
Amy Poehler,4881867,Comedy|Music,Steve Coogan,Hamlet 2 ,15200,David Arquette,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,76,USA,R,9000000,6.4,1000
Eddie Izzard,1043487,Drama|Music,Christian Bale,Velvet Goldmine ,27766,Janet McTeer,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,314,UK,R,,7.0,0
Jun Kunimura,770629,Fantasy|Horror|Mystery|Thriller,Jung-min Hwang,The Wailing ,2379,Woo-hee Chun,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,24,South Korea,Not Rated,,7.7,0
Heather Morris,11860839,Documentary|Music,Lea Michele,Glee: The 3D Concert Movie ,5156,Kevin McHale,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,21,USA,PG,9000000,5.4,0
Chatchai Plengpanich,454255,Action|Adventure|Drama|History|War,Sarunyu Wongkrachang,The Legend of Suriyothai ,1666,Mai Charoenpura,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,47,Thailand,R,400000000,6.6,124
Adrienne Barbeau,349618,Horror,John Amos,Two Evil Eyes ,4302,Sally Kirkland,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,45,Italy,R,9000000,6.1,375
Julie Engelbrecht,,Comedy,Lambert Wilson,Barbecue ,1673,Lionel Abelanski,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,1,France,,,6.1,348
Ruth Sheen,112935,Drama,Lesley Manville,All or Nothing ,8161,Gary McDonald,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,94,UK,R,9000000,7.6,484
Will Patton,883887,Drama,Q'orianka Kilcher,Princess Kaiulani ,1201,Shaun Evans,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,14,USA,PG,9000000,6.2,0
Vince Colosimo,13751,Drama|Family,Jacqueline McKenzie,Opal Dream ,813,Peter Callan,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,6,Australia,PG,11400000,6.6,135
Joshua Mikel,,Action|Crime|Thriller,Robert De Niro,Heist ,16198,D.B. Sweeney,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,USA,R,19000000,6.1,0
Thure Lindhardt,145109,Drama|History|Thriller|War,Lars Mikkelsen,Flame and Citron ,14247,Christian Berkel,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,44,Denmark,Not Rated,45000000,7.3,0
Kip Pardue,1046166,Comedy|Music|Romance,Fisher Stevens,Undiscovered ,2599,Perrey Reeves,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,45,Germany,PG-13,9000000,4.2,128
Warren Clarke,,Crime|Drama|Mystery|Thriller,Andrew Garfield,Red Riding: In the Year of Our Lord 1974 ,9305,John Henshaw,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,44,UK,Not Rated,,7.1,0
Ronit Elkabetz,2874,Drama,Catherine Deneuve,The Girl on the Train ,1219,Émilie Dequenne,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,14,France,Unrated,,6.0,120
Erika Christensen,,Drama|Romance,Sarah Michelle Gellar,Veronika Decides to Die ,10100,Jonathan Tucker,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,42,USA,R,9000000,6.5,3000
Linda Kozlowski,174635000,Adventure|Comedy,Paul Hogan,Crocodile Dundee ,74743,David Gulpilil,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,93,Australia,PG-13,8800000,6.5,0
Steven Waddington,,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Sean Pertwee,"Ultramarines: A Warhammer 40,000 Movie ",4990,Donald Sumpter,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,64,UK,R,,5.7,0
Sarah Polley,,Mystery|Sci-Fi|Thriller,Stephen Graham,The I Inside ,9296,Stephen Rea,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,57,UK,R,8800000,6.1,458
Gyton Grantley,,Drama|History|War,Harrison Gilbertson,Beneath Hill 60 ,5741,Steve Le Marquand,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,39,Australia,R,9000000,7.1,0
Maïwenn,171320,Crime|Drama,Riccardo Scamarcio,Polisse ,10796,Karin Viard,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,33,France,Not Rated,,7.3,0
Fisher Stevens,14373825,Crime|Mystery|Thriller,Hayden Christensen,Awake ,63216,Denis O'Hare,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,196,USA,R,8600000,6.5,0
James Arnold Taylor,,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Dee Bradley Baker,Star Wars: The Clone Wars             ,28190,Tom Kane,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,73,USA,TV-PG,,7.9,2000
Mike Dopud,162,Action|Crime|Thriller,Michael Jai White,Skin Trade ,5228,Celina Jade,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,38,Thailand,R,9000000,5.7,0
Jami Gertz,32222567,Comedy|Fantasy|Horror,Dianne Wiest,The Lost Boys ,92924,Jason Patric,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,339,USA,R,,7.2,19000
Beth Grant,39462438,Drama|Music|Romance,Jeff Bridges,Crazy Heart ,67760,Debrianna Mansini,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,226,USA,R,7000000,7.3,0
Frederic Forrest,29200000,Drama|Music|Romance,David Keith,The Rose ,6142,Alan Bates,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,52,USA,R,8500000,6.9,1000
Christina Milian,21564616,Comedy,Djimon Hounsou,Baggage Claim ,7098,Boris Kodjoe,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,41,USA,PG-13,8500000,5.0,0
David Hemmings,,Adventure|Comedy|Fantasy|Sci-Fi,Jane Fonda,Barbarella ,24436,Milo O'Shea,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,186,France,PG,9000000,5.9,0
Louisa Milwood-Haigh,,Adventure|Family,Bjørn Sundquist,Shipwrecked ,1984,Stian Smestad,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,14,Norway,PG,60000000,6.7,278
Chris Klein,14879556,Comedy|Drama,Matthew Broderick,Election ,73640,Molly Hagan,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,441,USA,R,8000000,7.3,0
Brooke Smith,13569248,Drama,Jacinda Barrett,The Namesake ,16530,Tabu,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,117,USA,PG-13,,7.6,0
Romany Malco,34017854,Comedy,Bella Thorne,The DUFF ,51326,Skyler Samuels,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,116,USA,PG-13,8500000,6.5,8000
Max Beesley,4273372,Drama|Music|Romance,Mariah Carey,Glitter ,19412,Valarie Pettiford,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,308,USA,PG-13,22000000,2.1,0
Cicely Tyson,,Drama|Horror|Mystery|Thriller,Abigail Spencer,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,Brad James,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,57,USA,R,9000000,5.3,0
Sung-kee Ahn,,Action|Drama,Yu-mi Jeong,Silmido ,3290,Kyung-gu Sol,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,17,South Korea,,8000000,7.2,387
Paul Schneider,4440055,Biography|Drama|Romance,Abbie Cornish,Bright Star ,21360,Samuel Roukin,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,110,UK,PG,8500000,7.0,0
Jimmy Shergill,4018695,Adventure|Drama|Thriller,Shah Rukh Khan,My Name Is Khan ,69759,Christopher B. Duncan,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,235,India,PG-13,12000000,8.0,27000
Chris Penn,80000000,Drama|Music|Romance,Dianne Wiest,Footloose ,51459,Lori Singer,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,USA,PG,8200000,6.5,0
