num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_name,actor_3_name
308,568,Kevin Grevioux,Caitlin Stasey,Miranda Otto
127,25,Barney Clark,Ian McNeice,Tony Noble
196,1000,Cary-Hiroyuki Tagawa,Jennifer Garner,Goran Visnjic
339,6000,Bruce Willis,Joseph Gordon-Levitt,Eva Green
96,970,Kristin Scott Thomas,Harrison Ford,Bill Cobbs
361,221,Martin Henderson,Michael Kelly,Tom Goodman-Hill
226,16,David Calder,Michael Smiley,Simon Chandler
194,481,Josh Zuckerman,Verne Troyer,Robert Wagner
138,668,Charlize Theron,Nicolas Cage,Dee Bradley Baker
308,191,Ariana Richards,Wayne Knight,Bob Peck
40,812,Catherine O'Hara,Dennis Quaid,Isabella Rossellini
42,672,Dean Jones,Harrison Ford,Raymond Cruz
68,7,Peng Lin,Si Won Choi,Sung-jun Yoo
78,723,Brittany Daniel,Chazz Palminteri,John Witherspoon
178,563,Thomas Kretschmann,Matthew McConaughey,David Keith
75,452,Samantha Mathis,Shawna Waldron,Wendie Malick
150,645,Romany Malco,Justin Timberlake,Verne Troyer
113,867,Bokeem Woodbine,Jon Lovitz,Ice-T
596,1000,Jennifer Jason Leigh,Craig Stark,Zoë Bell
191,970,Amy Poehler,Will Ferrell,Jon Heder
156,439,Elizabeth Perkins,Gary Cole,Chelsea Handler
460,447,Michael Fassbender,Gerard Butler,Vincent Regan
141,708,Blythe Danner,Robert De Niro,Teri Polo
180,664,Kathleen Turner,Eric Dane,Haley Bennett
186,693,Jeffrey DeMunn,Tom Hanks,Michael Jeter
177,311,Tichina Arnold,Jill Hennessy,Drew Sidora
161,397,Fred Willard,Catherine O'Hara,Amy Sedaris
568,625,Sela Ward,Patrick Fugit,Emily Ratajkowski
249,73,Josh Hamilton,Matt Damon,Nicky Naudé
137,345,Joe Don Baker,Izabella Scorupco,Tchéky Karyo
113,475,Timothy Hutton,Daniel von Bargen,Clarence Williams III
213,576,Noah Emmerich,Natascha McElhone,Peter Krause
120,145,Aria Noelle Curzon,Martin Short,Eden Riegel
81,522,Lisa Edelstein,Anjelica Huston,Jeff Garlin
265,459,Patrick Fischler,Denzel Washington,Fred Ward
105,405,Elizabeth Perkins,Carol Ann Susi,Miriam Margolyes
155,82,Charlize Theron,Jason Statham,Jimmy Shubert
118,268,Alicia Witt,Dorian Missick,Dana Ivey
131,754,Woody Allen,Sylvester Stallone,Anne Bancroft
166,721,Kristin Davis,Jon Favreau,Tasha Smith
60,695,Robert Duvall,Tom Cruise,Randy Quaid
77,2000,Tom Welling,Taylor Lautner,Alyson Stoner
249,240,Lili Taylor,Ki Hong Lee,Rosa Salazar
213,745,Julia Roberts,James Franco,Billy Crudup
121,627,Don Cheadle,Nicolas Cage,Amber Valletta
315,357,Morgan Freeman,Bruce Willis,Jaqueline Fleming
171,1000,Dennis Quaid,Al Pacino,LL Cool J
96,380,Kristin Scott Thomas,Scarlett Johansson,Jessalyn Gilsig
299,680,Jada Pinkett Smith,Tom Cruise,Debi Mazar
167,416,Roger Rees,Dwayne Johnson,Bernard Hill
125,579,Jay Hernandez,Billy Burke,Jacinda Barrett
387,1000,Robert Duvall,Tom Cruise,David Oyelowo
199,811,Michael Rapaport,LL Cool J,Saffron Burrows
136,6,Mekia Cox,Misha Gabriel Hamilton,Judith Hill
436,175,Monique Gabriela Curnen,Matt Damon,Griffin Kane
73,226,Dyan Cannon,Estella Warren,Bill Hunter
310,57,Dawn French,Jennifer Saunders,John Hodgman
323,751,Alan Ruck,Zooey Deschanel,Kristen Connolly
171,451,Radha Mitchell,Denzel Washington,Giancarlo Giannini
76,722,Joel David Moore,Robert Downey Jr.,Kristin Davis
173,767,Carmen Electra,Snoop Dogg,Fred Williamson
81,626,Harvey Korman,Jim Belushi,Jake Lloyd
242,160,Rupert Evans,James Babson,Brian Steele
110,521,Kathleen Quinlan,Robert Duvall,Sydney Pollack
328,586,Kodi Smit-McPhee,Anna Kendrick,Elaine Stritch
83,460,Bruce Willis,J.K. Simmons,Sophie Okonedo
196,716,Joe Morton,Ivana Milicevic,Callum Rennie
34,672,Stockard Channing,Joe Mantegna,Raymond Cruz
118,903,Matthew Broderick,Emma Watson,Frank Langella
8,402,Oliver Hudson,Bianca Kajlich,Adhir Kalyan
81,107,Debi Mazar,Romany Malco,Ritchie Coster
47,488,Brenda Bakke,Peter Greene,Patrick Kilpatrick
313,288,Nonso Anozie,Colm Feore,Gemma Chan
315,14000,Robert De Niro,Jennifer Lawrence,Bradley Cooper
225,864,Radha Mitchell,Gerard Butler,Julian Kostov
223,672,Michael Wincott,Gary Dourdan,Raymond Cruz
198,295,Ned Beatty,Tate Donovan,Louis Ferreira
219,642,Dee Bradley Baker,Isaac Hempstead Wright,Tracy Morgan
92,944,Dianne Wiest,Goran Visnjic,Stockard Channing
435,2000,Will Ferrell,Morgan Freeman,Alison Brie
