director_name,duration,director_facebook_likes,actor_2_name,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,imdb_score
Chris Stokes,81,548,Rachel Sterling,,Kristen Quintrall,1561,609,0,21,English,USA,R,2012,134,4.2
Mark Griffiths,84,4,Gina Holden,,Eric Mabius,1929,1932,2,4,English,USA,TV-G,2012,346,6.3
Bruce Macdonald,94,103,Cheryl Ladd,,Rachel Hendrix,724,1150,1,15,English,South Africa,PG,2014,476,4.7
Timur Bekmambetov,141,335,Ayelet Zurer,,Morgan Freeman,67,13391,2,1,English,USA,PG-13,2016,744,6.0
Fred Zinnemann,120,160,Susannah York,,Robert Shaw,23713,1238,0,167,English,UK,Approved,1966,269,7.9
Sidney Lumet,121,0,Faye Dunaway,,Robert Duvall,103493,5987,0,317,English,USA,R,1976,977,8.1
Victor Fleming,226,149,George Reeves,198655278,Hattie McDaniel,215340,1862,1,706,English,USA,G,1939,384,8.2
Richard Raymond,104,10,Reece Ritchie,143653,Tom Cullen,1177,1281,0,10,English,UK,PG-13,2014,236,6.0
Sam Peckinpah,152,541,Slim Pickens,14873,James Coburn,5294,2888,2,67,English,USA,Approved,1965,575,6.8
Alan Jacobs,92,2,Laz Alonso,,Snoop Dogg,257,3229,3,6,English,USA,R,2009,826,7.3
George Sidney,107,24,Howard Keel,8000000,Keenan Wynn,3167,731,0,90,English,USA,Passed,1950,244,7.0
Christopher Morris,97,69,Riz Ahmed,304137,Kayvan Novak,55982,1269,0,148,English,UK,R,2010,365,7.3
Andrucha Waddington,115,6,Seu Jorge,,Fernanda Montenegro,2650,222,1,35,Portuguese,Brazil,R,2005,69,7.5
Peter Stebbings,95,89,Tony Nappo,37606,Michael Kelly,31836,2658,0,90,English,Canada,R,2009,654,6.8
Vincente Minnelli,102,136,Reginald Owen,2956000,Gladys Cooper,3258,282,0,54,English,USA,Approved,1948,78,7.1
Dagur Kári,99,29,Susan Blommaert,19959,Alice Olivia Clarke,3579,298,2,14,English,Iceland,R,2009,64,6.9
Nicholas Hytner,109,13,Russell Tovey,2706659,Dominic Cooper,17770,5977,0,172,English,UK,R,2006,796,6.9
Jaume Collet-Serra,113,174,Frank Langella,61094903,Liam Neeson,210548,17151,3,332,English,UK,PG-13,2011,902,6.9
,25,,Jamie Farr,,David Ogden Stiers,36265,2195,5,147,English,USA,TV-PG,,421,8.4
John Schlesinger,113,154,Barnard Hughes,,Brenda Vaccaro,76616,465,2,334,English,USA,X,1969,89,7.9
Peter Cattaneo,91,11,Mark Addy,45857453,Tom Wilkinson,82232,2323,3,174,English,UK,R,1997,891,7.2
Jim Abrahams,88,104,Lloyd Bridges,83400000,Peter Graves,160281,2726,0,427,English,USA,PG,1980,575,7.8
Kevin Carraway,88,2,Max Ryan,,Michael Jai White,801,2886,3,14,English,USA,R,2015,872,3.5
F. Gary Gray,97,473,John Witherspoon,27900000,Nia Long,74626,3455,1,157,English,USA,R,1995,723,7.3
Albert Hughes,97,117,Larenz Tate,27900000,Jada Pinkett Smith,39508,3036,2,96,English,USA,R,1993,582,7.5
,42,,Gabourey Sidibe,,Ta'Rhonda Jones,27418,4337,2,92,English,USA,TV-14,,906,7.8
Michael Gornick,85,10,Holt McCallany,14000000,George Kennedy,15956,3617,0,118,English,USA,R,1987,273,6.0
Sam Peckinpah,121,541,Jason Robards,,Slim Pickens,6350,1970,2,62,English,USA,R,1970,372,7.3
Richard Brooks,134,174,Robert Blake,,John Forsythe,19026,970,1,128,English,USA,Approved,1967,220,8.0
Fred Zinnemann,149,160,Peter Finch,,Colleen Dewhurst,7071,646,0,83,English,USA,Not Rated,1959,139,7.6
Jack Smight,121,22,Robert Wagner,,Janet Leigh,5941,2402,1,74,English,USA,Not Rated,1966,481,7.0
Alfred Hitchcock,116,13000,Jean Marsh,,Bernard Cribbins,30982,771,0,199,English,UK,R,1972,146,7.5
Robert Eggers,92,22,Kate Dickie,25138292,Julian Richings,66483,1122,0,452,English,USA,R,2015,191,6.8
Michael Martin,93,0,Master P,10305534,Joe Estevez,1721,987,2,38,English,USA,R,1998,118,3.9
Edward Burns,96,0,Frank Vincent,9449219,John Mahoney,13949,995,2,98,English,USA,R,1996,356,6.1
Bill Condon,105,386,Lynn Redgrave,6390032,Brendan Fraser,24977,4238,2,229,English,USA,R,1998,258,7.5
Juan José Campanella,129,195,Soledad Villamil,20167424,Ricardo Darín,131831,1044,0,231,Spanish,Argentina,R,2009,88,8.2
George A. Romero,87,0,John Amplas,,Greg Nicotero,49672,1592,1,419,English,USA,Unrated,1985,177,7.2
Gideon Raff,94,47,Gloria Votsis,,Gideon Emery,4790,836,1,52,English,USA,R,2008,209,4.8
