num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,cast_total_facebook_likes,facenumber_in_poster,language,content_rating
156,107,5000,24343673,5405,0,English,PG-13
323,10000,29000,22877808,53895,0,English,R
199,795,13000,36883539,15053,2,English,PG-13
164,510,14000,22531698,15990,0,English,PG-13
39,322,2000,20400913,3855,1,English,R
43,451,905,20101861,2348,0,English,PG-13
82,553,1000,25200412,3423,3,English,PG
150,19,723,19719930,793,0,English,R
168,2000,11000,19377727,24351,3,English,PG-13
432,20,409,13401683,578,0,English,R
60,579,1000,17300889,3855,0,English,PG
85,820,13000,15527125,15006,2,English,PG-13
83,805,12000,13560960,21130,0,English,R
343,501,854,15523168,2507,2,English,PG-13
106,855,3000,11146409,6558,0,English,R
158,826,23000,7916887,26982,0,English,R
189,10,879,6565495,949,2,Mandarin,R
125,61,12000,15279680,12166,1,English,R
87,865,11000,7262288,13917,2,English,PG-13
115,50,267,4584886,538,0,English,R
23,114,164,,654,9,French,TV-MA
24,269,849,2154540,2457,2,English,R
152,104,219,8129455,661,1,English,PG
12,500,719,,3090,0,English,PG
656,650,1000,136019448,3133,1,English,R
119,812,11000,183875760,13357,1,English,PG-13
161,789,18000,67061228,21554,1,English,PG-13
73,893,22000,53300852,37076,3,English,R
96,668,13000,150415432,15662,0,English,R
28,643,23000,44834712,26907,1,English,R
105,40,1000,84300000,1178,0,English,Approved
102,678,12000,1500000,14255,0,English,R
206,520,956,62318875,2998,1,English,R
159,287,11000,5773519,12876,2,English,PG-13
137,225,670,51768623,1801,1,English,PG-13
116,664,12000,37035515,23864,1,English,PG-13
177,5000,11000,24520892,22383,1,English,R
99,16,44,24430272,132,3,English,R
56,957,10000,158348400,14244,0,English,R
117,135,405,31136950,1066,1,English,PG-13
252,350,26000,29113588,27834,0,English,R
375,839,17000,138447667,19968,2,English,R
150,427,8000,116006080,9255,1,English,PG-13
187,206,579,106793915,1817,0,English,G
108,650,22000,87856565,24534,1,English,PG-13
21,547,723,70100000,3841,1,English,R
270,749,975,159578352,4825,7,English,R
72,595,940,57750000,2957,2,English,Approved
154,491,4000,45290318,6727,2,English,PG
114,505,11000,41543207,15571,1,English,PG-13
27,292,12000,41252428,13716,0,English,PG-13
166,395,650,35228696,1651,0,English,PG-13
288,412,468,59992760,2134,1,English,R
117,275,683,34667015,2371,0,English,PG-13
291,913,10000,37652565,15369,2,English,PG-13
151,808,22000,24375436,33585,1,English,R
36,687,5000,20915465,7723,0,English,PG
168,16,12000,24127895,12076,2,English,R
283,576,5000,84961,6229,4,Mandarin,PG-13
127,497,922,26404753,3301,1,English,PG-13
293,365,11000,6105175,12239,4,English,R
95,433,624,5664251,2056,1,English,R
4,253,870,,1610,1,English,TV-G
213,52,1000,1260917,1342,4,French,R
119,196,1000,116724075,1954,0,English,R
9,6,326,,488,0,French,
167,996,13000,56083966,18761,1,English,PG-13
98,96,687,22108977,1134,1,English,PG-13
234,766,13000,293501675,17540,0,English,PG-13
258,54,107,18600911,362,6,English,PG-13
108,296,734,7204138,2085,0,English,PG
81,225,668,90800000,2004,0,English,PG
538,14000,34000,150117807,83012,5,English,R
224,723,16000,163947053,18656,1,English,PG-13
129,298,984,116735231,2129,0,English,R
125,690,1000,118500000,3660,0,English,PG
433,903,19000,126546825,32325,0,English,R
362,716,1000,166147885,4585,0,English,R
93,2000,13000,111760631,22935,3,English,PG
71,1000,18000,108706165,31349,3,English,R
104,597,3000,138614544,7014,15,English,PG
319,127,480,125069696,1261,0,English,R
41,251,15000,107458785,16751,3,English,PG
300,336,1000,102310175,2676,0,English,R
556,81,10000,96917897,10555,0,English,PG-13
161,49,97,93952276,318,7,English,PG-13
151,807,2000,90703745,5855,8,English,PG-13
212,71,287,89138076,600,4,English,R
111,690,1000,87666629,3986,0,English,PG
173,723,8000,90353764,12556,2,English,R
181,10000,18000,82522790,42220,0,English,R
252,923,11000,94125426,13321,2,English,PG-13
216,898,11000,95001343,16911,0,English,PG-13
203,1000,22000,81292135,36810,1,English,R
218,839,13000,86208010,16179,1,English,PG-13
118,249,23000,81593527,24300,1,English,PG
241,808,22000,75274748,36010,2,English,PG-13
119,655,2000,90835030,5178,0,English,PG-13
89,322,855,72455275,2144,1,English,R
209,748,904,75305995,5074,0,English,PG-13
374,175,3000,74098862,3924,1,English,R
235,882,2000,72266306,6775,4,English,PG-13
215,257,24000,71347010,28928,2,English,R
109,398,700,70836296,2842,2,English,PG-13
125,4,433,70405498,698,1,English,R
65,633,17000,70163652,19334,0,English,PG-13
