genres,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,country,aspect_ratio,movie_facebook_likes
Drama|Romance|Sport,Blue Crush ,Sanoe Lake,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,216,USA,1.85,0
Comedy|Drama|Fantasy|Romance,Stranger Than Fiction ,Danny Rhodes,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,529,USA,1.85,13000
Horror,30 Days of Night ,Megan Franich,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,527,USA,2.35,0
Fantasy|Horror|Mystery|Thriller,The Cabin in the Woods ,Kristen Connolly,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,986,USA,2.35,66000
Comedy,Meet the Spartans ,Method Man,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,409,USA,1.85,0
Action|Comedy|Crime|Thriller,Midnight Run ,Philip Baker Hall,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,215,USA,1.85,0
Action|Crime|Sci-Fi|Thriller,The Running Man ,Richard Dawson,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,226,USA,1.37,0
Comedy|Horror|Musical|Sci-Fi,Little Shop of Horrors ,Tisha Campbell-Martin,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,165,USA,1.85,0
Action|Drama|Thriller,Hanna ,John Macmillan,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,438,USA,2.35,38000
Drama|Mystery,The Family             ,Liam James,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,30,USA,16.0,0
Action|Adventure|Fantasy|Sci-Fi|Thriller,Mortal Kombat: Annihilation ,Robin Shou,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,256,USA,1.85,1000
Comedy|Drama|Romance,Larry Crowne ,Randall Park,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,184,USA,2.35,0
Drama|Fantasy|Horror,Carrie ,Portia Doubleday,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,USA,2.35,39000
Drama|Music,Take the Lead ,Jasika Nicole,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,127,USA,1.85,0
Comedy|Drama,Entourage             ,Kevin Dillon,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,145,USA,1.78,0
Crime|Drama|Sport,Gridiron Gang ,Kevin Dunn,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,134,USA,2.35,0
Comedy|Crime,What's the Worst That Could Happen? ,Richard Schiff,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,84,USA,1.85,304
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,9 ,Tom Kane,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,245,USA,1.85,13000
Crime|Drama|Thriller,Side Effects ,Katie Lowes,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,274,USA,1.85,29000
Comedy|Family|Romance,The Prince and Me ,Luke Mably,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,154,USA,1.85,0
Adventure|Animation|Comedy|Family|Musical,Winnie the Pooh ,Huell Howser,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,55,USA,1.85,0
Comedy,Dumb and Dumberer: When Harry Met Lloyd ,Cheri Oteri,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,267,USA,1.37,1000
Comedy|Drama|Romance,Bulworth ,Graham Beckel,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,227,USA,1.85,0
Biography|Drama|Music,Get on Up ,Aunjanue Ellis,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,104,USA,1.85,11000
Drama,One True Thing ,Tom Everett Scott,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,112,USA,1.85,592
Action|Crime|Sci-Fi|Thriller,Virtuosity ,Traci Lords,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,88,USA,2.35,0
Comedy|Romance|Sci-Fi,My Super Ex-Girlfriend ,Wanda Sykes,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,203,USA,2.35,1000
Horror|Mystery|Thriller,Deliver Us from Evil ,Edgar Ramírez,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,201,USA,2.35,18000
Adventure|Drama|Thriller,Sanctum ,Richard Roxburgh,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,215,USA,1.85,11000
Comedy|Drama|Romance,Little Black Book ,Dave Annable,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,116,USA,2.35,484
Comedy|Romance,The Five-Year Engagement ,David Paymer,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,141,USA,1.85,11000
