director_name,director_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,language,country,title_year
Colin Minihan,6,Mackenzie Gray,Grave Encounters ,762,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,English,Canada,2011
Conor McMahon,5,Peter McQuinn,Stitches ,322,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,English,Ireland,2012
Chris Shadley,0,Daniel Baldwin,Nine Dead ,1149,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,English,USA,2010
Simon Napier-Bell,0,Alice Cooper,"To Be Frank, Sinatra at 100 ",712,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,English,UK,2015
Woody Allen,11000,Woody Allen,Bananas ,11700,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,English,USA,1971
Simon Yin,0,Paul Sheehan,Supercapitalist ,892,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,English,USA,2012
Jeff Crook,5,Nicholas Gonzalez,Rockaway ,2395,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,English,USA,2007
,,Steven Weber,Wings             ,1884,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,English,USA,
Orson Welles,0,Rita Hayworth,The Lady from Shanghai ,1055,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,English,USA,1947
Dave Payne,0,Mircea Monroe,No Man's Land: The Rise of Reeker ,2620,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,English,USA,2008
James Cox,10,Jake Gyllenhaal,Highway ,15740,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,English,USA,2002
Jonas Åkerlund,68,Noel Gugliemi,Small Apartments ,3683,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,English,USA,2012
Brad Copeland,8,Sunil Narkar,Coffee Town ,35796,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,English,USA,2013
Paul Bunnell,5,Kate Maberly,The Ghastly Love of Johnny X ,1611,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,English,USA,2012
Phil Morrison,17,Sally Hawkins,All Is Bright ,2020,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,English,USA,2013
Harald Reinl,2,Christopher Lee,The Torture Chamber of Dr. Sadism ,16110,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,German,West Germany,1967
James Cox,10,Jon Mack,Straight A's ,2654,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,English,USA,2013
Richard Lester,44,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,1807,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,English,USA,1966
Michael Moore,909,Michael Moore,Slacker Uprising ,1674,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,English,USA,2007
Tanner Beard,531,William McNamara,The Legend of Hell's Gate: An American Conspiracy ,15707,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,English,USA,2011
Scott Dow,6,Trenton Rostedt,The Walking Deceased ,1425,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,English,USA,2015
Derick Martini,20000,Kevin Zegers,The Curse of Downers Grove ,4968,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,English,USA,2015
Jerry Dugan,3,Melissa Bolona,Shark Lake ,13583,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,English,USA,2015
Tim Hunter,28,Keanu Reeves,River's Edge ,19649,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,English,USA,1986
Michael Polish,35,Peter Coyote,Northfork ,2389,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,English,USA,2003
William Kaufman,58,Paul McGillion,The Marine 4: Moving Target ,1204,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,English,USA,2015
Rodrigo Cortés,89,Ryan Reynolds,Buried ,17471,http://www.imdb.com/title/tt1462758/?ref_=fn_tt_tt_1,English,Spain,2010
Richard Ayoade,0,Craig Roberts,Submarine ,3275,http://www.imdb.com/title/tt1440292/?ref_=fn_tt_tt_1,English,UK,2010
Jehane Noujaim,63,Khalid Abdalla,The Square ,176,http://www.imdb.com/title/tt2486682/?ref_=fn_tt_tt_1,Arabic,Egypt,2013
Pascal Arnold,0,Karl E. Landler,One to Another ,1082,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,French,France,2006
Kimberly Peirce,108,Chloë Grace Moretz,Carrie ,20051,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,English,USA,2013
Remo,168,Lauren Gottlieb,ABCD (Any Body Can Dance) ,1182,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1,Hindi,India,2013
Wes Craven,0,Johnny Depp,A Nightmare on Elm Street ,42918,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,English,USA,1984
James Marsh,120,Paul McGill,Man on Wire ,68,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,English,UK,2008
John Laing,0,Siobhan Marshall,Abandoned ,90,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1,English,New Zealand,2015
Jamal Hill,47,Logan Browning,Brotherly Love ,4249,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,English,USA,2015
Daniel Stamm,13,Caleb Landry Jones,The Last Exorcism ,1958,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,English,France,2010
Sam Taylor-Johnson,456,Kristin Scott Thomas,Nowhere Boy ,2032,http://www.imdb.com/title/tt1266029/?ref_=fn_tt_tt_1,English,UK,2009
Elia Kazan,603,Marlon Brando,A Streetcar Named Desire ,10570,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,English,USA,1951
Stanley Kubrick,0,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1991,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,English,USA,1964
Carlos Carrera,12,Damián Alcázar,El crimen del padre Amaro ,546,http://www.imdb.com/title/tt0313196/?ref_=fn_tt_tt_1,Spanish,Mexico,2002
Benh Zeitlin,188,Quvenzhané Wallis,Beasts of the Southern Wild ,2658,http://www.imdb.com/title/tt2125435/?ref_=fn_tt_tt_1,English,USA,2012
J. Lee Thompson,88,Roddy McDowall,Battle for the Planet of the Apes ,1432,http://www.imdb.com/title/tt0069768/?ref_=fn_tt_tt_1,English,USA,1973
Maggie Greenwald,9,Aidan Quinn,Songcatcher ,2187,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,English,USA,2000
Vera Farmiga,0,Donna Murphy,Higher Ground ,1439,http://www.imdb.com/title/tt1562568/?ref_=fn_tt_tt_1,English,USA,2011
Vijay Chandar,0,Hansika Motwani,Vaalu ,349,http://www.imdb.com/title/tt3566698/?ref_=fn_tt_tt_1,Tamil,India,2015
Morgan Spurlock,293,Quentin Tarantino,The Greatest Movie Ever Sold ,32405,http://www.imdb.com/title/tt1743720/?ref_=fn_tt_tt_1,English,USA,2011
Jonathan Wacks,0,Steve Buscemi,Ed and His Dead Mother ,14620,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,English,USA,1993
Khyentse Norbu,28,Tshewang Dendup,Travelers and Magicians ,0,http://www.imdb.com/title/tt0378906/?ref_=fn_tt_tt_1,Dzongkha,Australia,2003
Ted Post,57,Clint Eastwood,Hang 'Em High ,18263,http://www.imdb.com/title/tt0061747/?ref_=fn_tt_tt_1,English,USA,1968
Richard Brooks,174,Humphrey Bogart,Deadline - U.S.A. ,2831,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,English,USA,1952
Tony Krantz,15,George Newbern,Sublime ,2439,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,English,USA,2007
Mitchell Altieri,9,Kimberley Crossman,A Beginner's Guide to Snuff ,1270,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,English,USA,2016
W.D. Hogan,4,Tom Everett Scott,Independence Daysaster ,984,http://www.imdb.com/title/tt2645670/?ref_=fn_tt_tt_1,English,Canada,2013
Corey Grant,21,Christian Keyes,Dysfunctional Friends ,4306,http://www.imdb.com/title/tt1653002/?ref_=fn_tt_tt_1,English,USA,2012
Tom Tykwer,670,Moritz Bleibtreu,Run Lola Run ,623,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,German,Germany,1998
Lucky McKee,75,James Duval,May ,2489,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,English,USA,2002
Richard Boddington,15,Natasha Henstridge,Against the Wild ,1724,http://www.imdb.com/title/tt2475846/?ref_=fn_tt_tt_1,English,Canada,2013
David Hunt,0,Matthew Alan,Living Dark: The Story of Ted the Caver ,139,http://www.imdb.com/title/tt2100573/?ref_=fn_tt_tt_1,English,USA,2013
Patricia Riggen,36,America Ferrera,Under the Same Moon ,2198,http://www.imdb.com/title/tt0796307/?ref_=fn_tt_tt_1,Spanish,Mexico,2007
J. Lee Thompson,88,Roddy McDowall,Conquest of the Planet of the Apes ,941,http://www.imdb.com/title/tt0068408/?ref_=fn_tt_tt_1,English,USA,1972
Todd Field,143,Tom Wilkinson,In the Bedroom ,3970,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,English,USA,2001
Steven R. Monroe,68,Sarah Butler,I Spit on Your Grave ,2423,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,English,USA,2010
Mark Illsley,3,Ally Walker,"Happy, Texas ",2095,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,English,USA,1999
Pawel Pawlikowski,84,Paddy Considine,My Summer of Love ,763,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,English,UK,2004
Ritesh Batra,25,Nawazuddin Siddiqui,The Lunchbox ,822,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,Hindi,India,2013
Sally Potter,87,Shirley Henderson,Yes ,2721,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,English,UK,2004
Frank Capra,964,Jean Arthur,You Can't Take It with You ,1363,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,English,USA,1938
Fred Zinnemann,160,Montgomery Clift,From Here to Eternity ,2247,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,English,USA,1953
John Ford,673,Harry Carey Jr.,She Wore a Yellow Ribbon ,955,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,English,USA,1949
Brad J. Silverman,11,Shawnee Smith,Grace Unplugged ,3894,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,English,USA,2013
Dave Meyers,11,Eddie Griffin,Foolish ,2196,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,English,USA,1999
David M. Matthews,8,Essence Atkins,N-Secure ,3137,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,English,USA,2010
Nadine Labaki,0,Yasmine Al Massri,Caramel ,231,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,Arabic,France,2007
Lluís Quílez,0,Stephen Rea,Out of the Dark ,380,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,English,USA,2014
Eytan Fox,21,Ohad Knoller,The Bubble ,137,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,Hebrew,Israel,2006
Francis Ford Coppola,0,Harrison Ford,The Conversation ,12157,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,English,USA,1974
Romesh Sharma,0,Annabelle Wallis,Dil Jo Bhi Kahey... ,622,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,English,India,2005
François Truffaut,0,Catherine Deneuve,Mississippi Mermaid ,1694,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,French,France,1969
Adam Goldberg,1000,Judy Greer,I Love Your Work ,2564,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,English,USA,2003
Travis Zariwny,4,Dustin Ingram,Cabin Fever ,992,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,English,USA,2016
Zack Snyder,0,Ty Burrell,Dawn of the Dead ,10438,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,English,USA,2004
Adrienne Shelly,191,Lew Temple,Waitress ,1981,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,English,USA,2007
Newt Arnold,15,Bolo Yeung,Bloodsport ,1168,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,English,USA,1988
Frank Capra,964,Claude Rains,Mr. Smith Goes to Washington ,1573,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,English,USA,1939
Larry Clark,184,Rosario Dawson,Kids ,3310,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,English,USA,1995
Noah Baumbach,387,William Baldwin,The Squid and the Whale ,479,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,English,USA,2005
Charles Herman-Wurmfeld,0,Scott Cohen,Kissing Jessica Stein ,1173,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,English,USA,2001
