director_name,actor_3_facebook_likes,gross,actor_1_name,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,imdb_score
Andrzej Bartkowiak,77,8742261,Chris Klein,1385,chun li|crime fighter|gangster|mobster|rescue,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,179,Canada,PG-13,18000000,342,3.7
James Wong,848,43905746,Jason Statham,32831,fight|multiverse|police|police officer|prison,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294,USA,PG-13,49000000,5000,5.9
,184,,Tobias Menzies,1863,based on novel|clan|scotland|scottish highlands|year 1743,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,148,USA,TV-MA,,531,8.5
Renny Harlin,380,21413502,Lauren Holly,2795,detective|groupie|murder|music industry|rock n roll,http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1,113,USA,R,40000000,560,6.3
Richard Curtis,830,7994115,Philip Seymour Hoffman,24316,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,209,UK,R,,882,7.4
Steven Soderbergh,215,124107476,Michael O'Neill,1418,cocaine|drug smuggling|interlinked stories|judge|mexico,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,867,USA,R,48000000,399,7.6
Steven Spielberg,440,197171806,Harrison Ford,12884,castle|diary|holy grail|map|nazi,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,477,USA,PG-13,48000000,844,8.3
Joe Wright,0,12802907,Kelly Macdonald,2035,dance|infidelity|marriage|russia|russian,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,226,UK,R,,35,6.6
Neill Blomkamp,502,31569268,Hugh Jackman,23051,artificial intelligence|consciousness|future|mind uploading|robot,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627,USA,R,49000000,2000,6.9
Phillip Noyce,308,66488090,Denzel Washington,29748,new york city|police|quadriplegic|serial killer|suicide,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,397,USA,R,48000000,11000,6.7
David Fincher,237,95308367,Kristen Stewart,18141,brownstone|burglar|money|panic|panic room,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,850,USA,R,48000000,324,6.8
Chuck Bowman,235,,P.J. Soles,2353,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,32,USA,,1500000,555,4.6
David O. Russell,393,60652036,Judy Greer,3743,gold|gulf war|iraq|kuwait|map,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,560,USA,R,48000000,490,7.1
