num_user_for_reviews,language
184,English
253,English
33,English
115,English
79,English
147,English
517,English
40,English
148,English
48,English
527,English
771,English
189,English
339,English
258,English
95,English
236,English
916,English
176,English
81,English
265,English
99,English
807,English
149,English
144,English
491,English
479,English
283,English
298,English
251,English
439,English
331,English
185,English
695,English
185,English
68,English
588,English
130,English
50,English
280,English
46,English
613,English
79,English
212,English
58,English
389,English
337,English
53,English
383,English
87,English
20,English
666,English
337,English
409,English
135,English
284,English
51,English
117,English
236,English
230,English
463,English
155,English
187,English
908,English
145,English
321,English
700,English
255,English
140,English
177,English
106,English
281,English
117,English
474,English
93,English
389,English
119,English
165,English
602,English
189,English
77,English
189,English
1514,English
136,English
189,English
401,English
102,English
281,English
131,English
44,English
281,English
97,English
84,English
334,English
124,English
37,English
162,English
35,English
202,English
403,English
51,Japanese
1040,English
100,English
76,English
125,English
34,English
185,English
219,English
231,English
760,English
97,English
220,English
592,English
32,English
76,English
354,Cantonese
6,English
75,English
230,Dari
559,English
138,English
1535,English
92,English
158,English
188,English
100,English
81,English
359,English
110,English
100,English
91,English
236,English
176,English
223,English
86,English
177,English
199,English
316,English
88,English
147,English
113,English
366,English
26,English
235,English
180,English
106,English
131,English
121,English
129,English
42,English
140,English
199,English
299,English
117,English
129,English
76,English
26,English
117,English
64,English
242,English
114,English
25,English
29,English
205,English
164,English
213,English
120,English
202,English
122,English
190,English
293,English
75,English
521,English
39,English
361,English
180,English
102,English
45,English
230,English
113,English
105,English
274,English
570,Japanese
53,French
74,English
232,English
20,English
66,English
1137,English
33,English
138,English
83,English
61,English
79,Japanese
46,English
67,English
25,English
66,Cantonese
16,French
75,English
81,English
,English
36,English
62,English
,English
29,Mandarin
118,English
11,English
1,English
3,English
1,English
101,English
133,English
220,Mandarin
110,German
382,English
296,English
112,English
232,English
869,English
478,English
1320,English
809,English
536,English
59,English
6,English
120,English
205,English
125,English
,English
119,English
251,English
902,Japanese
12,Mandarin
95,English
236,English
103,English
181,English
91,English
83,English
37,English
15,English
44,English
3,Hebrew
518,English
710,English
662,English
4,Chinese
648,English
287,English
397,English
213,English
204,English
1198,English
548,English
192,English
522,English
202,English
374,English
475,English
69,English
485,English
425,English
103,English
45,English
629,English
549,English
260,English
554,English
317,English
651,English
281,English
96,English
1101,English
384,English
828,English
144,English
365,English
76,English
335,English
114,English
124,English
248,English
109,English
494,English
77,English
86,English
82,English
440,English
192,English
210,English
68,English
49,English
359,English
307,English
80,English
105,English
41,English
213,English
149,English
109,English
287,English
48,English
35,English
112,English
118,English
102,English
82,English
420,English
111,English
165,Mongolian
192,English
54,English
