director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year
Guy Ritchie,71,89,119,Jeanne Tripplehorn,990,598645,Comedy|Romance,Swept Away ,13145,2006,David Thornton,island|sailor|storm|stranded|vacation,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,215,English,UK,10000000,2002
Joshua Seftel,79,107,91,Sergej Trifunovic,603,578527,Action|Comedy|Thriller,"War, Inc. ",20008,988,Ned Bellamy,assassin|corporation|pop star|reporter|satire,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,112,English,USA,10000000,2008
Stephen Chow,246,85,51,Karen Mok,478,488872,Action|Comedy|Sport,Shaolin Soccer ,56923,700,Kwok-Kwan Chan,cult film|kung fu|martial arts|shaolin|soccer,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,243,Cantonese,Hong Kong,10000000,2001
Vincent Gallo,115,93,0,Cheryl Tiegs,787,365734,Drama,The Brown Bunny ,11487,883,Anna Vareschi,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,226,English,USA,10000000,2003
Claude Chabrol,34,101,28,François Cluzet,678,231417,Comedy|Crime|Thriller,The Swindle ,1649,1256,Michel Serrault,con|con artist|money|scam|sils maria,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,21,French,France,60000000,1997
Jon Stewart,129,103,241,Claire Foy,374,3093491,Biography|Drama,Rosewater ,8307,1283,Haluk Bilginer,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,37,English,USA,5000000,2014
Bigas Luna,22,101,34,Aitana Sánchez-Gijón,837,244465,Drama|Romance,The Chambermaid on the Titanic ,1135,1019,Romane Bohringer,foundry|foundry worker|french|friend|titanic,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,14,French,France,,1997
Ralph Fiennes,196,123,131,Ashraf Barhom,18000,756452,Drama|Thriller|War,Coriolanus ,27009,18652,Lubna Azabal,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,118,English,UK,,2011
Dan Harris,73,111,83,Ryan Donowho,374,228524,Comedy|Drama,Imaginary Heroes ,8708,768,Larry Fessenden,cat|christmas song|lawn mowing|leave of absence|medication,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,56,English,USA,4000000,2004
Mel Smith,43,86,428,Danny Dyer,893,226792,Action|Comedy|Drama,High Heels and Low Lifes ,3080,3049,Mary McCormack,attempted murder|blackmail|diver's watch|nurse|satire,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,44,English,UK,10000000,2001
Bobcat Goldthwait,129,99,334,Daryl Sabara,49000,221210,Comedy|Drama,World's Greatest Dad ,31964,50542,Henry Simmons,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,129,English,USA,,2009
Christopher Smith,200,90,345,Toby Stephens,798,136432,Comedy|Horror|Thriller,Severance ,31890,2217,Laura Harris,blood splatter|eastern europe|female nudity|pine forest|team building,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,194,English,UK,5000000,2006
Stuart Gordon,79,82,885,Dulé Hill,1000,131617,Drama|Thriller,Edmond ,9971,5761,Jeffrey Combs,bipolar disorder|sodomy|stabbing|street life|violence,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,119,English,USA,10000000,2005
Jake Scott,112,110,146,Ally Sheedy,17000,152857,Drama,Welcome to the Rileys ,19979,18236,Kerry Cahill,businessman|prostitute|street|stripper|travel,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,56,English,UK,,2010
Alan Metter,17,83,421,Michael Winslow,16000,126247,Comedy|Crime,Police Academy: Mission to Moscow ,24958,17469,G.W. Bailey,captain|commandant|mafia|russian mafia|security system,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,103,English,USA,6200000,1994
Jeb Stuart,20,128,553,Nate Parker,665,82739,Drama,Blood Done Sign My Name ,465,4579,Lee Norris,based on autobiography|based on novel|based on true story|murder|racism,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,3,English,USA,,2010
