duration,actor_3_facebook_likes,actor_2_name,movie_title,movie_imdb_link,language,imdb_score
109,1000,Jamie Lee Curtis,The Tailor of Panama ,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,English,6.1
107,101,Dennis Franz,Blow Out ,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,English,7.4
90,179,Paul Freeman,Getaway ,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,English,4.4
112,177,Kate Burton,The Ice Storm ,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,English,7.5
94,197,Annie Parisse,And So It Goes ,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,English,5.7
105,371,Shelley Long,Troop Beverly Hills ,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,English,5.5
104,202,Shaun Evans,Being Julia ,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,English,7.1
112,45,Karen Young,9½ Weeks ,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,English,5.9
108,94,Ralph Richardson,Dragonslayer ,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,English,6.7
112,231,Kerry Condon,The Last Station ,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,English,7.0
127,940,Bill Murray,Ed Wood ,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,English,7.9
111,405,Kate Winslet,Labor Day ,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,English,6.9
126,9,Khulan Chuluun,Mongol: The Rise of Genghis Khan ,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,Mongolian,7.3
114,1000,Gerard Butler,RocknRolla ,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,English,7.3
99,251,Michael Beck,Megaforce ,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,English,3.5
150,401,Brian Blessed,Hamlet ,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,English,7.8
117,238,Suzie Steen,Mao's Last Dancer ,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,English,7.4
112,201,Sam Shepard,Midnight Special ,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,English,6.7
108,922,Stockard Channing,Anything Else ,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,English,6.4
116,212,Colin Firth,The Railway Man ,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,English,7.1
60,405,Dylan Walsh,Unforgettable             ,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,,6.7
144,16,Burghart Klaußner,The White Ribbon ,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,German,7.8
92,161,Anna Harr,Restoration ,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,English,4.0
93,415,Randy Quaid,The Wraith ,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,English,5.9
103,576,Meat Loaf,The Salton Sea ,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,English,7.2
93,151,Mackenzie Gray,Metallica Through the Never ,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,English,7.2
98,394,Brad Renfro,The Informers ,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,English,5.1
334,30,Nora von Waldstätten,Carlos             ,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,English,7.7
114,32,Simón Andreu,I Come with the Rain ,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,English,5.5
121,353,Joaquim de Almeida,One Man's Hero ,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,English,6.2
87,83,John Amplas,Day of the Dead ,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,English,7.2
92,757,Rebecca De Mornay,I Am Wrath ,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,English,5.2
105,69,Catherine McCormack,Renaissance ,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,English,6.7
90,720,Landon Liboiron,Forsaken ,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,English,6.3
89,183,Brigitte Nielsen,Red Sonja ,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,English,5.0
114,920,Toby Jones,Red Lights ,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,English,6.2
119,778,Joe Lo Truglio,Superbad ,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,English,7.6
103,543,Keshia Knight Pulliam,Madea Goes to Jail ,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,English,4.1
91,413,Jennifer Hale,Wolves ,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,English,5.3
