director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,budget,aspect_ratio
Jon Favreau,152,97,4000,Zooey Deschanel,173381405,147597,43354,Will Ferrell,baby|christmas spirit|elf|new york city|north pole,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,English,PG,33000000,1.85
Jon Turteltaub,53,123,226,Kyra Sedgwick,104632573,63839,5975,David Gallagher,brain tumor|genius|psionic power|telekinesis|terminal illness,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,English,PG,32000000,2.35
Brian Levant,67,99,32,Nichelle Nichols,81150692,20219,2916,M. Emmet Walsh,dentist|dog|inheritance|race|sled dog,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,English,PG,35000000,1.85
Richard Donner,88,101,503,Alfre Woodard,60328558,61396,18734,Robert Mitchum,christmas|compassion|executive|ghost|redemption,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,English,PG-13,32000000,1.85
Jared Hess,163,92,100,Moises Arias,80197993,65551,1729,Héctor Jiménez,lucha libre|monastery|nun|orphan|wrestling,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,English,PG,32000000,1.85
Paul Feig,371,131,176,Wendi McLendon-Covey,169076745,218711,3229,Steve Bannos,best friend|failure|food|job|partial female nudity,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,English,R,32500000,2.35
Evan Goldberg,418,107,133,James Franco,101470202,310540,38751,Emma Watson,apocalypse|celebrity|ensemble cast|party|rapture,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,English,R,32000000,2.35
Rupert Wainwright,131,103,9,Enrico Colantoni,50041732,54390,3004,Portia de Rossi,catholic|priest|stigmata|vatican|wound,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,English,R,29000000,2.35
George Tillman Jr.,98,129,88,Charlize Theron,48814909,89424,36069,Michael Rapaport,african american|amputee|navy|racial discrimination|racism,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,English,R,32000000,2.35
John Luessenhop,119,107,34,Hayden Christensen,57744720,46961,31529,Jay Hernandez,armored car|bank|falling out among thieves|heist|planning,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,English,PG-13,20000000,2.35
Justin Zackham,133,89,16,Robert De Niro,21784432,37493,74181,Topher Grace,adoption|divorce|family relationships|farce|wedding,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,English,R,35000000,2.35
