director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,budget,title_year,imdb_score,movie_facebook_likes
Garry Marshall,200,0,Common,Comedy|Romance,Robert De Niro,66579,Seth Meyers,15,expecting|kiss|new year|new year's eve|singer,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,English,USA,56000000,2011,5.7,20000
Michael Cristofer,93,49,Gregory Itzin,Drama|Mystery|Romance|Thriller,Angelina Jolie Pitt,44913,Jack Thompson,1,delaware|erotica|money|pursuit|sex scene,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,English,France,42000000,2001,6.0,3000
James McTeigue,265,160,Dave Legeno,Crime|Mystery|Thriller,Pam Ferris,72886,Kevin McNally,1,mask|murder|newspaper|poem|serial killer,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,English,USA,26000000,2012,6.4,35000
Donald Petrie,82,80,Ray Romano,Comedy|Romance,Rip Torn,10667,Maura Tierney,2,mayor|pink panties|upskirt|white panties|yellow panties,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,English,USA,26000000,2004,5.2,260
Andrew Morahan,32,5,Mako,Action|Fantasy|Romance|Sci-Fi,Christopher Lambert,16194,Mario Van Peebles,0,cave|highlander|illusion|immortal|japan,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,English,Canada,26000000,1994,4.3,319
Bob Rafelson,42,30,Mike Starr,Crime|Drama|Thriller,Harold Perrineau,7772,Judy Davis,3,diamond|necklace|safecracker|wine|wine dealer,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,English,USA,22000000,1996,6.1,145
Michael Cohn,22,2,Chris Bauer,Fantasy|Horror,David Conrad,8118,Monica Keena,2,apple|miner|mirror|necromancy|woods,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,English,USA,26000000,1997,6.3,0
Woody Allen,116,11000,Elizabeth Berkley,Comedy|Crime|Mystery|Romance,Woody Allen,31798,Peter Gerety,0,efficiency expert|insurance investigator|magician|scorpion|thief,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,English,USA,26000000,2001,6.8,826
David O. Russell,56,737,Kirstie Alley,Comedy|Romance,Jake Gyllenhaal,5006,Beverly D'Angelo,5,health insurance|long delayed release|nail in the head|waitress|washington d.c.,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,English,USA,26000000,2015,4.0,0
Alan Shapiro,23,0,Chelsea Field,Adventure|Family,Paul Hogan,8008,Jessica Wesson,1,dolphin|florida|florida keys|summer|vomiting,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,English,USA,25530000,1996,5.2,504
Tarsem Singh,178,763,Derek Luke,Action|Mystery|Sci-Fi|Thriller,Ryan Reynolds,57674,Sandra Ellis Lafferty,0,cancer|elderly man|funeral|medical|transhumanism,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,English,USA,26000000,2015,6.5,11000
Fernando Meirelles,226,353,Danny Huston,Drama|Mystery|Romance|Thriller,Archie Panjabi,111351,Donald Sumpter,0,death|diplomat|doctor|kenya|murder,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,English,UK,15000000,2005,7.5,0
Mel Gibson,406,0,Maia Morgenstern,Drama,Christo Jivkov,179235,Hristo Shopov,0,anti semitism|cult film|grindhouse|suffering|torture,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,Aramaic,USA,30000000,2004,7.1,13000
Chris Columbus,57,0,Mara Wilson,Comedy|Drama|Family|Romance,Robin Williams,181380,Matthew Lawrence,5,actor|based on novel|fancy restaurant|male actor playing a female character|party,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,English,USA,25000000,1993,6.9,0
Barry Levinson,100,272,Valeria Golino,Drama,Tom Cruise,383784,Beth Grant,3,buick|convertible|last will and testament|savant|travel,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,English,USA,25000000,1988,8.0,12000
Clint Eastwood,366,16000,Dreama Walker,Drama,Clint Eastwood,561773,Ahney Her,0,gang|gang rape|hmong|teenager|widower,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,English,USA,33000000,2008,8.2,28000
Oliver Stone,242,0,Scott Glenn,Biography|Drama|History,Toby Jones,40941,Bruce McGill,1,bible|cabinet meeting|dog|drinking|family relationships,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,English,USA,25100000,2008,6.4,0
Pierre Morel,309,180,Holly Valance,Action|Thriller,Liam Neeson,483756,Xander Berkeley,0,agent|cia|france|rescue|teenage abduction,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,English,France,25000000,2008,7.9,29000
Michael Hoffman,85,97,Gerald McRaney,Drama|Romance,Luke Bracey,43084,Clarke Peters,0,adultery|based on novel|heart transplant|infidelity|protective male,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,English,USA,26000000,2014,6.7,19000
Mick Jackson,48,81,Mike Starr,Action|Drama|Music|Romance,Bill Cobbs,89972,DeVaughn Nixon,0,bodyguard|manager|pop singer|secret service agent|singer,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,English,USA,25000000,1992,6.1,0
