num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,title_year,aspect_ratio,movie_facebook_likes
230,82,248,196,Jack Plotnick,Comedy|Fantasy|Horror,desert|dump|show|spectator|tire,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,170,English,France,2010,1.85,46000
165,94,12,183,Matt Jones,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,alien friendship|alien invasion|australia|flying car|mother daughter relationship,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,214,English,USA,2015,1.85,26000
9,100,6,325,Amber Benson,Comedy|Romance,best friend|high school|love|secret|wedding,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,10,English,USA,2007,1.85,60
17,112,12,699,Clea DuVall,Drama|Sport,cheerleader|father son relationship|football coach|loss of father|mother son relationship,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,32,English,USA,2002,2.35,183
344,94,380,113,Whitney Able,Drama|Sci-Fi|Thriller,alien|alien invasion|destroyed building|destruction|mexico,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,451,English,UK,2010,2.35,19000
2,87,0,347,Joanne Whalley,Drama,based on novel,http://www.imdb.com/title/tt0377043/?ref_=fn_tt_tt_1,11,English,USA,2005,1.85,29
28,91,0,170,Ann Dowd,Comedy,artist|black comedy,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,10,English,USA,2007,,339
29,87,38,445,Christa B. Allen,Comedy|Horror,based on play|blood|independent film|teenager|zombie,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,20,English,USA,2012,2.35,898
11,98,0,0,Zheng Xu,Comedy|Crime,bankruptcy|crystal|father son relationship|heist|shower,http://www.imdb.com/title/tt0843270/?ref_=fn_tt_tt_1,9,Mandarin,China,2006,2.35,23
48,95,3,25,Jacques Brel,Biography|Documentary|Music,avant garde|british pop|character name in title|musician|number in title,http://www.imdb.com/title/tt0486541/?ref_=fn_tt_tt_1,11,English,UK,2006,1.85,808
24,87,395,637,Alan Ruck,Drama,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,10,English,USA,2000,1.85,22
166,102,487,118,Zoë Kravitz,Drama|Thriller,cigarette butt|drone|funeral procession|nellis air force base|taliban,http://www.imdb.com/title/tt3297330/?ref_=fn_tt_tt_1,68,English,USA,2014,2.35,0
,127,2,0,Rai Alexandra,Thriller,,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,3,English,USA,2005,1.33,0
9,96,3,205,Bruce Vilanch,Documentary,,http://www.imdb.com/title/tt2825768/?ref_=fn_tt_tt_1,3,English,USA,2014,1.33,16
48,103,21,680,Olivia Williams,Drama|Romance,death|dying|leukemia|teenage girl|terminal illness,http://www.imdb.com/title/tt1937264/?ref_=fn_tt_tt_1,54,English,UK,2012,2.35,0
64,104,32,238,John McGlothlin,Comedy|Horror,mini skirt|party|spring break|voyeur|war hammer,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,28,English,USA,2012,2.35,0
,90,0,569,Dylan Baker,History,,http://www.imdb.com/title/tt3417110/?ref_=fn_tt_tt_1,,English,USA,2015,,337
1,122,406,152,Tim Abell,Action|Mystery|Thriller,military|submarine|suspense|time travel|world war two,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,16,English,USA,2015,,353
111,93,33,135,Katherine Boecher,Comedy|Drama,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,USA,2002,1.85,0
26,90,0,120,Katherine Waterston,Mystery|Thriller,cabin|going in circles|pac man|stranger|woods,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,45,English,USA,2011,,701
1,101,0,15,Christian Alvarez,Crime|Drama,,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,1,Spanish,Dominican Republic,2012,16.0,126
3,94,0,212,Randy Jay Burrell,Action|Romance|Sport,fighting|karate,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,2,English,USA,2016,,381
10,97,163,303,Barry Bostwick,Horror|Musical,carnival|devil|redemption|reference to god,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,20,English,USA,2016,1.78,707
1,90,0,33,Jennifer Landa,Comedy|Mystery|Thriller,,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,1,English,USA,2014,,70
1,108,431,317,Joel Paul Reisig,Family,,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,4,English,USA,2016,,0
10,82,0,0,Sarah Callan,Action|Biography|Documentary|Sport,three word title,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,10,English,USA,2014,,44
1,84,0,53,Jeff Delaney,Family,,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,1,English,USA,2016,16.0,9
525,130,0,11000,Mila Kunis,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,2013,2.35,60000
96,91,6,10,Mark Torgl,Action|Comedy|Horror|Sci-Fi,boy|health club|superhero|toxic waste|troma,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,147,English,USA,1984,1.85,0
8,91,10,10,George T. Odom,Crime|Drama,domestic violence|housing project|new york city|poverty|racism,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,11,English,USA,1991,1.85,123
92,107,521,80,Nicholas Farrell,Drama|History|War,civil rights|irish|march|northern ireland|protest march,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,120,English,UK,2002,1.85,0
1,82,5,237,Dennis L.A. White,Action,prison|prisoner|reverend|terminal illness|two word title,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,5,English,USA,2015,,62
365,84,3,446,Thomas Lennon,Comedy|Drama|Romance,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,54,English,UK,2005,2.39,0
88,103,365,49,Lloyd Kaufman,Comedy|Horror|Musical,castration|chicken|fast food|indian burial ground|protest,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,58,English,USA,2006,1.85,0
3,86,0,304,Cheyenne Jackson,Comedy|Romance,bromance|manhattan new york city|new york city|photograph|surprise,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,3,English,USA,2013,,31
65,89,24,45,Dick Powell,Comedy|Musical|Romance,chorus girl|chorus line|director|gala premiere|song,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,English,USA,1933,1.37,439
,52,0,0,Jack Canfield,Documentary,business|entrepreneur|network marketing,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,10,English,USA,2014,,460
71,98,89,3,Taylor Nichols,Comedy|Drama|Romance,apartment|dancing|debutante|new york|upper class,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,52,English,USA,1990,1.66,865
34,133,10,19,Frida Hallgren,Comedy|Drama|Music|Romance,amazing grace the hymn|choir|heart attack|hometown|skidding truck,http://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,94,Swedish,Sweden,2004,1.85,0
15,81,15,93,Ace Marrero,Drama|Horror|Mystery|Thriller,dog|gun|hostage|husband wife relationship|jealousy,http://www.imdb.com/title/tt1958007/?ref_=fn_tt_tt_1,6,English,USA,2013,16.0,61
220,92,100,482,Diedrich Bader,Comedy,class president|family relationships|friend|high school|jock,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,1473,English,USA,2004,1.85,0
279,90,57,92,Eve Plumb,Crime|Drama|Thriller,blood splatter|car|neo noir|vengeance|vomiting,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,135,English,USA,2013,2.35,0
409,84,110,21,Ashley Palmer,Horror,dark force|entity|evil force|found footage|paranormal phenomenon,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,1189,English,USA,2007,1.85,12000
86,91,147,5,Jay Adams,Documentary|Sport,california|drought|playground|skateboarding|surfer,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,88,English,USA,2001,1.37,0
131,91,0,332,Michael Palin,Adventure|Comedy|Fantasy,camelot|holy grail|king arthur|knight|lancelot,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,660,English,UK,1975,1.66,14000
69,90,25,138,Jesse Garcia,Drama,15th birthday|birthday|gay|party|security guard,http://www.imdb.com/title/tt0451176/?ref_=fn_tt_tt_1,48,Spanish,USA,2006,2.35,426
8,96,14,6,Sue Corcoran,Comedy|Fantasy|Horror|Musical,conspiracy|feminist|hippie|motorcycle|slapstick comedy,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,18,English,USA,2003,1.78,39
75,60,,833,Masi Oka,Drama|Fantasy|Sci-Fi|Thriller,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,http://www.imdb.com/title/tt0813715/?ref_=fn_tt_tt_1,379,English,USA,,16.0,0
72,88,20,0,Jonathan Caouette,Biography|Documentary,answering machine|home movie|lithium|schizophrenic|video diary,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,114,English,USA,2003,1.37,754
4,92,4,12,Chris Cox,Documentary,,http://www.imdb.com/title/tt1560957/?ref_=fn_tt_tt_1,31,English,USA,2010,1.78,638
9,97,0,271,Paul Elia,Comedy|Horror,bigfoot|love|monster|sasquatch|tourist,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,5,English,USA,2014,,194
203,82,385,22,David Warbeck,Horror,doctor|hell|hotel|painter|plumber,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,253,Italian,Italy,1981,2.35,2000
11,22,,6,Ron Lynch,Animation|Comedy|Drama,coach|friend|school|series|tv series,http://www.imdb.com/title/tt0197159/?ref_=fn_tt_tt_1,82,English,USA,,1.33,526
148,101,12,149,Andrew Daly,Comedy|Romance,casino|father son relationship|jackpot|judge|wedding,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,151,English,USA,2008,2.35,0
80,80,3,39,Jeff Seymour,Horror|Thriller,brain tumor|champagne|game|psychiatrist|weekend,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,52,English,Canada,2005,1.85,166
46,97,350,33,Roshan Seth,Comedy|Drama|Romance,england|mistress|pakistani|politics|thatcher,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,64,English,UK,1985,1.66,0
8,84,0,36,Adam LeFevre,Drama|Horror|Mystery|Thriller,,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,10,English,USA,2002,1.78,7
10,97,0,83,Michelle Nolden,Drama|Thriller,bathtub|implied incest|lesbian|squeegee|tied to a chair,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,5,French,Canada,2004,1.78,12
76,91,0,92,Ingrid Thulin,Drama,dying|love|mansion|selfishness|turn of the century,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,197,Swedish,Sweden,1972,1.66,0
69,123,204,9,Mae Marsh,Drama|History|War,huguenot|intolerance|medicis|protestant|wedding,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,88,,USA,1916,1.33,691
43,86,3,513,DeForest Kelley,Documentary,autograph|dentist|outer space|star trek|telephone call,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,75,English,USA,1997,,672
36,100,4,4,Bessie Love,Musical|Romance,sibling rivalry|singer|sister act|whistling|wisecrack humor,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,English,USA,1929,1.37,167
304,96,0,58,Betsy Baker,Fantasy|Horror,cult director|cult film|evil dead|necronomicon|psychotronic film,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,740,English,USA,1981,1.37,12000
279,89,33,118,Nora Arnezeder,Horror|Thriller,exhibition|mannequin|obsession|oral sex|photographer,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,131,English,France,2012,2.35,0
23,84,0,,,Documentary|History,,http://www.imdb.com/title/tt3457376/?ref_=fn_tt_tt_1,3,Hebrew,Israel,2015,1.78,111
110,88,30,0,Joe Bishop,Documentary|Sport,paralympics|quad rugby|rugby|team|wheelchair,http://www.imdb.com/title/tt0436613/?ref_=fn_tt_tt_1,70,English,USA,2005,1.85,0
40,90,44,93,Steve James,Action|Drama,blood splatter|island|motorboat|ninja|sequel to cult film,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,46,English,USA,1987,1.85,583
45,90,0,0,Ellen Block,Documentary,address as title|number in title|parents,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,16,English,Germany,2005,,70
23,43,,576,Tracy Spiridakos,Action|Adventure|Drama|Sci-Fi,2020s|near future|one word series title|post apocalypse|year 2027,http://www.imdb.com/title/tt2070791/?ref_=fn_tt_tt_1,323,English,USA,,16.0,17000
4,98,0,0,Natalie Welch,Family|Sci-Fi,drone|playing with gun|post apocalypse|road trip|working class family,http://www.imdb.com/title/tt4162992/?ref_=fn_tt_tt_1,8,English,USA,2015,2.35,240
318,101,0,598,Donald Pleasence,Horror|Thriller,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,1978,2.35,12000
