actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,movie_facebook_likes
218,Steve-O,608,64267897,Jackass: The Movie ,0,alligator|golf|japan|panda|stunt,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,R,5000000,0
300,Amiah Miller,2000,56536016,Lights Out ,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,PG-13,4900000,0
434,Sprague Grayden,581,104007828,Paranormal Activity 3 ,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,R,5000000,24000
704,Shelley Hennig,852,50820940,Ouija ,0,death of girlfriend|funeral|ghost|ouija|spirit,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,PG-13,5000000,18000
150,Heather Langenkamp,506,44793200,A Nightmare on Elm Street 3: Dream Warriors ,0,dream|freddy krueger|killer|nightmare|springwood ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,X,4500000,0
458,Allison Tolman,1000,43771291,The Gift ,1,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,R,5000000,15000
83,Jessica Lindsey,399,44456509,Instructions Not Included ,1,father daughter relationship,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,PG-13,5000000,14000
113,Brendon Eggertsen,235,53884821,Paranormal Activity 4 ,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,R,5000000,26000
275,Jean Simmons,726,36000000,The Robe ,1,box office hit|crucifixion|nightmare|palestine|robe,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,Unrated,5000000,0
80,Herbert Lom,462,,The Return of the Pink Panther ,0,clouseau|diamond|panther|pink|pink panther,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,G,5000000,620
