director_facebook_likes,actor_1_facebook_likes,genres,plot_keywords,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
151,24000,Drama|Thriller,american|bare chested male bondage|cia|detention|interrogation,English,USA,R,27500000,15000,0
,766,Crime|Drama|Sci-Fi|Thriller,brain capacity|fbi|fictional drug|intelligence|taking a pill,English,USA,TV-14,,638,11000
120,12000,Action|Adventure|Sci-Fi|Thriller,captain|explosion|klingon|moon|peace,English,USA,PG,30000000,1000,0
144,1000,Drama,flashback|interview|louisiana|playwright|secret society,English,USA,PG-13,27000000,482,0
4000,19000,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,English,UK,PG,175000000,13000,65000
39,11000,Crime|Drama|Mystery|Thriller,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,English,USA,R,27000000,956,0
644,1000,Action|Comedy|Crime|Music,band|catholic|money|parolee|prison,English,USA,R,27000000,809,14000
43,953,Comedy|Drama|Family|Romance,actor|drawing|friendship|pregnancy|turkey,English,USA,PG-13,,713,894
650,1000,Comedy|Music,bare chested male|chips|two word title,English,USA,PG-13,25000000,773,0
129,66,Comedy|Drama|Romance,boy|friend|imaginary son|single father|single mother,English,UK,PG-13,30000000,5,0
49,1000,Action|Comedy|Horror,crocodile|eaten alive|lake|maine|sheriff,English,USA,R,27000000,888,2000
118,13000,Crime|Drama|Mystery|Thriller,coroner|death|gay son|love|mistaken identity,English,Germany,R,27000000,11000,10000
133,2000,Adventure|Drama|History,astronaut|sound barrier|space program|u.s. air force|u.s. space program,English,USA,PG,27000000,826,0
776,898,Drama|History|Thriller,earl of oxford|play|queen|rebellion|shakespeare play,English,UK,PG-13,30000000,584,15000
249,523,Adventure|Drama|Family|Fantasy,book|dragon|story within the story|talking animal|werewolf,English,West Germany,PG,27000000,312,21000
295,3000,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,memory|murder|neo noir|retrofuturism|tech noir,English,Australia,R,27000000,882,14000
10,3000,Biography|Drama|History|Romance,duchess|duke|heir|infidelity|marriage,English,UK,PG-13,13500000,2000,0
,491,Comedy|Family,1950s|bus driver|money scheme|poverty|sewer,English,USA,,,154,459
181,303,Adventure|Family|Fantasy|Horror|Mystery,chicken|delusional depression|doctor|king|mysterious girl,English,UK,PG,25000000,146,0
0,11000,Action|Crime|Drama|History|Western,bank robber|brother brother relationship|crime spree|explosive|train,English,USA,PG-13,27000000,597,315
22,14000,Horror|Mystery|Thriller,death|fear|hairy chest|social worker|spinning in chair,English,USA,R,27000000,716,0
54,748,Crime|Drama|Mystery|Thriller,fbi|fbi agent|murder|salesman|serial killer,English,USA,R,27000000,489,817
43,1000,Comedy|Drama|Family,adopted son|adoption|boy|mars the planet|widower,English,USA,PG,27000000,506,0
0,2000,Action|Adventure|Comedy|Family|Sci-Fi,2010s|3 dimensional|breath holding contest|child spy|spy,English,USA,PG,27000000,734,0
