num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,num_voted_users,content_rating,actor_2_facebook_likes,movie_facebook_likes
474,Emilia Clarke,24000,188457,PG-13,10000,82000
228,Shane Rangi,531,106446,PG,82,11000
191,Jaime King,3000,254111,PG-13,961,0
396,Michael O'Neill,662,513158,PG-13,599,8000
248,Angelina Jolie Pitt,12000,138863,R,11000,0
329,Daniel Radcliffe,21000,355137,PG-13,11000,0
295,Daniel Radcliffe,21000,385670,PG-13,11000,0
318,Charlize Theron,10000,343648,PG-13,9000,0
323,Alice Braga,10000,530870,PG-13,1000,11000
276,Christopher Lee,40000,320284,PG,16000,0
318,John Ratzenberger,1000,473887,G,1000,10000
478,Liam Neeson,23000,980946,PG-13,14000,15000
167,Jada Pinkett Smith,1000,146019,PG,851,0
185,Rami Malek,49000,130272,PG,3000,2000
350,Ryan Reynolds,20000,361924,PG-13,16000,0
245,Collin Chou,309,364948,R,269,0
406,Maurice LaMarche,1000,421658,PG,523,58000
275,Daniel Bernhardt,234,421818,R,198,0
486,Natalie Portman,26000,414070,PG-13,20000,63000
739,Charlize Theron,27000,552503,R,9000,191000
298,Ayelet Zurer,15000,207839,PG-13,745,0
516,Natalie Portman,26000,536314,PG-13,20000,63000
225,Diedrich Bader,17000,146766,PG,759,0
145,Piper Mackenzie Harris,730,33042,PG,607,0
310,Edgar Ramírez,14000,152826,PG-13,897,19000
526,Chloë Grace Moretz,40000,199039,PG-13,17000,82000
465,Jeremy Renner,10000,232187,PG-13,10000,47000
357,Simon Merrells,12000,89442,R,490,0
248,Alexander Skarsgård,11000,42372,PG-13,10000,29000
194,Oprah Winfrey,2000,105902,PG,852,0
284,Gary Oldman,11000,182718,PG,10000,20000
280,Noah Ringer,1000,118951,PG,756,18000
310,Tom Cruise,22000,256695,PG-13,10000,0
339,Jake Weber,17000,164238,PG-13,551,33000
132,Dan Fogler,921,17590,PG,562,0
135,Kate Winslet,20000,85086,PG,14000,0
256,Cara Delevingne,20000,39956,PG,548,24000
196,Zach Callison,3000,47900,PG,1000,11000
220,Orlando Bloom,11000,381672,R,5000,0
211,Martin Short,851,119213,PG,770,17000
264,Colin Salmon,769,169914,PG-13,766,0
464,Kate McKinnon,783,69757,PG-13,370,62000
167,Steve Buscemi,13000,322395,PG-13,12000,11000
208,Rosario Dawson,10000,270207,PG-13,3000,2000
287,Anthony Hopkins,18000,142440,PG-13,12000,3000
210,Angelina Jolie Pitt,24000,64322,PG,11000,24000
432,Jeremy Renner,10000,365104,PG-13,10000,35000
256,Kamil McFadden,20000,123553,PG,315,25000
135,Richard Burgi,957,110788,PG-13,550,2000
190,Tony Goldwyn,10000,317166,R,956,0
314,María Valverde,23000,128682,PG-13,893,51000
518,Leonard Nimoy,26000,504419,PG-13,12000,19000
291,James Franco,24000,544665,PG-13,11000,5000
292,Djimon Hounsou,18000,221128,PG,3000,46000
184,Elodie Yung,18000,51892,PG-13,934,24000
145,Joe Morton,820,45455,PG-13,780,0
451,Billy Crudup,986,392474,R,745,18000
141,Rene Russo,5000,127497,R,808,0
267,Regi Davis,820,212106,PG-13,300,0
351,Dwayne Johnson,17000,146352,PG-13,12000,42000
163,Rainn Wilson,11000,77673,PG-13,973,0
166,Ming-Na Wen,12000,72259,PG-13,2000,0
510,Dominic Cooper,11000,508818,PG-13,3000,46000
197,Maria Grazia Cucinotta,766,157519,PG-13,536,2000
244,Lee Ingleby,613,168207,PG-13,172,0
322,Kristen Stewart,21000,185394,PG-13,17000,65000
156,Brad Pitt,49000,32399,PG,11000,0
354,Peter Mensah,3000,326286,PG-13,1000,0
21,Philip Michael Thomas,982,16769,TV-14,321,0
252,Penelope Wilton,535,12572,PG,400,27000
556,Tom Hardy,29000,406020,R,27000,190000
166,Snoop Dogg,16000,62424,PG,881,13000
362,Ray Winstone,40000,183208,PG,1000,26000
153,Annet Mahendru,19000,60230,PG,411,11000
329,Edgar Ramírez,13000,491077,PG-13,897,0
266,Wayne Knight,11000,307029,PG,967,6000
517,Hayley Atwell,2000,313866,PG-13,2000,61000
502,Josh Hutcherson,34000,498397,PG-13,14000,82000
322,Kristen Stewart,21000,185394,PG-13,17000,65000
165,Matt Jones,17000,70121,PG,523,26000
401,Lisa Ann Walter,10000,334345,PG-13,1000,0
94,Henry Rollins,10000,178126,R,898,0
246,Constance Marie,4000,114287,PG,442,16000
330,Andre Braugher,11000,245621,PG-13,702,23000
434,Emma Watson,12000,200022,PG-13,9000,71000
440,Mackenzie Crook,2000,177383,PG,871,44000
274,Gary Oldman,11000,382255,PG,10000,11000
245,Bryan Brown,309,102338,PG-13,284,0
349,Zoë Kravitz,10000,158720,PG-13,943,37000
145,D.B. Sweeney,1000,38438,PG,558,0
1,Dave Legeno,10000,381,,570,40
154,Rami Malek,49000,67223,PG,3000,11000
233,Brad Pitt,24000,172754,PG,11000,13000
258,Fiona Shaw,11000,444683,PG,687,16000
208,Jeff Bridges,16000,91640,PG-13,12000,20000
1,Shin'ya Tsukamoto,544,374,,106,0
271,Orlando Bloom,40000,809474,PG-13,5000,10000
4,Toby Jones,10000,252,,2000,25
403,Philip Seymour Hoffman,34000,305008,PG-13,22000,52000
294,Seth Gabel,15000,314253,PG-13,574,0
