actor_2_name,actor_1_facebook_likes,gross,actor_3_name,movie_imdb_link,language,content_rating,actor_2_facebook_likes,aspect_ratio
Carmen Electra,3000,48546578,Fred Willard,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,English,PG-13,869,1.85
Rob Paulsen,1000,48423368,Spencer Breslin,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,English,G,677,1.66
Tom Wilkinson,1000,52066000,Oprah Winfrey,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,English,PG-13,1000,2.35
Phil Collins,3000,47887943,Tony Jay,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,English,G,455,1.85
Skye McCole Bartusiak,526,46363118,Charles Mesure,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,English,PG-13,392,1.85
Amber Valletta,826,47852604,Marc Macaulay,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,English,PG-13,626,2.35
John Fiedler,304,45542421,Ken Sansom,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,English,G,253,1.78
CCH Pounder,87000,41573740,Aryana Engineer,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,English,R,1000,1.85
Joseph Julian Soria,1000,42652003,Edgar Arreola,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,English,PG,465,2.35
David Mann,607,,Denise Boutte,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,English,,378,1.85
Carmen Electra,926,39737645,Fred Willard,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,English,PG-13,869,1.85
Mako,919,37567440,Sandahl Bergman,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,English,R,691,2.35
Jamey Sheridan,745,44988180,Brian d'Arcy James,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,English,R,168,1.85
Justin Chambers,1000,39263506,Robert Pine,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,English,PG-13,931,2.35
Sarah Roemer,4000,39143839,Matthew Knight,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,English,PG-13,884,1.85
James Pickens Jr.,508,37672350,Barry Shabaka Henley,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,English,R,270,1.85
George Carlin,18000,38037513,Alex Winter,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,English,PG,769,1.85
Tina Fey,49000,37442180,Amy Poehler,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,English,PG-13,2000,2.35
Maximilian Schell,889,,Yvette Mimieux,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,English,PG,877,2.35
Thekla Reuten,978,35596227,Filippo Timi,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,English,R,191,2.35
Constance Marie,565,35422828,Jacob Vargas,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,English,PG,441,2.35
Dave Foley,759,36658108,Anneliese van der Pol,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,English,PG-13,401,1.85
Harriet Walter,11000,34300771,Dermot Crowley,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,English,R,119,1.85
Abigail Spencer,2000,34290142,Jane Fonda,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,English,R,1000,2.35
Meryl Streep,22000,33422556,Carrie Preston,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,English,PG-13,11000,1.85
Maurice LaMarche,860,32774834,Trey Parker,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,English,R,523,2.35
Keram Malicki-Sánchez,383,34334256,Shaun Sipos,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,English,R,333,2.35
Holly Hunter,10000,32051917,Harry Connick Jr.,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,English,R,1000,2.35
Snoop Dogg,31000,32014289,Molly Shannon,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,English,PG-13,881,1.85
Lee Marvin,16000,,Ray Walston,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,English,PG-13,756,2.35
Denis O'Hare,11000,31838002,Lucas Grabeel,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,English,R,896,1.85
Jan Cornet,141,36874745,María Botto,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,English,PG-13,76,2.35
Ron Eldard,534,30079316,Francesca Rettondini,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,English,R,385,1.85
Thomas Lennon,786,35033759,Paula Garcés,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,English,R,651,2.35
Robert Wagner,13000,29753944,Jeff Perry,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,English,R,481,2.35
Paige Turco,812,29062561,Skyler Samuels,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,English,PG-13,533,2.35
Jesper Christensen,1000,31146570,Romi Aboulafia,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,English,R,100,2.35
Lili Taylor,1000,27277055,Lisa Bonet,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,English,R,960,1.85
Jason Beghe,741,26876529,Margaret Cho,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,English,PG-13,297,1.85
Beverly D'Angelo,1000,53146000,Philip Baker Hall,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,English,R,816,1.85
Saffron Burrows,26000,30028592,Daniel Mays,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,English,R,811,2.35
Kirsten Dunst,14000,34126138,Tom Wilkinson,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,English,R,4000,1.85
James Wolk,2000,25677801,Christine Lakin,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,English,PG,938,2.35
Chris Evans,18000,26415649,Noel Gugliemi,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,English,R,11000,2.35
