num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,title_year
305,120,38,717,852,0,Korean,South Korea,R,2003
19,110,221,439,1567,0,English,USA,PG,2010
272,86,104,694,1249,4,English,Canada,Not Rated,2011
5,101,165,574,1335,2,English,Mexico,R,2016
65,102,221,904,1663,1,English,USA,R,1996
5,87,331,702,2715,0,,USA,PG,2006
248,123,168,13000,13636,0,English,UK,Not Rated,2009
152,99,322,962,2452,5,English,USA,PG-13,2011
10,173,476,723,3149,3,English,USA,,
156,87,416,4000,8353,3,English,USA,R,2012
7,44,246,786,1551,0,English,USA,,
1,120,249,912,2330,2,English,USA,PG-13,2004
82,93,197,536,1467,3,English,USA,R,2012
175,111,81,3000,3784,1,English,USA,R,2014
4,60,23,40,158,0,English,UK,,
40,98,17,289,362,0,German,Germany,R,2004
8,100,847,1000,4374,1,English,USA,R,2011
63,88,236,487,1495,0,English,USA,R,2009
20,97,56,599,1030,1,English,USA,R,1999
174,122,605,2000,4920,4,English,Germany,R,2011
90,86,77,767,975,0,English,Ireland,R,2009
58,83,617,798,4756,1,English,USA,R,2015
14,80,19,231,313,1,English,USA,R,2005
451,108,11000,40000,79957,0,English,USA,PG,2010
,90,452,1000,3882,1,English,USA,PG-13,2009
21,96,357,433,1929,2,English,USA,R,2009
9,85,47,652,844,3,English,Brazil,,2013
98,83,975,3000,7191,2,English,USA,R,2014
29,80,73,319,845,0,English,USA,R,2013
23,90,454,2000,3666,3,English,USA,R,2011
87,92,480,756,2715,0,English,USA,Approved,1967
2,100,382,1000,2890,0,Italian,Italy,,2009
17,88,471,2000,4469,0,English,USA,,2013
7,95,375,1000,3024,2,English,USA,R,2014
6,82,648,904,4092,4,English,USA,R,2015
9,97,37,201,277,1,English,Italy,,1988
343,105,502,2000,4671,1,English,USA,PG,2015
11,94,356,854,1989,3,English,USA,R,2009
34,95,463,2000,3648,2,English,USA,R,2010
71,113,11,119,167,0,Portuguese,Brazil,R,1998
21,136,248,931,2167,2,English,USA,Approved,1961
28,80,214,640,1517,1,English,USA,,2015
35,105,183,267,1231,8,English,USA,R,2005
30,90,21,216,423,0,English,USA,,2014
73,93,394,875,2305,0,English,USA,PG-13,2010
154,107,108,264,673,2,English,UK,R,1976
251,89,142,447,923,1,French,France,Unrated,2003
57,90,39,130,362,1,English,Australia,PG-13,2010
14,89,29,679,964,0,English,USA,R,2015
159,116,165,275,727,1,English,USA,R,2005
181,120,102,105,527,2,English,USA,Not Rated,1959
110,88,181,935,1855,0,English,USA,R,1988
213,102,357,695,2509,3,English,USA,Passed,1939
129,106,481,1000,2703,0,English,USA,PG,1974
280,95,192,569,1797,0,English,USA,R,2007
15,144,327,464,1761,0,Hindi,India,PG-13,2006
61,113,42,402,787,1,English,USA,R,1997
33,118,48,481,681,0,English,USA,G,1979
1,141,32,258,434,2,Panjabi,Canada,,2015
2,90,13,122,197,0,Danish,Denmark,Not Rated,2008
27,109,359,756,1949,1,English,USA,Not Rated,1963
19,95,2,20,25,0,Dutch,Netherlands,,1996
9,122,315,760,2555,0,English,USA,Passed,1943
121,93,628,1000,4701,0,English,USA,R,1974
166,97,74,158,467,0,English,USA,R,1984
269,82,46,88,205,1,Polish,Poland,PG-13,2013
29,140,239,443,1269,1,English,UK,R,1987
20,86,327,833,2753,2,English,USA,R,2006
107,109,1000,40000,52621,0,English,USA,R,1999
74,105,28,52,179,1,English,USA,PG-13,2004
173,66,36,123,239,0,Spanish,Spain,R,2007
5,99,4,11,19,1,Mandarin,China,,2009
66,100,209,331,1082,1,English,USA,R,2007
169,103,390,804,2510,0,English,USA,Approved,1952
13,97,0,65,67,2,English,Australia,,2010
129,86,555,713,3421,6,English,USA,R,2013
30,87,67,871,1111,0,English,USA,PG,2012
220,119,593,908,3226,0,English,USA,R,2009
75,149,982,15000,28713,6,English,USA,PG,1996
162,98,67,381,684,0,English,USA,R,1982
74,98,450,595,2373,0,English,USA,G,1971
65,112,124,617,1141,0,English,USA,Approved,1963
26,75,36,1000,1385,0,English,USA,R,2013
63,104,535,18000,19923,2,English,USA,R,1991
205,102,294,625,1655,3,English,USA,R,2004
121,105,4,15,36,1,English,USA,R,1995
9,99,6,50,79,0,French,Canada,,2003
74,107,442,745,2125,1,English,USA,R,1999
54,96,209,643,1396,0,English,USA,R,2004
80,101,40,56,150,1,English,UK,PG-13,2007
