director_name,duration,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Spike Lee,121,413,Tisha Campbell-Martin,4756,1284,Bill Nunn,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38,English,R,6500000,282,5.8,624
Fred Savage,89,555,Lochlyn Munro,12339,1752,Tamala Jones,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32,English,PG,6000000,484,2.9,256
Sammo Kam-Bo Hung,86,472,Sammo Kam-Bo Hung,19774,773,Rachel Blakely,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,70,English,PG-13,,155,6.2,355
Christopher Guest,91,658,Michael McKean,22408,1660,Laura Harris,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,English,PG-13,,378,7.3,0
Donald Petrie,104,8000,Julia Roberts,18286,10430,Conchata Ferrell,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73,English,R,6000000,960,6.2,0
,,1000,Jim Broadbent,9277,4528,Lily James,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,44,English,TV-14,,888,8.2,11000
Peter Howitt,99,711,Jeanne Tripplehorn,52805,1462,John Lynch,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,278,English,R,9000000,427,6.8,0
Rusty Cundieff,98,1000,Corbin Bernsen,4582,3221,David Alan Grier,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,52,English,R,6000000,475,6.1,985
Kevin Macdonald,121,1000,David Oyelowo,145580,1184,Abby Mukiibi Nkaaga,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,351,English,R,6000000,149,7.7,0
Dominique Othenin-Girard,96,742,Donald Pleasence,22929,1308,Troy Evans,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,287,English,X,3000000,256,5.2,926
Richard Linklater,99,11000,Matthew McConaughey,45396,11328,Rick Dial,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,136,English,PG-13,5000000,106,6.8,15000
Jean-Jacques Mantello,42,844,Charlotte Rampling,172,844,,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,5,English,,6000000,0,6.5,28
Ed Harris,122,697,John Heard,23023,1517,Amy Madigan,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148,English,R,6000000,394,7.0,0
Risa Bramon Garcia,101,1000,Janeane Garofalo,13010,2697,Gaby Hoffmann,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,English,R,6000000,744,5.9,0
Brian Klugman,102,24000,J.K. Simmons,59637,51355,Olivia Wilde,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130,English,PG-13,6000000,14000,7.1,21000
Matt Piedmont,84,8000,Will Ferrell,17169,10123,Luis E. Carazo,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70,Spanish,R,6000000,806,5.5,9000
Raymond De Felitta,104,3000,Ezra Miller,27301,3825,Dominik García-Lorido,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,101,English,PG-13,6000000,591,7.4,0
John Michael McDonagh,96,3000,Don Cheadle,64794,3569,Wale Ojo,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,131,English,R,6000000,482,7.3,17000
Deb Hagan,94,1000,Drake Bell,11011,4484,Haley Bennett,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78,English,R,6500000,1000,4.6,422
Sofia Coppola,90,4000,Kirsten Dunst,116910,7103,Scott Glenn,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,520,English,R,6000000,899,7.2,0
Mark Herman,97,1000,Jim Broadbent,13892,2103,Brenda Blethyn,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,160,English,R,,497,7.0,915
Zach Cregger,90,373,Hugh M. Hefner,18313,1831,Raquel Alessi,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,73,English,R,6000000,308,5.1,985
Zach Braff,106,17000,Jim Parsons,29341,18947,Michael Weston,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,93,English,R,6000000,1000,6.7,0
Mark Tarlov,96,4000,Sarah Michelle Gellar,11439,5668,Lawrence Gilliard Jr.,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,190,English,PG-13,6000000,812,5.3,901
,44,937,Francis Capra,55524,3318,Enrico Colantoni,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,315,English,TV-14,,828,8.4,0
John Cameron Mitchell,95,263,John Cameron Mitchell,26300,993,Andrea Martin,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,231,English,R,6000000,261,7.8,0
Sheldon Lettich,99,97,Antoni Corone,4195,382,Todd Susman,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,50,English,PG-13,6000000,91,6.7,0
Jon Knautz,93,397,Rachel Alig,522,546,Alexis Kendra,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,5,English,,,77,5.4,84
Billy Ray,99,4000,Hayden Christensen,28855,8297,Cas Anvar,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,190,English,PG-13,6000000,3000,7.2,0
David Atkins,95,244,Chelcie Ross,9589,489,Polly Noonan,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,105,English,R,6000000,230,5.8,289
Patrick Stettner,84,944,Stockard Channing,3413,1407,Frederick Weller,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,English,R,,257,6.4,29
Sam Peckinpah,144,682,William Holden,63192,2379,L.Q. Jones,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,English,R,6244087,288,8.0,0
Jonathan Levine,99,976,Mary-Kate Olsen,27266,2748,Method Man,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,75,English,R,6000000,617,7.0,0
Michael Crichton,110,187,Lesley-Anne Down,11623,297,Pamela Salem,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,50,English,PG,6000000,34,7.0,643
Lynne Ramsay,97,631,Samantha Morton,6906,841,Paul Popplewell,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,English,R,,104,6.7,605
Sylvio Tabet,107,721,Michael Berryman,2281,2000,Marc Singer,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,English,PG-13,6000000,514,3.8,125
Rick Bieber,90,767,Aidan Quinn,1245,2370,Sammy Nagi Njuguna,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,29,English,PG,6000000,529,5.7,0
Claude Chabrol,104,173,Benoît Magimel,2591,282,Mélanie Doutey,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,36,French,R,,67,6.6,52
Shana Feste,96,1000,Jennifer Ehle,7394,2163,Cara Seymour,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50,English,R,6000000,943,6.7,0
Wayne Wang,104,974,Bingbing Li,3024,2430,Ji-hyun Jun,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,English,PG-13,6000000,595,6.1,0
Joey Lauren Adams,97,596,Tim Blake Nelson,2330,1081,Ritchie Montgomery,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29,English,R,6000000,206,6.2,224
Peter Cattaneo,107,773,James Nesbitt,1940,2440,Peter McNamara,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,34,English,PG-13,6000000,766,6.2,30
Fred Zinnemann,117,11000,Meryl Streep,6454,15604,Vanessa Redgrave,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,44,English,PG,7840000,949,7.4,733
S.R. Bindler,85,11000,Matthew McConaughey,7367,14599,Sarah Wright,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,37,English,R,6000000,826,4.7,850
Tony Kaye,152,103,Noam Chomsky,2143,105,Bill Baird,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,29,English,Unrated,,2,8.3,570
Greg Marcks,85,861,Henry Thomas,38273,2200,Shawn Hatosy,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,English,R,6000000,618,7.2,0
Perry Lang,76,636,Catherine Bell,2989,2152,Tim Guinee,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,38,English,R,8600000,472,5.8,176
Jake Goldberger,87,592,Pruitt Taylor Vince,2050,1227,Robert Wahlberg,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,17,English,R,,521,5.9,275
Stefan Ruzowitzky,95,16000,Charlie Hunnam,32512,27575,Sissy Spacek,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86,English,R,12000000,10000,6.3,0
Vic Sarin,101,933,Connie Nielsen,1696,1940,John Bell,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,English,PG,6000000,767,7.2,1000
William Kaufman,90,848,Drew Waters,10196,3469,Cole Hauser,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,English,R,6000000,816,5.4,0
,240,805,Romola Garai,10388,2563,Rupert Evans,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,English,,,432,8.2,0
David Cronenberg,89,391,Debbie Harry,60522,477,Reiner Schwarz,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,English,R,5952000,20,7.3,0
Cédric Klapisch,111,809,Romain Duris,34383,1858,Iddo Goldberg,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,French,R,5300000,447,7.3,0
Kate Barker-Froyland,86,11000,Anne Hathaway,6797,12772,Li Jun Li,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,English,PG-13,6000000,485,5.8,0
Barbet Schroeder,115,33000,Ryan Gosling,43575,34605,Agnes Bruckner,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,English,R,50000000,455,6.1,0
Martin Koolhoven,103,163,Yorick van Wageningen,9230,219,Martijn Lakemeier,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,Dutch,R,4000000,20,7.1,0
Charles Matthau,90,2000,Billy Burke,6741,6569,Bill Duke,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,English,R,6000000,2000,6.5,0
John Frankenheimer,133,343,Jeanne Moreau,10119,502,Michel Simon,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,English,Unrated,6700000,94,7.9,0
Christopher M. Bessette,88,978,Mira Sorvino,748,1443,Trieu Tran,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,8,English,PG-13,,323,5.4,543
Prachya Pinkaew,111,778,Jon Foo,30210,2205,Johnny Nguyen,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,214,Thai,R,200000000,635,7.1,0
Gary Sinyor,94,722,Sean Pertwee,867,1477,Samuel West,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,21,English,R,,338,6.4,109
,25,229,Simon Bird,55987,1239,James Buckley,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,42,English,TV-14,,223,8.4,0
Gurinder Chadha,112,883,Archie Panjabi,89806,2201,Anupam Kher,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438,English,PG-13,3500159,528,6.7,0
John Sayles,141,688,Miguel Ferrer,3433,2584,Timothy Hutton,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,81,English,PG-13,5600000,659,6.9,160
Preston A. Whitmore II,95,592,Wesley Jonathan,8707,2000,Eva Marcille,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,English,PG-13,5600000,378,2.1,244
Ashish R. Mohan,141,634,Asin,4633,1065,Johnny Lever,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,Hindi,Not Rated,,284,4.3,365
Jaume Balagueró,85,37,Jonathan D. Mellor,55597,73,Andrea Ros,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,Spanish,R,5600000,9,6.6,4000
Stewart Raffill,105,25,Kayla Jackson,548,72,Kayla Raparelli,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,English,PG,,11,3.4,277
George Roy Hill,129,1000,Eileen Brennan,175607,2387,Ray Walston,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,English,PG,5500000,559,8.3,0
Hugh Hudson,125,368,Alice Krige,40511,1651,John Gielgud,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,English,PG,5500000,303,7.2,0
Darren Grant,116,907,Cicely Tyson,10472,2723,Tamara Taylor,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,English,PG-13,5500000,637,5.6,0
Scott Hicks,105,509,Noah Taylor,43013,888,Nicholas Bell,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,English,PG-13,5500000,294,7.7,0
Joseph Gordon-Levitt,90,23000,Joseph Gordon-Levitt,190494,44265,Tony Danza,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,English,R,3000000,19000,6.6,33000
Clint Eastwood,105,16000,Clint Eastwood,36381,17599,John Hillerman,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,English,R,5500000,742,7.6,0
Terry Zwigoff,111,19000,Scarlett Johansson,96129,34106,T.J. Thyne,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,English,R,7000000,12000,7.4,5000
Richard Eyre,91,14000,Kate Winslet,14786,16768,Kris Marshall,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,English,R,5500000,1000,7.1,0
William Sachs,95,113,Stephen Macht,1955,396,Angelo Rossitto,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,English,R,,110,3.4,438
Christophe Barratier,97,517,Jean-Baptiste Maunier,44151,745,Gérard Jugnot,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,French,PG-13,5500000,86,7.9,0
Émile Gaudreault,92,636,Paul Sorvino,5548,1033,Claudia Ferri,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,English,R,5000000,210,6.7,352
James Cox,104,715,Alexis Dziena,18792,1315,Franky G,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,English,R,5000000,436,6.6,1000
Spike Lee,120,782,Ruby Dee,59524,2892,Danny Aiello,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,R,6500000,652,7.9,0
