num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,movie_title,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,imdb_score
51,0,945,Psycho Beach Party ,2282,93,774,6.3
33,8,759,The Big Tease ,2805,31,638,6.3
26,45,623,"Buen Día, Ramón ",824,7,85,7.7
109,0,617,Trust ,916,137,163,7.0
34,272,736,An Everlasting Piece ,1403,26,450,6.3
31,12,578,Among Giants ,643,26,29,5.9
141,105,18000,Adore ,25269,87,6000,6.2
19,137,4000,The Velocity of Gary ,5796,40,575,5.0
64,58,331,Mondays in the Sun ,387,38,27,7.7
215,53,530,Stake Land ,1038,141,238,6.5
5,,254,Sonny with a Chance             ,915,47,248,6.1
12,19,18000,The Last Time I Committed Suicide ,20135,28,759,5.8
70,19,585,Futuro Beach ,629,10,29,6.1
46,8,3000,Another Happy Day ,10984,42,3000,6.0
135,7,762,A Lonely Place to Die ,2631,97,706,6.3
38,165,686,Nothing ,1298,50,246,6.3
8,0,114,The Geographer Drank His Globe Away ,183,3,45,7.5
34,0,713,1776 ,1541,129,649,7.6
36,55,223,Inescapable ,242,20,11,5.2
35,177,431,Hell's Angels ,457,53,12,7.8
6,0,650,Purple Violets ,1585,19,536,6.6
39,21,763,The Veil ,2651,29,637,4.7
182,18,399,The Loved Ones ,644,104,129,6.7
14,548,166,No Vacancy ,609,21,134,4.2
3,4,637,How to Fall in Love ,1932,4,346,6.3
3,103,544,The Perfect Wave ,1150,15,476,4.7
1,335,11000,Ben-Hur ,13391,1,744,6.0
62,160,559,A Man for All Seasons ,1238,167,269,7.9
161,0,3000,Network ,5987,317,977,8.1
157,149,503,Gone with the Wind ,1862,706,384,8.2
31,10,507,Desert Dancer ,1281,10,236,6.0
53,541,773,Major Dundee ,2888,67,575,6.8
1,2,881,Down for Life ,3229,6,826,7.3
21,24,277,Annie Get Your Gun ,731,90,244,7.0
246,69,414,Four Lions ,1269,148,365,7.3
42,6,119,House of Sand ,222,35,69,7.5
78,89,963,Defendor ,2658,90,654,6.8
41,136,89,The Pirate ,282,54,78,7.1
61,29,117,The Good Heart ,298,14,64,6.9
112,13,3000,The History Boys ,5977,172,796,6.9
349,174,14000,Unknown ,17151,332,902,6.9
55,,443,M*A*S*H             ,2195,147,421,8.4
88,154,183,Midnight Cowboy ,465,334,89,7.9
122,11,1000,The Full Monty ,2323,174,891,7.2
134,104,628,Airplane! ,2726,427,575,7.8
11,2,2000,Chain of Command ,2886,14,872,3.5
20,473,826,Friday ,3455,157,723,7.3
28,117,851,Menace II Society ,3036,96,582,7.5
22,,912,Empire             ,4337,92,906,7.8
95,10,3000,Creepshow 2 ,3617,118,273,6.0
31,541,575,The Ballad of Cable Hogue ,1970,62,372,7.3
79,174,255,In Cold Blood ,970,128,220,8.0
25,160,157,The Nun's Story ,646,83,139,7.6
22,22,606,Harper ,2402,74,481,7.0
110,13000,195,Frenzy ,771,199,146,7.5
425,22,648,The Witch ,1122,452,191,6.8
19,0,625,I Got the Hook Up ,987,38,118,3.9
43,0,385,She's the One ,995,98,356,6.1
127,386,3000,Gods and Monsters ,4238,229,258,7.5
262,195,827,The Secret in Their Eyes ,1044,231,88,8.2
184,0,1000,Day of the Dead ,1592,419,177,7.2
33,47,430,Train ,836,52,209,4.8
252,0,634,Evil Dead II ,1347,537,328,7.8
31,0,560,Pootie Tang ,2238,131,555,5.2
139,48,984,Sharknado ,3075,236,697,3.3
39,22,174,La otra conquista ,222,494,16,6.8
337,12,29,Trollhunter ,44,199,4,7.0
30,0,827,Ira & Abby ,3574,24,729,6.5
265,82,622,The Watch ,2486,207,591,5.7
50,9,11000,Winter Passing ,20009,53,8000,6.4
50,23,4000,D.E.B.S. ,6380,135,756,5.3
9,28,426,The Masked Saint ,1043,15,294,4.7
15,0,368,The Betrayed ,668,11,168,6.1
5,6,922,Taxman ,2406,20,893,5.5
1,,773,The Secret             ,1393,4,133,7.3
4,0,708,2:13 ,2307,12,574,4.8
44,41,2000,"Batman: The Dark Knight Returns, Part 2 ",5526,55,774,8.4
6,117,21,Time to Choose ,24,2,3,7.0
17,892,603,In the Name of the King: The Last Job ,854,10,145,3.3
7,14,2000,Wicked Blood ,3854,10,660,5.4
9,19,795,Dawn Patrol ,2497,13,535,4.8
3,0,1000,Lords of London ,1183,18,53,3.1
55,0,1000,High Anxiety ,2861,102,628,6.7
169,10,11000,March of the Penguins ,11218,331,108,7.6
290,78,18000,Margin Call ,22834,225,2000,7.1
10,0,141,August ,320,13,69,6.1
159,0,1000,Choke ,3608,72,585,6.5
535,141,24000,Whiplash ,26495,731,970,8.5
214,353,1000,City of God ,1211,749,69,8.7
47,8,798,Human Traffic ,1430,160,472,7.1
17,19,632,Day One ,1011,13,144,6.6
85,22,11000,The Dead Girl ,11860,73,505,6.7
349,346,74,The Hunt ,216,249,69,8.3
109,84,662,A Christmas Story ,2076,458,577,8.1
60,38,625,Bella ,2747,174,464,7.4
101,73,595,Class of 1984 ,1105,75,251,6.6
1,246,756,The Opposite Sex ,3717,3,521,4.5
16,4,631,Dreaming of Joseph Lees ,2020,18,443,6.4
