director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Frank Darabont,330,126,745,2000,Toby Jones,The Mist ,5371,Jeffrey DeMunn,http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1,1066,R,2007,850,7.2,1.85,20000
Alex Garland,489,108,123,149,Elina Alminas,Ex Machina ,430,Corey Johnson,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,611,R,2015,145,7.7,2.35,109000
Spike Jonze,242,112,213,512,Willie Garson,Being John Malkovich ,1171,Mary Kay Place,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,840,R,1999,216,7.8,1.85,0
Mark Brown,40,90,405,939,Mo'Nique,Two Can Play That Game ,2815,Tamala Jones,http://www.imdb.com/title/tt0269341/?ref_=fn_tt_tt_1,31,R,2001,890,6.1,1.85,593
Dave Green,112,91,140,803,Teo Halm,Earth to Echo ,1921,Jason Gray-Stanford,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,149,PG,2014,587,5.8,1.85,0
John Stockwell,84,135,525,4000,Kirsten Dunst,Crazy/Beautiful ,6214,Rolando Molina,http://www.imdb.com/title/tt0250224/?ref_=fn_tt_tt_1,169,PG-13,2001,1000,6.5,1.85,0
Clint Eastwood,251,141,78,378,Yuki Matsuzaki,Letters from Iwo Jima ,751,Shidô Nakamura,http://www.imdb.com/title/tt0498380/?ref_=fn_tt_tt_1,316,R,2006,85,7.9,2.35,5000
Michael Polish,113,104,844,24000,J.K. Simmons,The Astronaut Farmer ,27806,Bruce Dern,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,128,PG,2006,912,6.3,2.35,862
Daisy von Scherler Mayer,23,84,744,1000,LL Cool J,Woo ,3352,Dave Chappelle,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,20,R,1998,851,3.8,,204
Lenny Abrahamson,421,118,491,805,Joan Allen,Room ,2499,Cas Anvar,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,351,R,2015,681,8.3,2.35,72000
Bob Saget,32,82,294,721,Don Rickles,Dirty Work ,1805,Traylor Howard,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,117,PG-13,1998,359,6.4,1.85,679
John Waters,52,95,650,899,Kathleen Turner,Serial Mom ,3092,Traci Lords,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,107,R,1994,849,6.7,1.66,3000
Andrew Fleming,81,94,4000,16000,Ryan Reynolds,Dick ,31005,Kirsten Dunst,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,210,PG-13,1999,8000,6.1,1.85,0
Niels Arden Oplev,,88,75,690,Michael Nyqvist,Del 1 - Män som hatar kvinnor             ,998,Lena Endre,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,,,,94,8.1,,22
Craig Bolotin,39,99,730,3000,Rosario Dawson,Light It Up ,6485,Robert Ri'chard,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,39,R,1999,1000,6.0,1.85,251
Mark Christopher,63,121,812,4000,Salma Hayek,54 ,6910,Sela Ward,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,181,R,1998,957,5.8,1.85,0
Blair Hayes,47,84,690,15000,Jake Gyllenhaal,Bubble Boy ,18864,Marley Shelton,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,181,PG-13,2001,816,5.6,2.35,0
Jez Butterworth,111,93,258,567,Mark Gatiss,Birthday Girl ,1775,Ben Chaplin,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,159,R,2001,326,6.1,2.35,618
Jon Lucas,168,93,499,552,Justin Chon,21 & Over ,2730,Sarah Wright,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,84,R,2013,528,5.9,2.35,11000
Olivier Assayas,165,120,280,12000,Steve Buscemi,"Paris, je t'aime ",13208,Catalina Sandino Moreno,http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1,123,R,2006,530,7.3,1.85,0
Rod Lurie,104,112,548,748,Harry Lennix,Resurrecting the Champ ,2417,Peter Coyote,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,59,PG-13,2007,573,6.8,2.35,689
Paul Weitz,150,107,252,2000,Tina Fey,Admission ,3004,Christopher Evan Welch,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,87,PG-13,2013,257,5.7,2.35,5000
Patrice Leconte,61,112,8,2000,Emir Kusturica,The Widow of Saint-Pierre ,2389,Yves Jacques,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,69,R,2000,370,7.3,2.35,186
Atom Egoyan,226,96,73,14000,Liam Neeson,Chloe ,14372,Natalie Lisinska,http://www.imdb.com/title/tt1352824/?ref_=fn_tt_tt_1,166,R,2009,153,6.3,1.85,0
Paul Mazursky,21,91,150,979,Chazz Palminteri,Faithful ,1679,Paul Mazursky,http://www.imdb.com/title/tt0116269/?ref_=fn_tt_tt_1,19,R,1996,385,5.9,1.85,69
