movie_title,actor_3_name,facenumber_in_poster,plot_keywords,language,actor_2_facebook_likes
Network ,William Holden,0,media|monologue|television|television network|television news,English,977
Gone with the Wind ,Thomas Mitchell,1,battle of the sexes|gallantry|honesty|indifference|scandal,English,384
Desert Dancer ,Marama Corlett,0,dance|dancer|dancing|desert|iran,English,236
Major Dundee ,Warren Oates,2,apache|apache indian|confederate|mexico|scout,English,575
Down for Life ,Nicholas Gonzalez,3,latina|south central los angeles,English,826
Annie Get Your Gun ,Betty Hutton,0,girl|gun|love|sharpshooter|the end,English,244
Four Lions ,Alex Macqueen,0,accidental shooting|bird|crow|exploding animal|muslim,English,365
House of Sand ,Fernanda Torres,1,1910s|desert|dunes|goat|slave,Portuguese,69
Defendor ,Charlotte Sullivan,0,gun running|organized crime|pimp|superhero|vigilante,English,654
The Pirate ,Ellen Ross,0,hoop|horseback riding|love|pirate|singer,English,78
The Good Heart ,Stephen Henderson,2,bar|bartender|death|heart attack|mentor protege relationship,English,64
The History Boys ,James Corden,0,gay|headmaster|oxford|school|teacher,English,796
Unknown ,Aidan Quinn,3,agriculture|airport|amnesia|nurse|scientist,English,902
M*A*S*H             ,Mike Farrell,5,colonel|doctor|korean war|major|nurse,English,421
Midnight Cowboy ,John McGiver,2,gay|homosexual|homosexuality|hustler|male rear nudity,English,89
The Full Monty ,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,English,891
Airplane! ,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,English,575
Chain of Command ,Jon Osbeck,3,army|michael jai white|ohio|steve austin,English,872
Friday ,Tony Cox,1,bully|drug dealer|first part|neighbor|neighborhood,English,723
Menace II Society ,Khandi Alexander,2,1990s|escape|graduation|hustler|street,English,582
Empire             ,Malik Yoba,2,music business|new york city|record executive|record label|singer,English,906
Creepshow 2 ,Dorothy Lamour,0,anthology|hit and run|hit by a car|living statue|melting woman,English,273
The Ballad of Cable Hogue ,L.Q. Jones,2,desert|partner|prostitute|stagecoach|water,English,372
In Cold Blood ,Will Geer,1,homoeroticism|kansas|murder|police|robbery,English,220
The Nun's Story ,Beatrice Straight,0,belgium|congo|convent|nun|nurse,English,139
Harper ,Shelley Winters,1,kidnapping|los angeles california|neo noir|private detective|ransom,English,481
Frenzy ,Clive Swift,0,penknife|police|rape|serial killer|united kingdom,English,146
The Witch ,Ralph Ineson,0,black magic|goat|isolation|naked woman|witch,English,191
I Got the Hook Up ,Anthony Johnson,2,friend|obscenity|scam|vacant lot|van,English,118
She's the One ,Michael McGlone,2,claim in title|infidelity|irish american|love|sex,English,356
Gods and Monsters ,Kevin J. O'Connor,2,friendship|gardener|gay interest|homosexual|memory,English,258
The Secret in Their Eyes ,Guillermo Francella,0,investigation|justice|murder|suspect|tension,Spanish,88
Day of the Dead ,Joseph Pilato,1,bunker|experiment|military|research|scientist,English,177
Train ,Derek Magyar,1,blood splatter|heart ripped out|jock strap|train|vomiting,English,209
Evil Dead II ,Kassie Wesley DePaiva,0,cabin|cabin in the woods|demon|evil dead|woods,English,328
Pootie Tang ,Robert Vaughn,0,based on sketch comedy|corporation|cult film|evil corporation|sex,English,555
Sharknado ,Cassandra Scerbo,0,cult film|hurricane|school bus|shark|shark feature,English,697
