actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,facenumber_in_poster,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
7,67,19406406,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,0,42,France,40000000,2009,63,0
212,1000,1891821,Action|Adventure|Horror|Sci-Fi|Thriller,David Oyelowo,A Sound of Thunder ,0,301,UK,52000000,2005,307,785
74,795,23219748,Action|Adventure|Drama|History|Romance,Sasha Roiz,Pompeii ,0,308,Canada,80000000,2014,172,20000
20,163,,Animation|Family,Sariann Monaco,Top Cat Begins ,0,1,Mexico,8000000,2015,94,138
535,1000,170708996,Biography|Drama,Adam Goldberg,A Beautiful Mind ,0,1171,USA,58000000,2001,592,29000
847,2000,422783777,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,The Lion King ,0,656,USA,45000000,1994,886,17000
722,14000,103812241,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey 2: The Mysterious Island ,3,133,USA,79000000,2012,12000,0
18,622,119793567,Animation|Comedy|Family|Fantasy|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs 2 ,0,85,USA,78000000,2013,161,15000
876,22000,92930005,Crime|Drama|Thriller,Philip Seymour Hoffman,Red Dragon ,0,764,Germany,78000000,2002,12000,0
1000,24000,67286731,Action|Adventure|Western,J.K. Simmons,Hidalgo ,1,345,USA,100000000,2004,10000,0
553,14000,74158157,Comedy,Al Pacino,Jack and Jill ,2,264,USA,79000000,2011,11000,0
771,23000,127083765,Action|Crime|Thriller,Paul Walker,2 Fast 2 Furious ,5,370,USA,76000000,2003,787,0
6000,12000,1339152,Adventure|Animation|Drama|Family|Fantasy,Jeff Bridges,The Little Prince ,1,64,France,81200000,2015,11000,31000
327,1000,15071514,Sci-Fi|Thriller,Roger Rees,The Invasion ,2,273,USA,80000000,2007,422,0
924,22000,26000610,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,The Adventures of Rocky & Bullwinkle ,0,197,USA,76000000,2000,1000,413
745,1000,323505540,Animation|Comedy|Family,Steve Coogan,The Secret Life of Pets ,0,155,Japan,75000000,2016,904,36000
845,1000,66462600,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,The League of Extraordinary Gentlemen ,3,786,USA,78000000,2003,872,0
1000,7000,368049635,Animation|Comedy|Family|Sci-Fi,Steve Carell,Despicable Me 2 ,0,284,USA,76000000,2013,2000,56000
933,10000,306124059,Action|Adventure|Sci-Fi,Will Smith,Independence Day ,0,856,USA,75000000,1996,2000,16000
227,610,229074524,Action|Adventure|Sci-Fi,Ariana Richards,The Lost World: Jurassic Park ,0,552,USA,73000000,1997,506,0
179,851,193136719,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Madagascar ,0,385,USA,75000000,2005,436,0
18,16000,35286428,Drama|Sci-Fi|Thriller,Charlie Hunnam,Children of Men ,0,1206,USA,76000000,2006,430,17000
505,20000,157299717,Action|Adventure|Sci-Fi,Hugh Jackman,X-Men ,0,1401,USA,75000000,2000,764,0
988,11000,134568845,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,Wanted ,0,713,USA,75000000,2008,11000,0
904,12000,134006721,Action|Adventure|Thriller,Nicolas Cage,The Rock ,1,415,USA,75000000,1996,2000,51000
241,835,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Ice Age: The Meltdown ,0,253,USA,80000000,2006,590,0
328,11000,120776832,Comedy|Romance,Adam Sandler,50 First Dates ,2,456,USA,75000000,2004,427,11000
260,719,118823091,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,Hairspray ,9,401,USA,75000000,2007,339,0
394,613,41814863,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,0,308,USA,50000000,2004,422,893
692,2000,97360069,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Inspector Gadget ,0,231,USA,75000000,1999,710,509
963,11000,117698894,Crime|Mystery|Thriller,Morgan Freeman,Now You See Me ,6,629,USA,75000000,2013,988,105000
4000,12000,162001186,Comedy,Steve Buscemi,Grown Ups ,4,311,USA,80000000,2010,11000,12000
232,15000,77032279,Comedy|Drama,Tom Hanks,The Terminal ,0,596,USA,60000000,2004,466,16000
218,1000,,Drama|Fantasy|Horror|Thriller,Harold Perrineau,Constantine             ,1,94,USA,,,560,10000
446,3000,73023275,Comedy|Family,Don Cheadle,Hotel for Dogs ,4,57,USA,35000000,2009,576,1000
748,867,68473360,Action|Adventure|Drama|Thriller,Nicholas Lea,Vertical Limit ,0,379,USA,75000000,2000,826,0
15000,22000,66636385,Biography|Comedy|Drama|History,Philip Seymour Hoffman,Charlie Wilson's War ,1,289,USA,75000000,2007,15000,0
11000,22000,160762022,Adventure|Animation|Comedy|Family,Robert De Niro,Shark Tale ,0,288,USA,75000000,2004,17000,0
525,912,103338338,Drama|Music|Musical,Loretta Devine,Dreamgirls ,0,503,USA,70000000,2006,549,0
0,374,,Crime|Drama|Mystery,Adam Arkin,Life             ,1,67,USA,,,130,0
