director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,imdb_score,aspect_ratio,movie_facebook_likes
Hayao Miyazaki,174,6000,745,Jada Pinkett Smith,2298191,Princess Mononoke ,221552,2710,0,anime|cult film|forest|princess|studio ghibli,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,PG-13,2400000000,8.4,1.85,11000
Jean-Paul Rappeneau,69,22,413,Peter Coyote,2353728,Bon voyage ,4293,1776,5,actress|bordeaux|german|heavy water|nazi,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,PG-13,20000000,6.9,2.35,235
Nancy Walker,26,42,161,Randy Jones,2000000,Can't Stop the Music ,2998,1462,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,PG,20000000,4.5,2.35,1000
John Hillcoat,168,214,430,Noah Taylor,1900725,The Proposition ,43205,2129,1,aborigine|foreboding|gang|hideout|outlaw,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,R,2000000,7.4,2.35,0
Angelo Pizzo,27,14,400,Finn Wittrock,2246000,Courage ,2302,3384,4,coach|football|football movie|football team|high school sweethearts,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,PG,20000000,7.0,2.35,0
Richard Benjamin,28,121,587,Jane Krakowski,1646664,Marci X ,4518,2467,2,female protagonist|hip hop|jewish american princess|rapper|record label,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,R,20000000,2.8,1.85,241
Kurt Wimmer,146,110,722,Emily Watson,1190018,Equilibrium ,261317,25088,2,cleric|dystopia|fascist|law|neo noir,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,R,20000000,7.5,2.35,20000
Roger Spottiswoode,67,55,2,Guang Li,1027749,The Children of Huang Shi ,8087,1003,4,british|communist|journalist|nurse|orphan,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,R,40000000,7.1,2.35,1000
James Gray,93,115,977,Ellen Burstyn,882710,The Yards ,16215,11433,2,best friend|corruption|fall to death|female nudity|friend,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,R,24000000,6.4,2.35,401
Matthew Diamond,28,12,231,Garrett Clayton,1064277,The Oogieloves in the Big Balloon Adventure ,14015,1978,0,balloon|birthday|box office flop|critically bashed,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,G,20000000,6.7,,831
Angelina Jolie Pitt,131,11000,188,Angelina Jolie Pitt,531009,By the Sea ,7976,22319,0,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,R,10000000,5.3,2.35,0
Katsuhiro Ôtomo,105,78,101,Robin Atkin Downes,410388,Steamboy ,13727,991,1,19th century|ball|boy|inventor|steam,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,PG-13,2127519898,6.9,1.85,973
