gross,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,content_rating,budget,title_year,movie_facebook_likes
,Robert Duvall,To Kill a Mockingbird ,215086,William Windom,0,471,Not Rated,2000000,1962,15000
9003011,Vernon Wells,Mad Max 2: The Road Warrior ,133966,Kjell Nilsson,0,294,R,2000000,1981,0
11546543,Andy Lau,The Legend of Drunken Master ,34520,Ho-Sung Pak,1,146,R,2000000,1994,0
,James Mason,Lolita ,67825,Lois Maxwell,0,207,Not Rated,2000000,1962,0
11533945,Alicia Goranson,Boys Don't Cry ,77551,Jeannetta Arnette,0,434,R,2000000,1999,0
12555230,Eric Sheffer Stevens,Silent House ,18566,Adam Trese,0,154,R,2000000,2011,0
11284657,Sebastian Koch,The Lives of Others ,259379,Martina Gedeck,3,407,R,2000000,2006,39000
34522221,Ben Davies,Courageous ,15401,T.C. Stallings,7,175,PG-13,2000000,2011,10000
,George C. Scott,The Hustler ,62860,Murray Hamilton,1,167,Unrated,2000000,1961,0
,Hedy Lamarr,Boom Town ,2269,Claudette Colbert,8,34,Passed,1614000,1940,236
7002255,Michel Robin,The Triplets of Belleville ,42462,Béatrice Bonifassi,0,312,PG-13,9500000,2003,0
6719300,Michael Greyeyes,Smoke Signals ,8224,Gary Farmer,3,132,PG-13,2000000,1998,0
6003587,Josh Hutcherson,American Splendor ,41999,Daniel Tay,0,226,R,,2003,0
5792822,Vernon Dobtcheff,Before Sunset ,168398,Marie Pillet,0,492,R,2700000,2004,13000
5383834,Adriana Barraza,Amores Perros ,173551,Goya Toledo,0,361,R,2000000,2000,11000
4599680,Holly Hunter,Thirteen ,68222,Kip Pardue,2,545,R,1500000,2003,0
,Dean Stockwell,Gentleman's Agreement ,10791,John Garfield,3,113,Approved,2000000,1947,0
6531491,Jennifer Lawrence,Winter's Bone ,111658,Lauren Sweetser,2,297,R,2000000,2010,20000
4581222,Nicholas Aaron,Touching the Void ,26926,Joe Simpson,0,156,R,,2003,0
,Tyrone Power,Alexander's Ragtime Band ,1381,John Carradine,2,29,Approved,2000000,1938,60
3885134,Najarra Townsend,Me and You and Everyone We Know ,31130,Miranda July,0,243,R,2000000,2005,0
4311834,Matt Damon,Inside Job ,55382,Barney Frank,0,129,PG-13,,2010,63000
3590010,Vanessa Lengies,We Are Your Friends ,20885,Jonny Weston,0,60,R,2000000,2015,0
3300230,Henry Silva,Ghost Dog: The Way of the Samurai ,70084,Richard Portnow,1,346,R,,1999,0
3335839,J.K. Simmons,Harsh Times ,54657,Noel Gugliemi,2,222,R,2000000,2005,0
2557668,David Oyelowo,Captive ,3911,Sydelle Noel,1,22,PG-13,2000000,2015,0
2506446,Julia Roberts,Full Frontal ,8662,Blair Underwood,0,172,R,2000000,2002,134
7369373,Kathleen Wilhoite,Witchboard ,4288,Rose Marie,1,74,R,2000000,1986,0
,Stephen Colbert,Strangers with Candy             ,4181,Maria Thayer,3,62,TV-14,,,558
4414535,Julie Christie,Hamlet ,30618,Richard Briers,0,224,PG-13,18000000,1996,0
1984378,Sook-Yin Lee,Shortbus ,27346,Raphael Barker,3,206,Unrated,2000000,2006,0
2283276,Ari Folman,Waltz with Bashir ,46107,Zahava Solomon,0,156,R,1500000,2008,0
1098224,Noah Danby,"The Book of Mormon Movie, Volume 1: The Journey ",397,Bruce Newbold,1,30,PG-13,2000000,2003,32
1430185,Campbell Scott,No End in Sight ,7314,Donald Rumsfeld,0,55,,2000000,2007,0
1477002,Alexander Skarsgård,The Diary of a Teenage Girl ,16645,Austin Lyon,3,72,R,2000000,2015,0
,Anne Hathaway,Get Real             ,415,Debrah Farentino,5,26,,,,43
1134049,John F. Kennedy,In the Shadow of the Moon ,5475,Neil Armstrong,0,44,PG,2000000,2007,0
