duration,actor_2_name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,aspect_ratio,movie_facebook_likes
110,Antonio Arrué,27,5,1,Spanish,,75
88,Scott Adsit,2953,1438,38,English,1.85,480
76,Denise Boutte,9560,1190,35,English,1.85,636
100,David Niven,3418,1621,52,English,1.37,204
99,Kristin Booth,652,862,11,English,,161
84,Victor Zinck Jr.,1321,630,51,English,,238
91,Jacob Vargas,5061,1218,70,English,1.85,0
97,Cleavon Little,1172,1581,27,English,1.85,477
84,Sabrina Carmichael,742,11257,7,English,,479
100,Deirdre Lorenz,71,1810,2,English,,242
94,Dane Cook,76467,19957,236,English,1.85,0
90,Gary Stretch,39929,1311,207,English,1.85,0
,John Jarratt,726,1617,6,English,2.0,954
92,Clu Gulager,1324,1329,37,English,1.85,241
105,,285,0,8,English,1.33,51
73,CindyMarie Small,1555,21,32,English,1.85,131
116,Frank Rautenbach,2050,521,36,Zulu,1.85,0
110,Marilyn Norry,6555,645,82,English,2.35,0
102,Yayan Ruhian,148221,1445,316,Indonesian,1.85,51000
89,Vernon Wells,737,2510,15,English,1.85,444
76,Anella Vastola,332,12,10,English,2.35,200
82,Claude Rains,387508,3442,1123,English,1.37,23000
89,Rosie Traynor,9465,29,85,English,1.85,0
150,Shazahn Padamsee,11010,1052,35,Hindi,,773
89,Ron Rifkin,20678,1080,199,English,1.85,0
145,Burgess Meredith,375240,16094,542,English,1.33,0
91,Brady Corbet,512,622,2,English,2.35,234
89,Hal Holbrook,46493,4878,335,English,2.35,7000
121,Susannah York,8508,1371,56,English,1.37,328
83,Renee Olstead,44329,1565,309,English,1.85,13000
110,Albert Brooks,507063,23525,881,English,1.85,35000
91,Robert Picardo,22773,4438,195,English,1.85,0
110,Jack Lord,116642,1421,389,English,1.37,5000
86,Ingrid Bolsø Berdal,52642,2665,271,English,1.85,24000
86,Ashley Laurence,76407,673,335,English,1.85,0
120,Robin Givens,4501,1810,102,English,2.35,0
90,Gary Cole,23021,3155,220,English,2.35,816
99,Naomi Nishida,5442,53,140,Japanese,2.35,339
112,Mike Vogel,141425,35941,283,English,1.66,25000
103,Felicity Huffman,36321,3192,230,English,1.85,0
83,Claudiu Trandafir,30570,988,290,English,1.85,12000
109,Cynthia Myers,7584,731,137,English,2.35,0
89,Neville Brand,2636,831,36,English,2.35,365
96,Al Gore,67654,929,504,English,1.85,0
109,Richard Jaeckel,7346,510,69,English,1.37,624
122,Keith Richards,9638,1218,67,English,1.85,0
100,Richard Burgi,21468,2082,164,English,2.35,12000
109,Alex Lawther,162,283,5,English,1.85,75
95,Adam Arkin,36381,1899,126,English,1.85,11000
94,Eric Schlosser,42389,42,183,English,1.78,37000
107,Robert Amaya,6110,1147,82,English,,0
104,Callie Thorne,4195,23461,86,English,1.85,392
96,Jennifer Garner,414345,28817,881,English,1.85,10000
