num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,title_year,actor_2_facebook_likes
85,72,384,Phil Collins,Adventure|Animation|Family|Musical,Haley Joel Osment,4480,Tony Jay,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58,G,20000000,2003,455
140,89,349,Skye McCole Bartusiak,Drama|Horror|Mystery|Thriller,Barry Watson,1383,Charles Mesure,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,389,PG-13,20000000,2005,392
184,96,107,Amber Valletta,Drama|Mystery|Thriller,Nia Long,1825,Marc Macaulay,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337,PG-13,20000000,2007,626
89,77,16,John Fiedler,Animation|Comedy|Drama|Family|Musical,Kath Soucie,575,Ken Sansom,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,53,G,30000000,2000,253
265,123,602,CCH Pounder,Horror|Mystery|Thriller,Jimmy Bennett,88953,Aryana Engineer,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,383,R,,2009,1000
61,111,455,Joseph Julian Soria,Adventure|Family,Jay Hernandez,2851,Edgar Arreola,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,87,PG,20000000,2015,465
3,30,295,David Mann,Comedy,Lamman Rucker,1530,Denise Boutte,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,20,,,,378
112,93,729,Carmen Electra,Adventure|Comedy,David Carradine,4293,Fred Willard,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,666,PG-13,20000000,2007,869
166,129,183,Mako,Adventure|Fantasy,William Smith,2024,Sandahl Bergman,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,R,20000000,1982,691
474,128,77,Jamey Sheridan,Biography|Crime|Drama|History,Billy Crudup,1058,Brian d'Arcy James,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,409,R,20000000,2015,168
165,110,332,Justin Chambers,Crime|Drama|Thriller,Jay Hernandez,2382,Robert Pine,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,135,PG-13,22000000,2008,931
131,137,464,Sarah Roemer,Horror|Thriller,Sarah Michelle Gellar,5746,Matthew Knight,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,284,PG-13,20000000,2006,884
29,124,232,James Pickens Jr.,Comedy|Drama|Romance,Richard Lawson,1660,Barry Shabaka Henley,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,51,R,20000000,1998,270
43,93,636,George Carlin,Adventure|Comedy|Fantasy|Music|Sci-Fi,Keanu Reeves,20188,Alex Winter,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,117,PG,20000000,1991,769
111,115,1000,Tina Fey,Comedy|Drama|Romance|Thriller,Robin Williams,52571,Amy Poehler,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236,PG-13,20000000,2006,2000
90,98,160,Maximilian Schell,Action|Sci-Fi,Robert Forster,2110,Yvette Mimieux,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,230,PG,20000000,1979,877
333,105,101,Thekla Reuten,Crime|Drama|Thriller,Violante Placido,1454,Filippo Timi,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,463,R,20000000,2010,191
37,127,399,Constance Marie,Biography|Drama|Music,Jon Seda,1735,Jacob Vargas,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,155,PG,20000000,1997,441
122,82,354,Dave Foley,Comedy,Diedrich Bader,2898,Anneliese van der Pol,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,187,PG-13,20000000,2010,401
285,143,51,Harriet Walter,Drama,Brad Pitt,11248,Dermot Crowley,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,908,R,25000000,2006,119
156,103,949,Abigail Spencer,Comedy|Drama,Tina Fey,4662,Jane Fonda,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,145,R,19800000,2014,1000
293,104,652,Meryl Streep,Drama|Mystery,Philip Seymour Hoffman,33903,Carrie Preston,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,321,PG-13,20000000,2008,11000
233,98,406,Maurice LaMarche,Action|Comedy,Jeremy Shada,2609,Trey Parker,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,700,R,30000000,2004,523
282,92,322,Keram Malicki-Sánchez,Horror|Thriller,Gunnar Hansen,1945,Shaun Sipos,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,255,R,11000000,2013,333
57,123,631,Holly Hunter,Crime|Drama|Mystery|Thriller,William McNamara,12338,Harry Connick Jr.,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,140,R,20000000,1995,1000
153,88,636,Snoop Dogg,Comedy,Marisa Saks,34319,Molly Shannon,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,177,PG-13,20000000,2013,881
20,158,417,Lee Marvin,Comedy|Drama|Musical|Romance|Western,Clint Eastwood,17775,Ray Walston,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,106,PG-13,20000000,1969,756
324,128,755,Denis O'Hare,Biography|Drama|History,James Franco,13189,Lucas Grabeel,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,281,R,20000000,2008,896
122,107,47,Jan Cornet,Action|Adventure|Drama|Mystery,Peter Firth,389,María Botto,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,117,PG-13,20000000,2016,76
156,91,78,Ron Eldard,Horror,Isaiah Washington,1083,Francesca Rettondini,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,474,R,35000000,2002,385
161,90,587,Thomas Lennon,Adventure|Comedy,Patton Oswalt,2462,Paula Garcés,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,R,19000000,2011,651
69,115,254,Robert Wagner,Crime|Drama|Mystery|Thriller,Bill Murray,14275,Jeff Perry,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,389,R,20000000,1998,481
121,101,429,Paige Turco,Crime|Thriller,Sela Ward,3292,Skyler Samuels,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,119,PG-13,,2009,533
258,113,22,Jesper Christensen,Drama|Thriller,Tom Wilkinson,1136,Romi Aboulafia,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,165,R,20000000,2010,100
174,113,619,Lili Taylor,Comedy|Drama|Music|Romance,Drake Bell,3141,Lisa Bonet,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,602,R,20000000,2000,960
141,87,270,Jason Beghe,Horror|Mystery,Johnny Lewis,1834,Margaret Cho,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,189,PG-13,27000000,2008,297
