actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,country,budget,aspect_ratio
17,651,155,Curt Doussett,0,English,USA,500000,
482,3479,3166,Jon Gries,0,English,USA,500000,1.85
595,26407,2655,Trevor Morgan,0,English,USA,500000,1.85
474,1038,2322,Lynn Cohen,3,English,USA,500000,1.85
658,709,24382,Michael McKean,1,English,USA,500000,1.85
469,553,2555,Clifton Powell,3,English,USA,500000,1.85
213,6884,1440,Mary Kay Place,0,English,USA,500000,1.85
243,45928,20480,Ti West,5,English,USA,,2.35
49,774,483,Dick Cavett,0,English,USA,500000,
4,229012,338,Kamatari Fujiwara,6,Japanese,Japan,2000000,1.37
8,3086,44,Mickey Hart,1,English,USA,500000,
329,3013,11839,Nick Cave,0,English,Switzerland,500000,1.85
143,1656,734,Joe McQueen,0,English,USA,500000,1.85
196,26185,1498,Cecelia Antoinette,0,English,France,500000,1.85
183,70136,17883,April Winchell,0,English,USA,135000000,1.85
325,1358,2310,Garrett M. Brown,3,English,USA,500000,1.85
699,2004,35294,Eddie Spears,2,English,USA,500000,2.35
113,75669,1118,Ricky Catter,0,English,UK,500000,2.35
347,299,1924,Illeana Douglas,3,English,USA,,1.85
170,739,1047,Matthew Cowles,2,English,USA,500000,
445,2038,2251,Max Adler,6,English,USA,500000,2.35
0,2097,8,Zhonghua Chen,1,Mandarin,China,3000000,2.35
25,1006,119,Damon Albarn,0,English,UK,500000,1.85
637,601,3309,Megan Mullally,0,English,USA,100000,1.85
118,15756,2099,Stafford Douglas,0,English,USA,,2.35
0,16,2,Chin-Chien Chang,0,English,USA,500000,1.33
205,38,1235,Tony Bennett,1,English,USA,500000,1.33
680,26863,26999,Paddy Considine,3,English,UK,,2.35
238,2012,2102,Al Sapienza,2,English,USA,500000,2.35
569,22,3359,Mike Colter,0,English,USA,,
152,292,1038,Tom Stedham,0,English,USA,,
135,34219,1531,Dave Allen,1,English,USA,12000000,1.85
120,5025,630,Christopher Denham,3,English,USA,500000,
15,197,206,Claudette Lalí,1,Spanish,Dominican Republic,500000,16.0
212,60,2091,Vincent De Paul,0,English,USA,150000,
303,259,2438,Terrance Zdunich,5,English,USA,500000,1.78
33,30,254,Felix Avitia,0,English,USA,,
317,62,1628,Yassie Hawkes,2,English,USA,500000,
0,40,0,Laura Flanders,1,English,USA,500000,
53,15,683,Jamison Stalsworth,2,English,USA,500000,16.0
11000,175413,73441,James Franco,4,English,USA,215000000,2.35
10,19253,553,Pat Ryan,0,English,USA,475000,1.85
10,475,380,Matty Rich,4,English,USA,450000,1.85
