actor_2_name,genres,movie_title,actor_3_name,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Gavin MacLeod,Comedy|War,McHale's Navy             ,Bob Hastings,18,English,USA,TV-G,,,284,4.0
Dany Boon,Action|Comedy|Crime,Micmacs ,André Dussollier,71,French,France,R,27000000,2009,172,2.35
Omar Benson Miller,Drama|Music,8 Mile ,Evan Jones,564,English,USA,R,41000000,2002,418,2.35
Youssef Hajdi,Adventure|Animation|Comedy|Family,Animal Kingdom: Let's go Ape ,Mélissa Theuriau,5,French,France,,,2015,152,
Rufus Sewell,Action|Adventure|Romance,A Knight's Tale ,Bérénice Bejo,658,English,USA,PG-13,65000000,2001,3000,2.35
Lee Evans,Action|Comedy|Fantasy,The Medallion ,Anthony Chau-Sang Wong,132,English,Hong Kong,PG-13,41000000,2003,312,2.35
Haley Joel Osment,Drama|Mystery|Thriller,The Sixth Sense ,Olivia Williams,2073,English,USA,PG-13,40000000,1999,3000,1.85
Mandy Gonzalez,Action|Crime|Thriller,Man on a Ledge ,J. Smith-Cameron,153,English,USA,PG-13,42000000,2012,81,2.35
Kevin Pollak,Comedy,The Big Year ,JoBeth Williams,125,English,USA,PG,41000000,2011,574,2.35
William Zabka,Action|Drama|Family|Sport,The Karate Kid ,William Bassett,235,English,USA,PG,8000000,1984,641,1.85
Christian Bale,Crime|Drama,American Hustle ,Bradley Cooper,751,English,USA,R,40000000,2013,23000,2.35
Denis O'Hare,Comedy|Drama|Romance,The Proposal ,Craig T. Nelson,273,English,USA,PG-13,40000000,2009,896,2.35
Annabeth Gish,Crime|Mystery|Thriller,Double Jeopardy ,Bruce Campbell,336,English,USA,R,70000000,1999,489,2.35
Jeffrey Weissman,Adventure|Comedy|Sci-Fi,Back to the Future Part II ,Thomas F. Wilson,327,English,USA,PG,40000000,1989,869,1.85
Morgan Freeman,Action|Sci-Fi|Thriller,Lucy ,Amr Waked,918,English,France,R,40000000,2014,11000,2.35
Luke Grimes,Drama|Romance,Fifty Shades of Grey ,Callum Rennie,1360,English,USA,R,40000000,2015,935,2.35
Salma Hayek,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids 3-D: Game Over ,Alexa PenaVega,188,English,USA,PG,38000000,2003,4000,1.85
Matthew McConaughey,Crime|Drama|Thriller,A Time to Kill ,Oliver Platt,236,English,USA,R,40000000,1996,11000,2.35
Alyson Stoner,Comedy|Family,Cheaper by the Dozen ,Bonnie Hunt,288,English,USA,PG,40000000,2003,2000,1.85
