director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Tommy Lee Jones,208,567,Tim Blake Nelson,883,Drama|Western,The Homesman ,21370,Miranda Otto,1,132,USA,16000000,596,6.6,2.35,0
Jesse Vaughan,32,574,Jenifer Lewis,890,Comedy|Drama|Romance|Sport,Juwanna Mann ,5312,Kevin Pollak,3,40,USA,15600000,578,4.5,1.85,939
,20,15,Trond Fausa,422,Comedy|Crime|Drama,Lilyhammer             ,19164,Tommy Karlsen,0,79,Norway,34000000,57,8.1,16.0,16000
Atom Egoyan,78,125,Marie-Josée Croze,232,Drama|War,Ararat ,8624,Charles Aznavour,1,180,Canada,,150,6.6,1.66,824
William Bindley,21,518,Jake Lloyd,844,Drama|Sport,Madison ,1033,William Shockley,0,26,USA,,626,6.5,2.35,282
Wayne Beach,40,922,LL Cool J,1000,Drama|Mystery|Thriller,Slow Burn ,3299,Fisher Stevens,0,24,USA,15500000,1000,5.9,1.85,191
Gérard Krawczyk,40,17,Ryôko Hirosue,235,Action|Comedy|Crime|Drama|Thriller,Wasabi ,29392,Michel Muller,1,91,France,15300000,46,6.6,2.35,0
James Gunn,251,102,Gregg Henry,499,Comedy|Horror|Sci-Fi,Slither ,61912,Tania Saulnier,0,352,Canada,15500000,298,6.5,1.85,0
Martin Brest,94,383,Ronny Cox,901,Action|Comedy|Crime,Beverly Hills Cop ,126464,James Russo,1,175,USA,14000000,605,7.3,1.85,0
Chris Columbus,102,925,Devin Ratray,3000,Comedy|Family,Home Alone ,311075,Catherine O'Hara,5,305,USA,18000000,1000,7.5,1.85,20000
Leonard Nimoy,21,801,Ted Danson,19000,Comedy|Drama|Family,3 Men and a Baby ,36918,Steve Guttenberg,4,42,USA,11000000,875,5.9,1.85,3000
Sydney Pollack,94,481,Sydney Pollack,13000,Comedy|Drama|Romance,Tootsie ,77366,Teri Garr,1,194,USA,22000000,521,7.4,2.35,0
Tony Scott,173,555,Tom Skerritt,10000,Action|Drama|Romance,Top Gun ,219171,Adrian Pasdar,2,388,USA,15000000,1000,6.9,1.33,19000
Ang Lee,287,5,Pei-Pei Cheng,103,Action|Drama|Romance,Crouching Tiger, Hidden Dragon ,217740,Sihung Lung,3,1641,Taiwan,15000000,21,7.9,2.35,0
Sam Mendes,176,158,Peter Gallagher,18000,Drama,American Beauty ,822500,Ara Celi,0,2715,USA,15000000,828,8.4,2.35,22000
Tom Hooper,479,520,Jennifer Ehle,14000,Biography|Drama|History|Romance,The King's Speech ,503631,Derek Jacobi,0,636,UK,15000000,1000,8.0,1.85,64000
Ivan Reitman,27,247,Tony Jay,742,Comedy|Crime,Twins ,87538,Hugh O'Brian,1,79,USA,15000000,384,6.0,1.85,0
,20,260,Bobby Campo,460,Crime|Drama|Horror|Mystery|Thriller,Scream: The TV Series             ,18058,Jason Wiles,0,68,USA,,292,7.3,16.0,0
Udayan Prasad,60,882,Eddie Redmayne,17000,Drama|Romance,The Yellow Handkerchief ,6723,William Hurt,1,36,USA,15500000,13000,6.8,2.35,1000
Steven Spielberg,70,271,Rae Dawn Chong,852,Drama,The Color Purple ,60988,Dana Ivey,0,199,USA,15000000,581,7.8,1.85,6000
JK Youn,43,13,Ji-won Ha,94,Action|Comedy|Drama|Thriller,Tidal Wave ,2659,Kyung-gu Sol,2,25,South Korea,,80,5.7,2.35,558
Timur Bekmambetov,1,635,Ayelet Zurer,11000,Adventure|Drama|History,Ben-Hur ,62,Moises Arias,2,1,USA,100000000,744,6.1,2.35,0
Morten Tyldum,454,305,Rory Kinnear,19000,Biography|Drama|Thriller|War,The Imitation Game ,467613,Allen Leech,1,608,UK,14000000,393,8.1,2.35,165000
Howard Zieff,25,271,Albert Brooks,1000,Comedy|War,Private Benjamin ,18140,Alan Oppenheimer,1,60,USA,10000000,745,6.1,1.85,855
Michael Apted,46,572,Beverly D'Angelo,874,Biography|Drama|Music|Musical,Coal Miner's Daughter ,12974,Levon Helm,0,84,USA,,816,7.5,1.85,0
Thor Freudenthal,111,569,Zachary Gordon,17000,Comedy|Family,Diary of a Wimpy Kid ,32002,Rachael Harris,1,103,USA,15000000,975,6.2,1.85,0
Andrés Muschietti,393,250,Megan Charpentier,1000,Fantasy|Horror,Mama ,134869,Isabelle Nélisse,1,304,Canada,20000000,340,6.2,1.85,57000
John Carpenter,318,598,Donald Pleasence,2000,Horror|Thriller,Halloween ,157857,P.J. Soles,0,1191,USA,300000,742,7.9,2.35,12000
Harold Ramis,55,624,Randy Quaid,816,Adventure|Comedy,National Lampoon's Vacation ,71183,Jane Krakowski,1,183,USA,15000000,695,7.4,1.85,0
Jeff Tremaine,157,27,Georgina Cates,925,Comedy,Bad Grandpa ,77724,Grasie Mercedes,0,162,USA,15000000,38,6.6,1.85,26000
Stephen Frears,280,39,Sylvia Syms,326,Biography|Drama,The Queen ,85333,Alex Jennings,0,421,UK,9800000,48,7.3,1.85,0
Tim Burton,109,217,Jeffrey Jones,925,Comedy|Fantasy,Beetlejuice ,189413,Glenn Shadix,3,306,USA,15000000,692,7.5,1.85,15000
Tyler Perry,41,607,Tasha Smith,2000,Comedy|Drama,Why Did I Get Married? ,9811,Lamman Rucker,8,100,USA,15000000,721,5.6,1.85,1000
Gillian Armstrong,27,902,Kirsten Dunst,23000,Drama|Family|Romance,Little Women ,36624,Eric Stoltz,4,132,USA,15000000,4000,7.3,1.85,0
James Watkins,462,259,Roger Allam,11000,Drama|Fantasy|Horror|Thriller,The Woman in Black ,139749,Jessica Raine,0,509,UK,17000000,326,6.4,2.35,29000
Simon West,152,383,Tessa Thompson,1000,Horror|Thriller,When a Stranger Calls ,34711,Brian Geraghty,0,468,USA,15000000,431,5.0,2.35,0
Shawn Levy,69,799,Donald Faison,934,Adventure|Comedy|Family,Big Fat Liar ,29008,Lee Majors,1,99,USA,15000000,927,5.4,1.85,896
Michael Cimino,140,652,Meryl Streep,22000,Drama|War,The Deer Hunter ,232577,John Savage,2,1026,UK,15000000,11000,8.2,2.35,11000
