director_facebook_likes,gross,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes
80,7156725,6,217,2000
22,15681020,6,259,593
8,7070459,0,18,122
47,6855137,2,419,979
9,2694071,3,64,327
3,2315683,0,28,193
168,39825798,3,645,979
4,2000000,0,27,537
541,1569918,1,113,96
30,106869,1,39,287
219,273420,6,238,876
0,,0,39,262
22,,0,71,642
57,4930798,1,108,152
6,59847242,1,115,2000
30,220914,2,97,3000
168,39825798,3,645,979
0,43848100,2,219,508
0,42700000,2,196,14000
11,18663911,1,151,838
18,11702090,2,50,701
26,13005485,0,469,624
608,95860116,0,491,1000
137,127175354,2,438,854
0,92823600,0,273,73
0,54000000,0,154,617
480,68525609,5,302,490
48,52885587,0,267,255
405,44667095,0,583,897
687,42638165,1,230,787
0,45507053,2,377,13000
473,39511038,0,366,4000
19,6462576,0,30,118
11,40363530,2,307,521
0,37623143,0,1083,269
,,0,57,921
14,33357476,0,53,1000
309,28734552,2,81,881
26,37300107,1,115,1000
29,27087695,0,205,593
23,30102717,2,72,67
1000,23618786,1,687,115
15,26896744,4,125,680
11000,23213577,0,365,581
5,,1,54,690
24,55461307,9,46,1000
7,20627372,3,134,240
7,16346122,0,171,787
45,16204793,1,294,396
22,15427192,0,148,2000
11000,14792779,0,91,410
179,13998282,1,374,1000
47,19057024,0,361,541
6,14108518,1,95,326
121,13854000,0,55,3000
438,77324422,2,261,15000
9,15500000,0,302,380
3,11540112,1,20,584
38,,7,90,416
28,4734235,0,123,403
11000,4839383,0,148,650
89,4193025,0,194,852
85,5900000,1,316,309
369,2849142,1,88,418
34,1686429,1,62,489
115,1984743,3,70,316
133,1666262,0,78,708
0,2319187,0,212,1000
29,13922211,9,150,881
172,,2,49,55
6,23091,1,42,304
929,336467,0,192,289
143,2964,2,42,945
529,,0,304,884
22,,0,43,170
0,2428883,1,132,596
10,13571817,3,40,578
,,0,79,57
460,1554566,1,180,150
4,508867,0,26,626
7,1181197,0,24,1000
7,81525,1,91,46
571,7774730,0,352,298
102,234760500,1,175,605
0,285761243,5,305,1000
12000,167780960,4,42,875
521,177200000,1,194,521
12000,176781728,2,388,1000
0,128067808,3,1641,21
0,130058047,0,2715,828
0,138795342,0,636,1000
425,111936400,1,79,384
,,0,68,292
