director_name,duration,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,actor_2_facebook_likes,imdb_score
Tom Vaughan,101,149,Comedy|Romance,Treat Williams,1026,Michelle Krusiec,2,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,151,171,6.1
Paul Fox,80,39,Horror|Thriller,Dov Tiefenbach,272,Gordon Currie,0,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,52,64,6.1
Stephen Frears,97,33,Comedy|Drama|Romance,Saeed Jaffrey,260,Garry Cooper,1,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,64,61,6.9
Ari Kirschenbaum,84,36,Drama|Horror|Mystery|Thriller,R. Brandon Johnson,312,Desmond Askew,0,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,10,80,5.8
Cassandra Nicolaou,97,83,Drama|Thriller,Katharine Isabelle,1163,Gabriel Hogan,0,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,5,100,6.0
Ingmar Bergman,91,92,Drama,Liv Ullmann,809,Erland Josephson,0,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,197,132,8.2
D.W. Griffith,123,9,Drama|History|War,Lillian Gish,481,Walter Long,1,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,88,22,8.0
Roger Nygard,86,513,Documentary,Walter Koenig,2864,James Doohan,1,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,75,606,7.0
Harry Beaumont,100,4,Musical|Romance,Anita Page,109,Charles King,8,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,28,6.3
Sam Raimi,96,58,Fantasy|Horror,Ted Raimi,813,Ellen Sandweiss,0,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,740,66,7.6
Franck Khalfoun,89,118,Horror|Thriller,America Olivo,1233,Liane Balaban,0,http://www.imdb.com/title/tt2103217/?ref_=fn_tt_tt_1,131,378,6.1
Mor Loushy,84,,Documentary|History,Amos Oz,3,,0,http://www.imdb.com/title/tt3457376/?ref_=fn_tt_tt_1,3,,7.2
Henry Alex Rubin,88,0,Documentary|Sport,Mark Zupan,15,Andy Cohn,1,http://www.imdb.com/title/tt0436613/?ref_=fn_tt_tt_1,70,0,7.8
Sam Firstenberg,90,93,Action|Drama,Michael Dudikoff,872,Larry Poindexter,0,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,46,96,4.7
Doug Block,90,0,Documentary,Carol Block,0,Mike Block,2,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,16,0,7.5
,43,576,Action|Adventure|Drama|Sci-Fi,Billy Burke,5052,David Lyons,6,http://www.imdb.com/title/tt2070791/?ref_=fn_tt_tt_1,323,821,6.7
Chad Kapper,98,0,Family|Sci-Fi,Tom E. Nicholson,199,Christian Kapper,2,http://www.imdb.com/title/tt4162992/?ref_=fn_tt_tt_1,8,3,3.4
John Carpenter,101,598,Horror|Thriller,Jamie Lee Curtis,4400,P.J. Soles,0,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,742,7.9
Sidney Lumet,96,253,Crime|Drama,Jack Warden,1433,John Fiedler,1,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888,259,8.9
Paul Fierlinger,83,258,Animation|Drama,Isabella Rossellini,1370,Lynn Redgrave,0,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,15,277,6.9
Frank Capra,65,21,Comedy|Romance,Claudette Colbert,540,Walter Connolly,1,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,235,114,8.2
Yorgos Lanthimos,94,14,Drama|Thriller,Angeliki Papoulia,126,Sissy Petropoulou,0,http://www.imdb.com/title/tt1379182/?ref_=fn_tt_tt_1,170,37,7.3
Lauren Lazin,112,321,Biography|Documentary|Music,James Cagney,2638,Todd Bridges,0,http://www.imdb.com/title/tt0343121/?ref_=fn_tt_tt_1,32,633,8.0
Gavin O'Connor,102,276,Comedy|Drama,Kimberly J. Brown,1986,Lois Smith,1,http://www.imdb.com/title/tt0161023/?ref_=fn_tt_tt_1,73,277,6.7
Gregory Widen,98,912,Action|Fantasy|Horror|Mystery|Thriller,Viggo Mortensen,13433,Virginia Madsen,0,http://www.imdb.com/title/tt0114194/?ref_=fn_tt_tt_1,194,1000,6.6
