director_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,movie_facebook_likes
272,Comedy|Drama|Romance|Thriller,Robin Williams,28005,52571,0
20,Action|Sci-Fi,Robert Forster,18481,2110,4000
210,Crime|Drama|Thriller,Violante Placido,79461,1454,10000
16,Biography|Drama|Music,Jon Seda,19126,1735,0
82,Comedy,Diedrich Bader,39095,2898,16000
0,Drama,Brad Pitt,243799,11248,0
189,Comedy|Drama,Tina Fey,54242,4662,14000
53,Drama|Mystery,Philip Seymour Hoffman,99236,33903,0
406,Action|Comedy,Jeremy Shada,136048,2609,0
34,Horror|Thriller,Gunnar Hansen,35131,1945,16000
36,Crime|Drama|Mystery|Thriller,William McNamara,42315,12338,0
92,Comedy,Marisa Saks,50337,34319,13000
32,Comedy|Drama|Musical|Romance|Western,Clint Eastwood,9352,17775,0
835,Biography|Drama|History,James Franco,136673,13189,10000
58,Action|Adventure|Drama|Mystery,Peter Firth,12276,389,21000
17,Horror,Isaiah Washington,75920,1083,0
12,Adventure|Comedy,Patton Oswalt,55008,2462,21000
39,Crime|Drama|Mystery|Thriller,Bill Murray,90677,14275,0
29,Crime|Thriller,Sela Ward,23424,3292,0
108,Drama|Thriller,Tom Wilkinson,55441,1136,0
350,Comedy|Drama|Music|Romance,Drake Bell,143137,3141,10000
2,Horror|Mystery,Johnny Lewis,26624,1834,0
154,Crime|Drama|Thriller,Joe Mantegna,9845,3174,613
79,Crime|Drama|Romance|Thriller,Jason Statham,152247,27755,0
1000,Drama|Fantasy|Romance|Sci-Fi,Kate Winslet,666937,19364,52000
99,Comedy|Family|Romance,Jamie Lee Curtis,41273,4813,0
453,Action|Crime|Drama|Thriller,Keanu Reeves,94892,33878,0
1000,Action|Comedy|Sci-Fi,Michael Smiley,185587,278,49000
26,Comedy|Crime|Family|Mystery|Romance|Thriller,Kay Panabaker,15877,3327,590
35,Action|Horror|Sci-Fi|Thriller,Jay Laga'aia,105797,189,0
14,Comedy|Romance,Mike Vogel,101730,5707,0
15,Adventure|Comedy|Family|Romance,Leighton Meester,32951,4257,6000
19,Horror|Thriller,Adam Goldberg,25870,3590,0
23,Action|Adventure|Drama|Romance|Western,Alan Rickman,15230,45841,0
0,Adventure|Animation|Comedy|Family|Romance,Kevin Sussman,10986,2486,0
212,Action|Fantasy|Horror|Thriller,Laura Ramsey,39541,3261,3000
31,Comedy|Drama|Sport,Jeff Bridges,22604,14903,0
0,Comedy|Family|Fantasy,Jimmy Bennett,5332,88422,431
835,Comedy|Crime|Drama,Kurtwood Smith,34774,3598,1000
24,Adventure|Crime|Mystery|Sci-Fi|Thriller,Samira Wiley,4303,1780,0
0,Crime|Drama|Western,Viggo Mortensen,50198,10507,0
0,Action|Horror|Thriller,Sheryl Lee,42664,5123,0
,Action|Adventure|Animation|Family|Fantasy,Pablo Sevilla,12417,0,124
13000,Horror|Mystery|Thriller,Janet Leigh,422432,1885,18000
41,Comedy|Romance,Dane Cook,36983,3301,0
19,Drama|Romance,Alex Pettyfer,31323,18760,0
0,Comedy|Drama,Hector Elizondo,20539,4039,681
15,Comedy,Mako,2061,1761,501
503,Adventure|Comedy|Drama|Fantasy,Matthew Broderick,33597,2251,0
160,Comedy|Drama|Family,Oliver Platt,18366,1816,0
57,Drama,Adam Sandler,83786,17050,0
0,Adventure|Biography|Drama,Kristen Stewart,426359,18752,76000
480,Comedy,Jon Heder,26100,4374,484
83,Adventure|Drama|Horror|Mystery|Thriller,Radha Mitchell,49888,2173,25000
0,Crime|Fantasy|Horror,Quentin Tarantino,219091,23296,12000
0,Animation|Family|Fantasy|Mystery,Kath Soucie,4180,861,264
0,Comedy|Drama|Romance,Robert Downey Jr.,9105,25263,0
0,Action|Comedy|Crime|Fantasy,Shengyi Huang,99353,537,0
,Comedy,Leah Remini,114,1557,4
0,Comedy|Family|Music|Musical,Haley Joel Osment,3875,8189,422
395,Drama,Mustafa Haidari,68119,904,0
0,Drama,Naomi Watts,189683,7567,0
2,Action|Crime|Drama|Thriller,Cole Hauser,13210,2915,269
308,Drama|Fantasy|Romance,Kristen Stewart,348010,44061,19000
13,Comedy|Romance,Thomas Lennon,14147,2698,401
143,Comedy|Romance,Andy Dick,23076,1189,1000
909,Crime|Documentary|News,Ronald Reagan,35137,2327,10000
126,Biography|Drama|History,Martin Landau,6484,1934,1000
53,Crime|Drama|Mystery|Thriller,Julia Roberts,20186,9941,0
82,Comedy,Carmen Electra,74945,2857,0
190,Action|Crime|Thriller,Andrew Fiscella,26236,137712,0
36,Action|Comedy|Crime|Thriller,Bill Murray,23928,15183,0
20,Comedy|Romance,Chris Evans,58957,15713,0
4,Action|Adventure|Sci-Fi|Thriller,Joseph Gilgun,82082,1414,10000
272,Comedy,Amy Poehler,26390,1189,713
83,Action|Crime|Sci-Fi|Thriller,Jason Statham,112516,30541,0
11000,Comedy|Crime,Jim Broadbent,29385,4302,979
6,Biography|Drama|History,James Callis,5796,908,0
176,Drama|Mystery|Romance|Thriller|War,Brendan Fraser,24019,3431,983
563,Comedy|Drama,Nicolas Cage,69172,13156,0
394,Action|Crime|Drama|Sport,Fisher Stevens,21542,2880,977
192,Comedy|Drama|Fantasy|Romance,Aasif Mandvi,60516,500,0
212,Action|Crime|Thriller,Taylor Cole,22823,2799,0
198,Drama|Fantasy|Horror|Mystery,Chloë Grace Moretz,92237,20258,25000
18,Action|Comedy|Family,Victor Wong,6701,1151,444
1000,Comedy,Quinton Aaron,79855,1778,0
350,Comedy|Drama|Music|War,Bob Hoskins,13505,5637,0
214,Action|Crime|Drama|Thriller,Kate Winslet,32567,27214,0
11000,Comedy,Woody Allen,35586,11867,0
4,Comedy|Romance,Matthew Perry,16372,4843,311
53,Comedy|Drama,Bradley Cooper,61360,16926,25000
277,Comedy|Crime,Robert De Niro,17349,24887,855
11000,Comedy|Musical|Romance,Natasha Lyonne,30083,1614,0
0,Comedy,Peter Dinklage,89547,24324,0
0,Action|Crime|Thriller,Aisha Tyler,60156,3309,0
52,Adventure|Drama,Robert De Niro,49855,23409,10000
84,Comedy|Family|Sci-Fi,Scott Baio,25371,1343,0
10,Action|Comedy|Crime,Miguel Ferrer,21933,1019,676
10,Action|Comedy|Crime,Callum Rennie,9785,2700,233
54,Comedy|Crime|Music,Debbie Reynolds,6838,2730,924
189,Comedy|Drama|Music|Musical|Romance,Sammy Davis Jr.,3454,2172,548
0,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,61935,707,18000
3,Adventure|Animation|Comedy|Family|Fantasy,Jimmy Fallon,3851,2185,346
9,Drama|Music,Chris Brown,7894,3177,0
,Crime|Drama|Mystery|Thriller,LeVar Burton,15612,2240,0
119,Comedy|Fantasy,Chriss Anglin,8560,2907,797
0,Action|Comedy|Crime|Thriller,Alexa PenaVega,59248,2848,48000
17,Drama|Horror|Sci-Fi|Thriller,Laura Harring,15169,1267,0
29,Adventure|Comedy,Kevin Alejandro,18571,4218,847
608,Biography|Comedy|Drama|History|Music|Musical,Jim Broadbent,10037,1690,608
38,Drama|War,Tom Wilkinson,15978,5705,15000
0,Biography|Drama|Thriller,Michael Fassbender,80617,23755,36000
0,Animation|Drama|Mystery|Sci-Fi|Thriller,Robert Downey Jr.,89383,39507,0
150,Biography|Drama|Sport,Gerard Butler,24997,21200,13000
892,Horror|Sci-Fi,Catherine Lough Haggquist,37626,838,1000
650,Comedy|Drama|Family|Music|Romance,Scott Porter,11958,1573,1000
143,Drama|Mystery|Romance|Thriller,Cameron Bright,29649,2295,0
78,Action|Crime|Drama|Thriller,David Oyelowo,45799,3979,0
329,Drama|History|Romance|War,Landon Liboiron,6904,3493,971
18,Biography|Drama,Dylan Authors,14301,64,0
162,Biography|Drama|Music,Christian Bale,48346,36398,0
19,Action|Thriller,Henry Cavill,28629,30134,0
0,Adventure|Comedy|Drama|Romance,Zachary Gordon,41737,3014,0
0,Comedy|Drama|Romance,Philip Seymour Hoffman,55842,24732,13000
6000,Adventure|Animation|Fantasy,Minnie Driver,221552,2710,11000
22,Comedy|Drama|Mystery|Romance|Thriller|War,Isabelle Adjani,4293,1776,235
42,Biography|Comedy|Musical,Steve Guttenberg,2998,1462,1000
214,Crime|Drama|Western,Ray Winstone,43205,2129,0
14,Biography|Drama|Sport,Donny Boaz,2302,3384,0
121,Comedy|Music,Damon Wayans,4518,2467,241
110,Action|Drama|Sci-Fi|Thriller,Christian Bale,261317,25088,20000
55,Drama|War,Radha Mitchell,8087,1003,1000
115,Crime|Drama|Romance|Thriller,Charlize Theron,16215,11433,401
12,Adventure|Family|Fantasy|Musical,Chazz Palminteri,14015,1978,831
11000,Drama|Romance,Brad Pitt,7976,22319,0
78,Action|Adventure|Animation|Family|Sci-Fi|Thriller,William Hootkins,13727,991,973
25,Drama|History|Sport,Gerard Butler,2613,20354,445
46,Crime|Drama|Mystery|Romance|Thriller,Ryan Gosling,41249,39515,0
58,Action|Adventure|Drama|History|Romance,Esai Morales,3843,1592,399
0,Comedy|Family|Sci-Fi,Jiao Xu,11391,82,1000
8,Comedy|Family|Fantasy|Sci-Fi,Christian Clavier,7147,182,136
14,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Marco St. John,13026,1577,0
3,Crime|Drama|Mystery,Al Pacino,9868,15612,217
,Drama|Family,Peter Vaughan,18,344,0
278,Comedy|Drama|Fantasy|Romance,Djimon Hounsou,6147,3785,0
448,Crime|Drama|Mystery|Thriller,Emma Watson,20821,10982,0
23,Romance|Short,Necar Zadegan,118,726,30
10,Action|Drama|History|War,Andy Lau,5154,1113,314
5,Crime|Drama|Thriller,Gerard Butler,25450,20472,0
0,Adventure|Animation|Comedy|Family,Leonard Nimoy,5203,15680,1000
0,Biography|Drama|History,Mani Bharathi,102,164,58
2,Animation,Joey D. Vieira,50,1092,70
23,Action|Biography|Drama|Sport,Robert De Niro,178,27425,0
160,Action|Crime|Thriller,Milla Jovovich,21833,17957,0
17,Crime|Drama|Mystery|Thriller,Nicolas Cage,43879,16355,11000
43,Drama|Romance,Toby Jones,77656,2608,0
34,Action|Biography|Crime|Drama,Moritz Bleibtreu,29602,1601,0
0,Adventure|Drama|Western,Mary McDonnell,186485,2398,0
52,Comedy,Justin Timberlake,160418,5547,16000
17,Crime|Drama|Mystery|Thriller,Al Pacino,30213,15914,0
15,Comedy|Family|Romance,Dan Byrd,62861,3092,0
0,Horror|Mystery,David Arquette,222018,1212,11000
17,Horror,Shannon Elizabeth,65512,3023,0
0,Drama|Horror,Scatman Crothers,610333,2560,37000
0,Adventure|Comedy|Sci-Fi,Lea Thompson,732212,3230,39000
37,Horror|Mystery|Thriller,Jeffrey Combs,45317,2872,0
