director_name,director_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Jan de Bont,101,91188905,Fantasy|Horror|Mystery|Thriller,Liam Neeson,The Haunting ,58184,Virginia Madsen,English,USA,PG-13,80000000,960,4.9,2.35,0
Joe Pytka,30,90443603,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Bill Murray,Space Jam ,112167,Michael Jordan,English,USA,PG,80000000,967,6.3,1.77,0
Shawn Levy,189,82226474,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,The Pink Panther ,65499,William Abadie,English,USA,PG,65000000,177,5.6,1.85,0
Scott Derrickson,301,79363785,Drama|Sci-Fi|Thriller,Keanu Reeves,The Day the Earth Stood Still ,139423,Juan Riedinger,English,USA,PG-13,80000000,4000,5.5,2.35,0
Richard Donner,503,76081498,Action|Crime|Mystery|Romance|Thriller,Julia Roberts,Conspiracy Theory ,76099,Michael Potts,English,USA,R,75000000,137,6.7,2.35,0
David Ayer,452,85707116,Action|Drama|War,Brad Pitt,Fury ,303185,Jim Parrack,English,USA,R,68000000,8000,7.6,2.35,82000
Ivan Reitman,425,74329966,Action|Adventure|Comedy|Romance,Harrison Ford,Six Days Seven Nights ,60910,Amy Sedaris,English,USA,PG-13,70000000,643,5.7,2.35,0
Eric Brevig,40,100169068,Adventure|Animation|Comedy|Family,Justin Timberlake,Yogi Bear ,16385,Josh Robert Thompson,English,USA,PG,80000000,642,4.6,1.85,0
Kelly Asbury,21,73215310,Adventure|Animation|Family|Western,Matt Damon,Spirit: Stallion of the Cimarron ,44143,Zahn McClarnon,English,USA,G,80000000,503,7.0,2.35,4000
Frank Coraci,153,80360866,Comedy|Family|Romance,Rosario Dawson,Zookeeper ,44662,Nicholas Turturro,English,USA,PG,80000000,1000,5.2,2.35,0
Stephen Hopkins,81,69102910,Action|Adventure|Family|Sci-Fi|Thriller,Gary Oldman,Lost in Space ,58402,June Lockhart,English,USA,PG-13,80000000,882,5.1,2.35,0
Jonathan Demme,438,65948711,Drama|Mystery|Sci-Fi|Thriller,Denzel Washington,The Manchurian Candidate ,86422,Jose Pablo Cantillo,English,USA,R,80000000,1000,6.6,1.85,0
Henry Jaglom,69,821997,Drama|Romance,Vanessa Redgrave,Déjà Vu ,666,Michael Brandon,English,USA,PG-13,,577,7.0,1.85,91
Genndy Tartakovsky,266,169692572,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania 2 ,56501,Fran Drescher,English,USA,PG,80000000,11000,6.7,1.85,16000
,,,Comedy|Family|Fantasy,Elizabeth Montgomery,Bewitched             ,11427,Dick York,English,USA,TV-G,,960,7.6,4.0,0
James Algar,11,60507228,Animation|Family|Fantasy|Music,Quincy Jones,Fantasia 2000 ,27543,Russi Taylor,English,USA,G,80000000,243,7.3,1.78,607
Simon Wells,25,56684819,Action|Adventure|Sci-Fi,Mark Addy,The Time Machine ,103787,Josh Stamberg,English,USA,PG-13,80000000,639,5.9,2.35,3000
Ron Underwood,31,50628009,Action|Adventure|Family|Fantasy|Thriller,Charlize Theron,Mighty Joe Young ,22955,David Paymer,English,USA,PG,90000000,496,5.6,1.85,0
Dominic Sena,57,69772969,Action|Crime|Thriller,Hugh Jackman,Swordfish ,155532,Sam Shepard,English,USA,R,80000000,3000,6.5,2.35,0
Martin Campbell,258,45356386,Action|Adventure|Western,Michael Emerson,The Legend of Zorro ,71574,Adrian Alonso,Spanish,USA,PG,75000000,277,5.9,2.35,951
Vincent Ward,25,55350897,Drama|Fantasy|Romance,Robin Williams,What Dreams May Come ,83560,Rosalind Chao,English,USA,PG-13,85000000,448,7.0,2.35,32000
Steven Brill,65,39442871,Comedy|Fantasy,Adam Sandler,Little Nicky ,80639,Michael McKean,English,USA,PG-13,80000000,11000,5.3,1.85,0
Terry Gilliam,0,37899638,Action|Adventure|Comedy|Fantasy|Thriller,Matt Damon,The Brothers Grimm ,98472,Mackenzie Crook,English,USA,PG-13,88000000,13000,5.9,1.85,0
Tim Burton,13000,37754208,Action|Comedy|Sci-Fi,Natalie Portman,Mars Attacks! ,172217,Lukas Haas,English,USA,PG-13,70000000,770,6.3,2.35,0
Lucile Hadzihalilovic,92,,Drama|Horror|Mystery|Sci-Fi,Nissim Renard,Evolution ,979,Julie-Marie Parmentier,French,France,,,21,6.4,2.35,257
Lee Tamahori,93,27779888,Action|Adventure|Drama|Thriller,Anthony Hopkins,The Edge ,55913,Bart the Bear,English,USA,R,,1000,6.9,2.35,0
Jonathan Mostow,84,38542418,Action|Sci-Fi|Thriller,Bruce Willis,Surrogates ,151424,Boris Kodjoe,English,USA,PG-13,80000000,1000,6.3,2.35,0
Roger Donaldson,79,34566746,Drama|History|Thriller,Bruce Greenwood,Thirteen Days ,45231,Bruce Thomas,English,USA,PG-13,80000000,274,7.3,1.85,0
Rob Cohen,357,32885565,Action|Adventure|Drama|Thriller,Sylvester Stallone,Daylight ,53132,Amy Brenneman,English,USA,PG-13,80000000,10000,5.8,1.85,0
Barry Cook,43,36073232,Adventure|Animation|Family,Charlie Rowe,Walking with Dinosaurs 3D ,8913,Madison Rothschild,English,USA,PG,80000000,396,5.2,2.35,0
Roger Christian,64,21471685,Action|Adventure|Sci-Fi,Richard Tyson,Battlefield Earth ,65464,John Topor,English,USA,PG-13,44000000,117,2.4,2.35,0
Joe Dante,287,20950820,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Brendan Fraser,Looney Tunes: Back in Action ,24183,Heather Locklear,English,Germany,PG,80000000,739,5.7,2.35,665
Rob Marshall,252,19673424,Drama|Musical|Romance,Fergie,Nine ,37446,Andrea Di Stefano,English,USA,PG-13,80000000,48,5.8,2.35,0
Richard Donner,503,19480739,Action|Adventure|Sci-Fi,Paul Walker,Timeline ,53057,Ethan Embry,English,USA,PG-13,80000000,18000,5.6,2.35,0
Kevin Costner,0,17593391,Action|Adventure|Drama|Sci-Fi,Olivia Williams,The Postman ,56403,Larenz Tate,English,USA,R,80000000,674,6.0,2.35,0
George Miller,750,18318000,Adventure|Comedy|Drama|Family|Fantasy,Adam Goldberg,Babe: Pig in the City ,24868,Glenne Headly,English,Australia,G,80000000,971,5.8,1.85,964
Breck Eisner,42,27356090,Action|Adventure|Fantasy,Vin Diesel,The Last Witch Hunter ,58752,Lotte Verbeek,English,USA,PG-13,90000000,788,6.0,2.35,21000
Antony Hoffman,14,17473245,Action|Sci-Fi|Thriller,Bob Neill,Red Planet ,47612,Tom Sizemore,English,USA,PG-13,70000000,0,5.7,2.35,995
Luc Besson,0,15131330,Adventure|Animation|Family|Fantasy,Mia Farrow,Arthur and the Invisibles ,25843,Penny Balfour,English,France,PG,86000000,80,6.0,2.35,941
Jacques Perrin,63,19406406,Documentary|Drama,Pedro Armendáriz Jr.,Oceans ,7630,Rie Miyazawa,French,France,G,40000000,63,7.8,2.35,0
