num_critic_for_reviews,actor_1_facebook_likes,gross,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
362,40000,123207194,337,English,USA,135000000,2011,7.2,2.35,26000
153,19000,83348920,118,English,USA,132000000,2014,6.7,1.85,11000
329,13000,227137090,820,English,USA,110000000,2007,8.1,2.35,0
266,11000,215395021,360,English,USA,130000000,2008,7.6,2.35,6000
517,2000,180191634,549,English,USA,130000000,2015,7.4,1.85,61000
502,34000,424645577,706,English,USA,130000000,2013,7.6,2.35,82000
322,21000,292298923,329,English,USA,120000000,2012,5.5,2.35,65000
165,17000,177343675,214,English,USA,135000000,2015,6.7,1.85,26000
401,10000,234277056,2741,English,USA,132000000,2005,6.5,1.85,0
94,10000,138396624,511,English,USA,130000000,2003,6.6,2.35,0
246,4000,149234747,137,English,USA,130000000,2011,6.7,2.35,16000
330,11000,118311368,514,English,USA,110000000,2010,6.4,2.35,23000
434,12000,101160529,1240,English,USA,125000000,2014,5.8,1.85,71000
440,2000,77564037,447,English,USA,135000000,2011,7.4,2.35,44000
274,11000,249358727,1504,English,UK,130000000,2004,7.8,2.35,11000
245,309,49551662,450,English,Australia,130000000,2008,6.6,2.35,0
349,10000,60522097,744,English,USA,130000000,2013,4.9,2.35,37000
145,1000,137748063,241,English,USA,127500000,2000,6.5,1.85,0
1,10000,,2,English,UK,,2011,7.5,,40
154,49000,113733726,126,English,USA,127000000,2014,6.2,1.85,11000
233,24000,148337537,187,English,USA,130000000,2010,7.3,2.35,13000
258,11000,317557891,1571,English,UK,125000000,2001,7.5,2.35,16000
208,16000,33592415,210,English,USA,130000000,2013,5.6,2.35,20000
1,544,,13,Japanese,Japan,,2016,8.2,2.35,0
271,40000,305388685,2113,English,USA,140000000,2003,8.1,2.35,10000
4,10000,,2,English,UK,,2010,6.4,,25
403,34000,337103873,591,English,USA,125000000,2014,6.7,2.35,52000
294,15000,217536138,1966,English,USA,125000000,2006,6.6,2.35,0
159,688,131536019,99,English,USA,103000000,2014,6.4,2.35,0
289,20000,214948780,1055,English,Canada,110000000,2003,7.5,2.35,0
342,23000,209805005,366,English,USA,125000000,2011,7.3,2.35,54000
382,21000,186830669,412,English,USA,125000000,2011,7.5,2.35,39000
344,14000,163192114,637,English,USA,125000000,2010,5.8,2.35,15000
196,605,119412921,391,English,USA,65000000,1990,7.5,1.85,0
85,845,32694788,546,English,USA,85000000,1999,6.6,2.35,0
436,10000,113165635,504,English,USA,125000000,2012,6.7,2.35,31000
183,920,107285004,1018,English,USA,125000000,1997,3.7,1.85,0
175,1000,260031035,482,English,USA,123000000,2000,6.0,1.85,0
239,15000,186739919,1159,English,USA,125000000,2004,6.4,2.35,19000
237,10000,215397307,1426,English,USA,125000000,2000,6.1,2.35,0
231,784,182618434,779,English,USA,140000000,2000,6.4,2.35,0
262,11000,131920333,436,English,USA,130000000,2007,5.6,2.35,0
552,774,124976634,755,English,USA,120000000,2012,8.0,1.85,122000
276,12000,115802596,681,English,USA,110000000,2007,5.2,2.35,0
267,13000,108521835,297,English,UK,120000000,2016,7.1,2.35,31000
102,2000,100685880,554,English,USA,120000000,2003,4.8,2.35,0
775,13000,126464904,2326,English,USA,130000000,2012,7.0,2.35,97000
71,886,64736114,69,English,USA,120000000,2002,5.4,1.85,459
476,13000,93050117,814,English,USA,115000000,2013,6.6,2.35,61000
207,14000,57637485,666,English,USA,105000000,2004,6.7,2.35,0
492,10000,58607007,630,English,USA,100000000,2014,6.2,2.35,60000
284,690,43929341,414,English,USA,120000000,2008,6.1,2.35,0
168,273,30212620,196,English,USA,120000000,2010,5.3,1.85,0
283,10000,76418654,348,English,USA,117000000,2010,6.3,2.35,11000
539,11000,89021735,892,English,USA,120000000,2013,7.0,2.35,71000
359,20000,380262555,3286,English,USA,113000000,2005,7.6,2.35,10000
284,20000,310675583,3516,English,USA,115000000,2002,6.7,1.78,0
250,12000,289907418,593,English,USA,115000000,2001,8.1,1.85,0
440,20000,132550960,533,English,USA,120000000,2013,6.7,2.35,68000
320,20000,474544677,3597,English,USA,115000000,1999,6.5,2.35,13000
257,16000,187165546,195,English,USA,135000000,2013,7.3,2.35,28000
33,936,,36,French,France,78000000,2008,5.1,2.35,291
152,12000,40911830,454,English,USA,115000000,2002,6.0,2.35,0
231,26000,47952020,134,English,USA,115000000,2016,6.1,2.35,16000
348,833,190871240,491,English,USA,125000000,2014,5.9,2.35,62000
738,39,274084951,1885,English,UK,100000000,2013,7.8,2.35,147000
93,650,67155742,277,English,USA,116000000,1997,5.8,2.35,0
181,5000,81638674,115,English,USA,135000000,2016,6.3,2.35,12000
369,596,56114221,695,English,USA,120000000,2015,4.3,2.35,41000
179,49000,250863268,444,English,USA,110000000,2006,6.4,1.85,3000
358,12000,155181732,499,English,USA,110000000,2015,6.1,2.35,52000
160,811,125332007,328,English,UK,110000000,1997,6.5,2.35,0
192,13000,113330342,1144,English,USA,110000000,2000,7.1,2.35,4000
198,11000,125531634,627,English,USA,110000000,2004,6.4,2.35,0
233,11000,186336103,798,English,USA,120000000,2005,6.5,2.35,0
263,14000,129995817,258,English,USA,110000000,2015,6.3,2.35,27000
267,29000,102608827,799,English,USA,110000000,2004,7.5,2.35,0
184,480,42776259,121,English,USA,112000000,2010,4.9,2.35,0
447,11000,98780042,443,English,USA,120000000,2011,5.8,2.35,14000
29,669,,97,English,USA,,,7.6,4.0,0
366,6000,106369117,523,English,USA,110000000,2014,6.2,2.35,71000
172,383,142614158,153,English,USA,110000000,2011,5.5,1.78,31000
104,12000,50026353,88,English,USA,110000000,2004,5.4,1.78,304
