director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,budget
Pat O'Connor,94,119,7,Charlize Theron,18000,Drama|Romance,Keanu Reeves,70292,Frank Langella,advertising|cancer|dog|san francisco california|terminal illness,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,274,USA,40000000
Stephen Hopkins,190,99,81,Andrea Frankle,327,Horror|Thriller,Stephen Rea,37412,William Ragsdale,biblical plague|louisiana|missionary|plague|small town,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,178,USA,40000000
Martin Scorsese,112,112,17000,David Carradine,22000,Crime|Drama|Romance|Thriller,Robert De Niro,67797,David Proval,bar|catholic guilt|epilepsy|italian american|money,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223,USA,500000
Penny Marshall,12,128,545,Cliff Robertson,783,Comedy|Drama,Ed Begley Jr.,13830,Lillo Brancato,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,61,USA,40000000
Olivier Megaton,201,112,118,Callum Blue,877,Action|Crime|Drama|Thriller,Jordi Mollà,76498,Jesse Borrego,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,203,France,40000000
Frederik Du Chau,34,86,7,Jaleel White,10000,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,Gary Oldman,11156,Eric Idle,camelot|dragon|excalibur|knight|sword,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,67,USA,40000000
Michael Caton-Jones,104,108,105,James Franco,22000,Crime|Drama|Mystery|Thriller,Robert De Niro,21319,John Doman,beach|grandson|murder|new york city|police,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,166,USA,60000000
Irwin Winkler,55,128,34,Nathan Lane,978,Drama|Romance,Mira Sorvino,11232,Steven Weber,based on article|blindness|box office flop|massage therapist|regaining sight,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,106,USA,60000000
Joseph Kahn,86,84,33,Jay Hernandez,1000,Action|Comedy|Crime,Dane Cook,23747,Christina Milian,murder|on the run|security camera|surveillance footage|timebomb,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,207,USA,40000000
Harold Becker,50,111,17,Martin Landau,14000,Drama|Thriller,Al Pacino,16741,Bridget Fonda,drug dealer|mayor|new york city|probation|scandal,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,60,USA,40000000
Paul Verhoeven,181,131,719,Elizabeth Berkley,16000,Drama,Bobbie Phillips,49874,Robert Davi,cult film|lap dance|lap dancing|stripper|striptease,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,450,France,45000000
Sofia Coppola,260,123,0,Shirley Henderson,4000,Biography|Drama|History|Romance,Kirsten Dunst,79892,Rip Torn,austria|cake|france|queen|versailles,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,619,USA,40000000
Barbet Schroeder,40,101,58,Michael Rapaport,12000,Action|Crime|Thriller,Nicolas Cage,14226,Philip Baker Hall,beard|female nudity|police brutality|stripper|woman in lingerie,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,60,USA,40000000
Stephen Kay,102,102,19,Miranda Richardson,13000,Action|Crime|Drama|Thriller,Sylvester Stallone,27305,Lauren Lee Smith,affair|car crash|enforcer|funeral|murder,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,284,USA,40000000
J.A. Bayona,371,114,171,Geraldine Chaplin,6000,Drama|Thriller,Naomi Watts,145270,Oaklee Pendergast,christmas|resort|thailand|tourist|tsunami,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,322,Spain,45000000
Elaine May,49,107,124,Warren Beatty,636,Action|Adventure|Comedy|Music|Thriller,Carol Kane,8692,Isabelle Adjani,cia|emir|hotel|map|morocco,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,126,USA,51000000
Wes Anderson,335,87,0,Meryl Streep,13000,Adventure|Animation|Comedy|Crime|Family,Bill Murray,139114,Helen McCrory,cider|farm|farmer|fox|tale,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,245,USA,40000000
Stephen Herek,86,103,65,Stockard Channing,11000,Comedy|Romance,Angelina Jolie Pitt,19364,James Gammon,football|homeless man|interview|psychic|reporter,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,128,USA,40000000
John Carpenter,40,99,0,Michael McKean,782,Comedy|Romance|Sci-Fi|Thriller,Richard Epcar,17365,Patricia Heaton,accident|bar|chase|cia|laboratory,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,66,USA,40000000
Jean-Pierre Jeunet,242,122,0,Jamel Debbouze,326,Comedy|Romance,Mathieu Kassovitz,534262,Isabelle Nanty,cheerfulness|female protagonist|garden gnome|magical realism|waitress,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,1314,France,77000000
Dennie Gordon,70,91,29,Bob Saget,976,Comedy|Crime|Family|Romance,Mary-Kate Olsen,17722,Riley Smith,dog|new york city|scholarship|senator|twin,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,111,USA,30000000
Charles Shyer,135,103,14,Nia Long,865,Comedy|Drama|Romance,Omar Epps,43442,Jane Krakowski,best friend|commitment|friend|limousine driver|one night stand,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,146,UK,60000000
Ken Kwapis,125,107,42,Tim Blake Nelson,875,Biography|Drama|Romance,Ted Danson,15231,Andrew Daly,arctic circle|reporter|small town|volunteer|whale,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,66,USA,40000000
Ulu Grosbard,54,106,22,Treat Williams,2000,Drama,Alexa PenaVega,10413,Jonathan Jackson,basketball|boy|italian|kidnapping a child|reunion,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,111,USA,40000000
William Malone,104,101,37,Jeffrey Combs,2000,Crime|Horror|Thriller,Natascha McElhone,17309,Udo Kier,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,388,UK,42000000
Paul Weitz,157,109,80,Salma Hayek,14000,Action|Adventure|Fantasy|Thriller,Josh Hutcherson,35990,Patrick Fugit,antidote|based on young adult novel|flyer|spider|vampire,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,157,USA,40000000
Paul McGuigan,159,110,118,Spencer Wilding,11000,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,28618,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,USA,40000000
Danny DeVito,78,89,0,Amber Valletta,1000,Comedy,Justin Theroux,46205,Harvey Fierstein,christmas|duplex|television|tenant|writer,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,147,USA,40000000
Malcolm D. Lee,88,100,92,Sean Hayes,1000,Comedy|Drama|Music,Bernie Mac,7794,Mike Epps,band|masturbation|reunion|singer|tribute,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,25,USA,
Jerry Jameson,32,119,5,Jason Robards,521,Action|Adventure|Drama|Thriller,M. Emmet Walsh,2933,Anne Archer,military|mineral|ocean|ship|titanic,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,70,UK,36000000
Mic Rodgers,75,83,7,Daniel von Bargen,2000,Action|Sci-Fi,Michael Jai White,24216,Xander Berkeley,combat|computer|general|military|reporter,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,162,USA,24000000
Christian Alvart,219,108,22,Dennis Quaid,12000,Action|Horror|Mystery|Sci-Fi|Thriller,Norman Reedus,121432,Eddie Rouse,future|mission|space|spaceship|survival,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,310,Germany,33000000
Gary Fleder,83,102,39,Mekhi Phifer,1000,Drama|Mystery|Sci-Fi|Thriller,Gary Dourdan,19986,Tim Guinee,alien|android|bomb|future|weapon,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,207,USA,40000000
Christian Duguay,53,93,18,Bridgette Wilson-Sampras,3000,Action|Adventure|Thriller,Rufus Sewell,4821,Rupert Graves,commercial|extreme sports|mountain|serbian|terrorist,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,82,UK,40000000
Jean-Marie Poiré,61,84,8,Matt Ross,545,Comedy|Fantasy|Sci-Fi,Bridgette Wilson-Sampras,15130,John Aylward,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,98,France,40000000
Danny Boyle,308,107,0,Benedict Wong,11000,Adventure|Sci-Fi|Thriller,Chris Evans,190132,Troy Garity,astronaut|earth|future|icarus|sun,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,801,UK,26000000
Brian Robbins,70,91,48,Lou Saliba,61,Comedy|Drama,John Gatins,30842,Greg Collins,box office flop|buddhist|liar|literary agent|magical tree,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,93,USA,40000000
Marc F. Adler,41,94,0,Anne Bancroft,795,Adventure|Animation|Comedy|Fantasy|Romance,Eric Idle,2458,Kelly Ripa,box office flop|computer animation|one word title|surrealism|villainess,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,26,USA,40000000
Pierre Morel,224,115,180,Mark Rylance,1000,Action|Crime|Drama|Mystery|Thriller,Ray Winstone,28429,Jasmine Trinca,assassination|blood vomiting|death|hit squad|mercenary,http://www.imdb.com/title/tt2515034/?ref_=fn_tt_tt_1,110,USA,40000000
Geoffrey Sax,66,93,13,Sophie Okonedo,15000,Action|Adventure|Family|Thriller,Alex Pettyfer,20201,Ashley Walters,14 year old|british|gadget|spy|training,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,187,Germany,40000000
D.J. Caruso,253,105,154,Aaron Yoo,884,Drama|Mystery|Thriller,Sarah Roemer,186982,Jose Pablo Cantillo,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491,USA,20000000
Iain Softley,79,107,34,Fisher Stevens,11000,Comedy|Crime|Drama|Thriller,Angelina Jolie Pitt,54650,Lorraine Bracco,computer|computer virus|cyberpunk|fight the system|sexual fantasy,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,223,USA,20000000
Richard Shepard,94,101,47,Zan Marolt,499,Adventure|Comedy|Drama|Romance|Thriller|War,James Brolin,22010,Ljubomir Kerekes,bosnia|cia|fox|hunt|war criminal,http://www.imdb.com/title/tt0455782/?ref_=fn_tt_tt_1,90,USA,25000000
Joel Coen,77,111,0,Bill Cobbs,1000,Comedy|Fantasy,Jennifer Jason Leigh,65474,John Mahoney,art deco|board of directors|industry|mail|stock,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,211,UK,30000000
Peter Ho-Sun Chan,106,113,31,Takeshi Kaneshiro,5000,Action|Drama|History|Romance|War,Jet Li,22897,Andy Lau,assassination|blood brother|dynasty|general|stabbing a woman,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,61,Hong Kong,40000000
Sergey Bodrov,30,112,44,Kuno Becker,1000,Drama|History|War,Jay Hernandez,3322,Jason Scott Lee,1800s|kazakhstan|nomad,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,32,France,25000000
Joon-ho Bong,488,126,584,Ewen Bremner,11000,Action|Drama|Sci-Fi|Thriller,Chris Evans,181472,Kang-ho Song,closed ecological system|perpetual winter|population control|revolt|train,http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1,514,South Korea,39200000
Bibo Bergeron,63,90,10,Bob Balaban,1000,Adventure|Animation|Comedy|Fantasy|Music|Romance,Adam Goldberg,15790,François Cluzet,belle epoque|city name in title|monster|paris france,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,40,France,25000000
Jeff Nathanson,42,93,23,Glenn Morshower,2000,Comedy,Matthew Broderick,3789,Tim Blake Nelson,fbi|movie producer|sting operation|undercover|urination,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,39,USA,
