num_critic_for_reviews,actor_2_name,actor_1_name,actor_3_name,budget,imdb_score,movie_facebook_likes
9,Jeff Fahey,Chris Brochu,Rita Wilson,3500000,4.8,570
3,Joe Egan,Ray Winstone,Glen Murphy,3440000,3.1,606
55,Harvey Korman,Madeline Kahn,Dick Van Patten,3400000,6.7,0
169,Sofie Gråbøl,Morgan Freeman,Romane Bohringer,8000000,7.6,0
290,Demi Moore,Kevin Spacey,Ashley Williams,3500000,7.1,21000
10,Adrian Gonzalez,Murray Bartlett,Edward Conna,,6.1,224
159,Matt Gerald,Anjelica Huston,Jonah Bobo,3000000,6.5,0
535,Melissa Benoist,J.K. Simmons,Chris Mulkey,3300000,8.5,129000
214,Seu Jorge,Alice Braga,Alexandre Rodrigues,3300000,8.7,28000
47,John Simm,Danny Dyer,Shaun Parkes,2200000,7.1,0
17,Rus Blackwell,Corbin Bleu,Luis Antonio,3400000,6.6,0
85,Bruce Davison,James Franco,Piper Laurie,,6.7,799
349,Alexandra Rapaport,Thomas Bo Larsen,Hana Shuan,3800000,8.3,60000
109,Darren McGavin,Zack Ward,Scott Schwartz,4000000,8.1,18000
60,Ramon Rodriguez,Armando Riesco,Eduardo Verástegui,3300000,7.4,0
101,Perry King,Roddy McDowall,Timothy Van Patten,4300000,6.6,934
1,Kenan Thompson,Geoff Stults,Josh Hopkins,3300000,4.5,0
16,Rupert Graves,Samantha Morton,Miriam Margolyes,2000000,6.4,100
212,Agame Malembo-Emene,François Bégaudeau,Angélica Sancio,,7.5,0
215,Mia Farrow,John Cassavetes,Charles Grodin,2300000,8.0,13000
107,Woody Strode,Lee Marvin,Vera Miles,3200000,8.1,0
122,Terry Walters,Peter Gallagher,Amy Irving,,7.2,0
155,Wilson Guerrero,Catalina Sandino Moreno,Yenny Paola Vega,3000000,7.5,0
261,Lou Taylor Pucci,Goran Visnjic,Mary Page Keller,3200000,7.2,15000
130,Eric Dane,Krista Allen,Henry Rollins,3200000,6.4,0
94,Karen Allen,John Belushi,Tim Matheson,3000000,7.6,0
