director_name,actor_3_facebook_likes,actor_2_name,facenumber_in_poster,language
Mathieu Kassovitz,510,Charlotte Rampling,0,English
John Gray,322,Bob Gunton,1,English
Harold Ramis,451,Brian Doyle-Murray,0,English
John Schultz,553,Carter Jenkins,3,English
Sean Penn,19,Adrien Dorval,0,English
Susan Stroman,2000,Will Ferrell,3,English
Pete Travis,20,Jason Cope,0,English
Simon Wincer,579,Treat Williams,0,English
Billy Bob Thornton,820,Henry Thomas,2,English
Oliver Stone,805,Bob Hoskins,0,English
Roman Polanski,501,Olivia Williams,2,English
Stephen Sommers,855,Jason Flemyng,0,English
Spike Lee,826,Omari Hardwick,0,English
Yimou Zhang,10,Ye Liu,2,Mandarin
Danny Pang,61,Charlie Yeung,1,English
Barry Sonnenfeld,865,Janeane Garofalo,2,English
Mike Newell,50,Giovanna Mezzogiorno,0,English
,114,Clotilde Hesme,9,French
George P. Cosmatos,269,Ben Gazzara,2,English
Oliver Parker,104,Tim McInnerny,1,English
Lawrence Kasanoff,500,Larry Miller,0,English
Ben Affleck,650,Scoot McNairy,1,English
Andrew Davis,812,Daniel Roebuck,1,English
Andy Tennant,789,Dorian Missick,1,English
Barry Levinson,893,Brad Pitt,3,English
George P. Cosmatos,668,Julia Nickson,0,English
Brian Gibson,643,Demi Moore,1,English
Norman Ferguson,40,Dickie Jones,0,English
Michael Cimino,678,Sam Waterston,0,English
Len Wiseman,520,Tony Curran,1,English
Paul McGuigan,287,Spencer Wilding,2,English
Gus Van Sant,225,Rob Brown,1,English
Betty Thomas,664,Viggo Mortensen,1,English
Louis Leterrier,5000,Jet Li,1,English
Roger Kumble,16,Lillian Adams,3,English
Sydney Pollack,957,Holly Hunter,0,English
Burr Steers,135,Charlie Tahan,1,English
Simon West,350,Tony Goldwyn,0,English
Phil Lord,839,Dax Flame,2,English
Roger Michell,427,Clarke Peters,1,English
Peter Lord,206,Miranda Richardson,0,English
John Hamburg,650,Masi Oka,1,English
Reginald Hudlin,547,Eartha Kitt,1,English
Paul Feig,749,William Xifaras,7,English
Joseph L. Mankiewicz,595,Richard Burton,2,English
Frank Coraci,491,Reggie Lee,2,English
Carl Franklin,505,Adam Scott,1,English
Barbra Streisand,292,Austin Pendleton,0,English
Mark Pellington,395,Will Patton,0,English
Larry Charles,412,Elton John,1,English
John Glen,275,Talisa Soto,0,English
Catherine Hardwicke,913,Billy Burke,2,English
John Herzfeld,808,Charlize Theron,1,English
Annabel Jankel,687,Fisher Stevens,0,English
Andrew Niccol,16,Jeremy Crutchley,2,English
Yimou Zhang,576,Tony Chiu Wai Leung,4,Mandarin
Julie Anne Robinson,497,Debbie Reynolds,1,English
Evan Goldberg,365,Randall Park,4,English
Sngmoo Lee,433,Dong-gun Jang,1,English
,253,Gavin MacLeod,1,English
Jean-Pierre Jeunet,52,Dany Boon,4,French
Curtis Hanson,196,Omar Benson Miller,0,English
Jamel Debbouze,6,Youssef Hajdi,0,French
Brian Helgeland,996,Rufus Sewell,1,English
Gordon Chan,96,Lee Evans,1,English
M. Night Shyamalan,766,Haley Joel Osment,0,English
Asger Leth,54,Mandy Gonzalez,6,English
David Frankel,296,Kevin Pollak,0,English
John G. Avildsen,225,William Zabka,0,English
David O. Russell,14000,Christian Bale,5,English
Anne Fletcher,723,Denis O'Hare,1,English
Bruce Beresford,298,Annabeth Gish,0,English
Robert Zemeckis,690,Jeffrey Weissman,0,English
Luc Besson,903,Morgan Freeman,0,English
Sam Taylor-Johnson,716,Luke Grimes,0,English
Robert Rodriguez,2000,Salma Hayek,3,English
Joel Schumacher,1000,Matthew McConaughey,3,English
Shawn Levy,597,Alyson Stoner,15,English
Peter Berg,127,Scott Elrod,0,English
Penny Marshall,251,Lori Petty,3,English
James Wan,336,Frances O'Connor,0,English
David Fincher,81,Dustin Fitzsimons,0,English
Ken Kwapis,49,Sabrina Revelle,7,English
David Zucker,807,Carmen Electra,8,English
Wes Craven,71,Roger Jackson,4,English
Robert Zemeckis,690,Jeffrey Weissman,0,English
Etan Cohen,723,Alison Brie,2,English
Francis Ford Coppola,10000,Anthony Hopkins,0,English
Nora Ephron,923,Mary Lynn Rajskub,2,English
Brian Helgeland,898,Christopher Meloni,0,English
Anthony Minghella,1000,Matt Damon,1,English
Bobby Farrelly,839,Kathleen Turner,1,English
Frank Marshall,249,Bruce Greenwood,1,English
Nancy Meyers,808,Anne Hathaway,2,English
Tim Story,655,Nadine Velazquez,0,English
Michael Mann,322,Terry Kinney,1,English
Taylor Hackford,748,Curtis Armstrong,0,English
Frank Miller,175,Powers Boothe,1,English
Pete Travis,882,Edgar Ramírez,4,English
John Hamburg,257,Jon Favreau,2,English
Bobby Farrelly,398,Bruce McGill,2,English
Oliver Stone,4,Jay O. Sanders,1,English
John Whitesell,633,Nia Long,0,English
Gore Verbinski,8000,Brad Pitt,0,English
Angelina Jolie Pitt,465,Jack O'Connell,0,English
Burr Steers,651,Hunter Parrish,1,English
Nick Cassavetes,119,Kate Upton,2,English
David R. Ellis,748,Andrew Fiscella,0,English
Steven Spielberg,423,Mark Rylance,0,English
John Moore,389,David Keith,2,English
Nicholas Stoller,177,Mario Lopez,2,English
Peter Chelsom,418,Nick Cannon,2,English
Joe Dante,823,Denis Leary,0,English
Mark A.Z. Dippé,968,Frank Welker,0,English
Kevin Reynolds,720,James Frain,1,English
Brad Furman,638,Margarita Levieva,1,English
Jaume Collet-Serra,767,Frank Langella,3,English
Christopher Nolan,19000,Hugh Jackman,1,English
Sean Anders,465,Christoph Waltz,7,English
Cal Brunker,91,Paul Scheer,2,English
Mel Gibson,19,Dalia Hernández,0,Maya
John Glen,162,Desmond Llewelyn,1,English
Nimród Antal,520,Alice Braga,0,English
Ivan Reitman,204,Debra Winger,3,English
David Koepp,501,Charles S. Dutton,1,English
Alejandro Agresti,211,Dylan Walsh,0,English
Iain Softley,280,Deneen Tyler,0,English
Peter Hedges,988,Odeya Rush,0,English
Paul Weiland,681,Beau Garrett,2,English
Clint Eastwood,235,Steve Schirripa,1,English
Francis Ford Coppola,913,Dean Stockwell,1,English
Mathieu Kassovitz,416,Charles S. Dutton,1,English
Steven Spielberg,11000,Morgan Freeman,2,English
John McTiernan,0,José Wilker,2,English
Colin Strause,473,Johnny Lewis,0,English
Donald Petrie,287,John Larroquette,1,English
Joan Chen,586,Sam Trammell,2,English
Marc Lawrence,664,Scott Porter,4,English
Greg Mottola,57,Nelson Ascencio,0,English
Anne Fletcher,78,Tom Virtue,1,English
Wes Craven,687,Aimee Teegarden,0,English
Joel Schumacher,173,Chris Bauer,1,English
Oliver Stone,552,Kevin Dillon,1,English
Jake Kasdan,214,Randall Park,2,English
Diane Keaton,235,Celia Weston,3,English
Steven Quale,495,Jacqueline MacInnes Wood,0,English
Kelly Makin,584,Burt Young,1,English
Mimi Leder,754,Haley Joel Osment,2,English
Bobby Farrelly,223,KaDee Strickland,1,English
,12,Melissa Altro,0,English
Steven Brill,490,Shaun Weiss,1,English
Seth MacFarlane,3000,Charlize Theron,3,English
Russell Mulcahy,510,Peter Boyle,0,English
Stephen Daldry,64,Thomas Horn,1,English
Roger Michell,58,Patti D'Arbanville,0,English
Jim Sheridan,441,Bill Duke,0,English
Christian Duguay,249,Cary-Hiroyuki Tagawa,0,English
Chris Columbus,715,David Fine,1,English
Chuck Russell,294,Jimmy Smits,0,English
Sam Weisman,210,Valerie Perri,2,English
John Frankenheimer,44,Temuera Morrison,2,English
Peter Hyams,327,Justin Chambers,0,English
Justin Chadwick,19000,Scarlett Johansson,3,English
Pat O'Connor,903,Charlize Theron,1,English
Stephen Hopkins,135,Andrea Frankle,0,English
Martin Scorsese,354,David Carradine,0,English
Penny Marshall,353,Cliff Robertson,1,English
Olivier Megaton,674,Callum Blue,0,English
Frederik Du Chau,795,Jaleel White,0,English
Michael Caton-Jones,616,James Franco,1,English
Irwin Winkler,685,Nathan Lane,1,English
Joseph Kahn,1000,Jay Hernandez,0,English
Harold Becker,889,Martin Landau,2,English
Paul Verhoeven,683,Elizabeth Berkley,0,English
Sofia Coppola,826,Shirley Henderson,1,English
Barbet Schroeder,497,Michael Rapaport,3,English
Stephen Kay,351,Miranda Richardson,1,English
J.A. Bayona,284,Geraldine Chaplin,0,English
Elaine May,572,Warren Beatty,2,English
Wes Anderson,563,Meryl Streep,0,English
Stephen Herek,311,Stockard Channing,2,English
John Carpenter,402,Michael McKean,2,English
Jean-Pierre Jeunet,54,Jamel Debbouze,0,French
Dennie Gordon,762,Bob Saget,1,English
Charles Shyer,624,Nia Long,4,English
Ken Kwapis,171,Tim Blake Nelson,3,English
Ulu Grosbard,613,Treat Williams,1,English
William Malone,595,Jeffrey Combs,1,English
Paul Weitz,835,Salma Hayek,3,English
Paul McGuigan,287,Spencer Wilding,2,English
Danny DeVito,500,Amber Valletta,0,English
Malcolm D. Lee,706,Sean Hayes,2,English
Jerry Jameson,249,Jason Robards,0,English
Mic Rodgers,485,Daniel von Bargen,0,English
Christian Alvart,61,Dennis Quaid,0,English
Gary Fleder,259,Mekhi Phifer,4,English
Christian Duguay,443,Bridgette Wilson-Sampras,0,English
Jean-Marie Poiré,219,Matt Ross,3,English
Danny Boyle,167,Benedict Wong,0,English
Brian Robbins,39,Lou Saliba,8,English
Marc F. Adler,379,Anne Bancroft,1,English
Pierre Morel,87,Mark Rylance,0,English
Geoffrey Sax,173,Sophie Okonedo,3,English
D.J. Caruso,502,Aaron Yoo,0,English
Iain Softley,472,Fisher Stevens,1,English
Richard Shepard,2,Zan Marolt,2,English
Joel Coen,385,Bill Cobbs,2,English
Peter Ho-Sun Chan,483,Takeshi Kaneshiro,2,Mandarin
Sergey Bodrov,533,Kuno Becker,0,Kazakh
Joon-ho Bong,398,Ewen Bremner,5,English
Bibo Bergeron,541,Bob Balaban,0,French
Jeff Nathanson,596,Glenn Morshower,10,English
Alex Proyas,380,Bai Ling,0,English
S.S. Rajamouli,72,Anushka Shetty,1,Telugu
Robert Schwentke,100,Brooklynn Proulx,1,English
Michael Lehmann,433,Stephen Collins,1,English
Rob Cohen,4000,Vin Diesel,2,English
Tim Burton,787,Catherine O'Hara,0,English
Joss Whedon,279,Sean Maher,0,English
Charles S. Dutton,511,Charles S. Dutton,2,English
Richard Lester,420,Robert Vaughn,1,English
Peter Segal,785,Sylvester Stallone,1,English
John Woo,478,Tony Chiu Wai Leung,4,Mandarin
Andy Tennant,559,Mary Lynn Rajskub,1,English
Robert Luketic,954,John Michael Higgins,2,English
Jonathan Lynn,275,Phil Hartman,2,English
Robert Rodriguez,1000,Alexa PenaVega,1,English
David Carson,906,Alan Ruck,0,English
Kar-Wai Wong,7,Hye-kyo Song,1,Mandarin
Francis Lawrence,1000,Christoph Waltz,1,English
,501,Wayne Knight,4,English
Yuefeng Song,46,Bianca Collins,0,English
Norman Jewison,494,Vincent Pastore,0,English
Michael Apted,789,Jeff Kober,1,English
David Mirkin,692,Anne Bancroft,3,English
Andy Fickman,377,Daniella Alonso,1,English
Luis Mandoki,280,Shirley Knight,0,English
John Pasquin,466,Ken Marino,1,English
Roman Polanski,541,Frank Langella,1,English
Michael Apted,182,Paul Guilfoyle,0,English
Stephen Herek,108,Dagmara Dominczyk,0,English
Lee Daniels,736,Gabourey Sidibe,0,English
Ridley Scott,982,Jason Marsden,4,English
John Carpenter,145,Richard Masur,0,English
David Twohy,904,Nolan Gerard Funk,0,English
Jeb Stuart,12,Claudia Stedelin,1,English
Steve Miner,427,Usher Raymond,2,English
Gil Kenan,260,Toby Jones,0,English
Paul Thomas Anderson,15,Jeffrey W. Jenkins,31,English
David Leland,217,Ryan Cartwright,2,English
Gary Fleder,534,Nicole Beharie,0,English
J Blakeson,724,Maggie Siff,0,English
Ryan Coogler,531,Phylicia Rashad,1,English
Ben Affleck,206,Jon Hamm,7,English
Kirk Jones,651,Dennis Quaid,12,English
Ethan Coen,681,Brad Pitt,0,English
Jennifer Flackett,35,Anthony Simcoe,3,English
Ron Howard,471,Olivia Wilde,0,English
Paul Thomas Anderson,272,Neil Flynn,1,English
Kevin Smith,574,Tracy Morgan,2,English
Christian Ditter,591,Damon Wayans Jr.,4,English
Charles Martin Smith,631,Michael Roark,5,English
Catherine Hardwicke,10000,Taylor Lautner,1,English
Nick Cassavetes,644,Laura Harring,1,English
Les Mayfield,405,Dave Chappelle,1,English
Rawson Marshall Thurber,651,Molly C. Quinn,4,English
Fedor Bondarchuk,30,Fedor Bondarchuk,0,Russian
Jonathan Mostow,263,M.C. Gainey,0,English
Irvin Kershner,133,Klaus Maria Brandauer,3,English
Steve Pink,318,Collette Wolfe,8,English
Charles Martin Smith,631,Taylor Blackwell,0,English
John Frankenheimer,475,James Frain,0,English
F. Gary Gray,582,Jeff Kober,0,English
Cameron Crowe,13000,Bradley Cooper,1,English
Rob Reiner,723,Virginia Madsen,0,English
Scott Hicks,577,Reeve Carney,1,English
Mikael Håfström,2000,Colin O'Donoghue,1,English
Andrew Niccol,263,Xander Berkeley,2,English
Andrew Bergman,450,Nathan Lane,0,English
Kirk De Micco,387,Kenan Thompson,0,English
Chris Rock,642,Dylan Baker,1,English
Todd Phillips,706,Rob Riggle,3,English
Wilson Yip,51,Lynn Hung,0,Cantonese
Jay Roach,481,Verne Troyer,1,English
Tim Burton,488,Jack Palance,0,English
Roland Joffé,785,Dougray Scott,0,English
Richard Donner,94,Nick Chinlund,2,English
John Lee Hancock,624,Quinton Aaron,0,English
,452,Aimee Garcia,2,English
Robert Rodriguez,640,Cheech Marin,0,English
Seth Gordon,64,Lindsay Sloane,5,English
Ethan Coen,538,Jeff Bridges,0,English
David Frankel,505,Anne Hathaway,0,English
Robert Wise,643,Nichelle Nichols,2,English
Seth Gordon,680,Eric Stonestreet,2,English
Martin Scorsese,387,Robert Mitchum,0,English
Robert Luketic,1000,Jim Sturgess,2,English
Judd Apatow,213,Randall Park,1,English
Kevin Rodney Sullivan,278,Nicole Sullivan,2,English
Anthony Minghella,362,Kristin Scott Thomas,0,English
Curtis Hanson,210,Matt McCoy,2,English
Mike Mitchell,591,Kelly Preston,3,English
Frank Oz,945,Wilford Brimley,0,English
Roger Donaldson,25,Marg Helgenberger,0,English
Wes Craven,574,Lin Shaye,1,English
Tarsem Singh,311,Jake Weber,1,English
Randall Wallace,80,Anne Parillaud,1,English
Randall Wallace,426,Kevin Connolly,0,English
Kevin Munroe,691,Sarah Michelle Gellar,0,English
Michael Tollin,568,Riley Smith,1,English
Will Gluck,923,Justin Timberlake,2,English
Nicholas Stoller,190,Ike Barinholtz,0,English
John Lee Hancock,825,Ruth Wilson,2,English
Spike Lee,318,Delroy Lindo,0,English
Judd Apatow,120,Maude Apatow,2,English
Walt Becker,931,Bernie Mac,2,English
Patrick Tatopoulos,227,Kevin Grevioux,1,English
Ken Kwapis,766,Christine Taylor,3,English
Dennis Dugan,553,Jon Heder,2,English
Gary David Goldberg,664,Victor Webster,2,English
Mike Newell,646,Al Pacino,2,English
Paul W.S. Anderson,766,Jaymes Butler,0,English
Tobe Hooper,723,Zelda Rubinstein,0,English
Ethan Coen,939,Tom Hanks,1,English
John Moore,248,Beau Bridges,1,English
Andrew Niccol,3000,Olivia Wilde,2,English
Alan Poul,584,Noureen DeWulf,0,English
Luke Greenfield,196,Steve Howey,4,English
,628,Kimberly Elise,4,English
Gil Junger,447,Marsha Thomason,1,English
Michael Ritchie,57,Vic Morrow,1,English
Steven E. de Souza,690,Raul Julia,1,English
Roman Polanski,95,Frank Finlay,0,English
Albert Hughes,140,Jason Flemyng,1,English
Catherine Hardwicke,206,Hiam Abbass,0,English
Jaume Collet-Serra,324,Paris Hilton,0,English
Mike Nichols,23,Julia Roberts,2,English
Clint Eastwood,363,Naomi Watts,0,English
