director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,num_user_for_reviews,language,content_rating
Tom Tykwer,226,147,670,David Calder,482,English,R
Jay Roach,194,94,116,Josh Zuckerman,795,English,PG-13
David Bowers,138,94,42,Charlize Theron,77,English,PG
Steven Spielberg,308,127,14000,Ariana Richards,895,English,PG-13
Lawrence Kasdan,40,212,759,Catherine O'Hara,145,English,PG-13
Phillip Noyce,42,141,176,Dean Jones,133,English,PG-13
Daniel Lee,68,103,10,Peng Lin,86,Mandarin,R
Keenen Ivory Wayans,78,98,322,Brittany Daniel,187,English,PG-13
Jonathan Mostow,178,116,84,Thomas Kretschmann,602,English,PG-13
Rob Reiner,75,114,0,Samantha Mathis,214,English,PG-13
Marco Schnabel,150,87,12,Romany Malco,250,English,PG-13
Demian Lichtenstein,113,125,11,Bokeem Woodbine,399,English,R
Quentin Tarantino,596,187,16000,Jennifer Jason Leigh,1018,English,R
Josh Gordon,191,93,8,Amy Poehler,246,English,PG-13
Tim Hill,156,95,25,Elizabeth Perkins,82,English,PG
Zack Snyder,460,117,0,Michael Fassbender,2073,English,R
Jay Roach,141,106,116,Blythe Danner,428,English,PG-13
David Frankel,180,115,64,Kathleen Turner,320,English,PG
Frank Darabont,186,189,0,Jeffrey DeMunn,1377,English,R
Walt Becker,177,100,12,Tichina Arnold,255,English,PG-13
Mark Dindal,161,81,10,Fred Willard,251,English,G
David Fincher,568,149,21000,Sela Ward,1127,English,R
Doug Liman,249,119,218,Josh Hamilton,849,English,PG-13
Martin Campbell,137,130,258,Joe Don Baker,416,English,PG-13
Simon West,113,116,165,Timothy Hutton,274,English,R
Peter Weir,213,103,608,Noah Emmerich,877,English,PG
Brenda Chapman,120,99,59,Aria Noelle Curzon,353,English,PG
Steve Carr,81,92,41,Lisa Edelstein,116,English,PG
Baltasar Kormákur,265,109,175,Patrick Fischler,172,English,R
Lawrence Guterman,105,87,6,Elizabeth Perkins,235,English,PG
F. Gary Gray,155,111,473,Charlize Theron,497,English,PG-13
Marc Lawrence,118,101,30,Alicia Witt,269,English,PG-13
Eric Darnell,131,83,35,Woody Allen,289,English,PG
Peter Billingsley,166,113,0,Kristin Davis,144,English,PG-13
Tony Scott,60,107,12000,Robert Duvall,97,English,PG-13
Adam Shankman,77,94,163,Tom Welling,128,English,PG
Wes Ball,249,132,47,Lili Taylor,360,English,PG-13
Ryan Murphy,213,140,708,Julia Roberts,302,English,PG-13
Brett Ratner,121,125,420,Don Cheadle,322,English,PG-13
Robert Schwentke,315,111,124,Morgan Freeman,328,English,PG-13
Oliver Stone,171,156,0,Dennis Quaid,452,English,R
Robert Redford,96,170,0,Kristin Scott Thomas,263,English,PG-13
Michael Mann,299,120,0,Jada Pinkett Smith,836,English,R
Chuck Russell,167,100,55,Roger Rees,432,English,PG-13
Jay Russell,125,115,13,Jay Hernandez,323,English,PG-13
Christopher McQuarrie,387,130,188,Robert Duvall,448,English,PG-13
Renny Harlin,199,105,212,Michael Rapaport,643,English,R
Kenny Ortega,136,111,197,Mekia Cox,223,English,PG
Steven Soderbergh,436,106,0,Monique Gabriela Curnen,411,English,PG-13
David McNally,73,89,18,Dyan Cannon,181,English,PG
Henry Selick,310,100,253,Dawn French,279,English,PG
M. Night Shyamalan,323,91,0,Alan Ruck,1264,English,R
Tony Scott,171,146,12000,Radha Mitchell,690,English,R
Brian Robbins,76,98,48,Joel David Moore,83,English,PG
Todd Phillips,173,101,480,Carmen Electra,308,English,PG-13
Brian Levant,81,94,32,Harvey Korman,162,English,PG
Guillermo del Toro,242,132,0,Rupert Evans,597,English,PG-13
Steven Zaillian,110,115,234,Kathleen Quinlan,181,English,PG-13
Chris Butler,328,92,28,Kodi Smit-McPhee,176,English,PG
Michael Caton-Jones,83,124,105,Bruce Willis,227,English,R
John Woo,196,119,610,Joe Morton,347,English,PG-13
Jon Avnet,34,124,50,Stockard Channing,54,English,PG-13
Sam Fell,118,93,18,Matthew Broderick,106,English,G
,8,22,,Oliver Hudson,41,English,TV-PG
Kevin Donovan,81,98,11,Debi Mazar,207,English,PG-13
Geoff Murphy,47,92,14,Brenda Bakke,126,English,R
Kenneth Branagh,313,105,0,Nonso Anozie,289,English,PG-13
David O. Russell,315,124,737,Robert De Niro,256,English,PG-13
Babak Najafi,225,99,24,Radha Mitchell,323,English,R
Jean-Pierre Jeunet,223,116,0,Michael Wincott,656,English,R
Antoine Fuqua,198,124,845,Ned Beatty,338,English,R
Graham Annable,219,96,7,Dee Bradley Baker,122,English,PG
Griffin Dunne,92,104,165,Dianne Wiest,257,English,PG-13
Phil Lord,435,100,97,Will Ferrell,471,English,PG
John Pasquin,111,115,11,Diedrich Bader,156,English,PG-13
Rob Bowman,138,101,38,Gerard Butler,569,English,PG-13
Ruben Fleischer,415,113,181,Brandon Molale,264,English,R
Harold Ramis,170,100,11000,Oliver Platt,203,English,PG-13
Clint Eastwood,306,134,16000,Morgan Freeman,259,English,PG-13
Kevin Macdonald,252,127,162,Harry Lennix,235,English,PG-13
Tony Gilroy,211,125,209,Tom Wilkinson,184,English,PG-13
Donald Petrie,49,94,80,Ray Walston,73,English,PG
Clark Johnson,161,107,69,David Rasche,213,English,PG-13
Jorge Blanco,156,91,2,Gary Oldman,72,English,PG
Stuart Baird,172,116,53,LeVar Burton,842,English,PG-13
Joel Coen,161,100,0,Paul Adelstein,322,English,PG-13
Robert Lorenz,239,111,39,Ed Lauter,150,English,PG-13
Martin Campbell,258,117,258,Ray Winstone,256,English,R
Peter Hyams,95,110,0,Penelope Ann Miller,165,English,R
Harold Ramis,105,96,11000,Cathy Moriarty,138,English,R
Jon Avnet,198,101,50,Al Pacino,248,English,R
Harold Becker,79,111,17,Miko Hughes,127,English,R
Joe Wright,210,117,456,Stephen Root,143,English,PG-13
Robert Redford,125,126,0,Will Smith,267,English,PG-13
Cameron Crowe,149,152,488,Zooey Deschanel,822,English,R
Tim Hill,77,86,25,Roger Rees,74,English,PG
Lee Tamahori,77,101,93,Nona Gaye,213,English,PG-13
Scott Stewart,225,87,124,Alan Dale,233,English,PG-13
Patrick Gilmore,98,85,0,Adriano Giannini,91,English,PG
Paul W.S. Anderson,172,130,545,Joely Richardson,857,English,R
Joss Whedon,703,173,0,Robert Downey Jr.,1722,English,PG-13
Tom Shadyac,117,104,293,Susanna Thompson,243,English,PG-13
Brian De Palma,240,121,0,Mia Kirshner,644,English,R
Tony Bill,123,140,23,Tyler Labine,247,English,PG-13
