plot_keywords,content_rating,budget,aspect_ratio,movie_facebook_likes
box office hit|long take|sole survivor|space|space station,PG-13,100000000,2.35,147000
ash|escape|lava|mayor|volcano,PG-13,116000000,2.35,0
based on comic book|brother brother relationship|rat|sequel|turtle,PG-13,135000000,2.35,12000
box office flop|critically bashed|portal|teleportation|troubled production,PG-13,120000000,2.35,41000
chaos|museum|museum of natural history|night watchman|watchman,PG,110000000,1.85,3000
disaster movie|earthquake|journey|natural disaster|san andreas fault,PG-13,110000000,2.35,52000
ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,PG-13,110000000,2.35,0
american revolution|british|french|hero|standoff,R,110000000,2.35,4000
father daughter relationship|heist|pretending to be pregnant|sequel|thief,PG-13,110000000,2.35,0
assassin|marriage|secret agent|suburb|target,PG-13,120000000,2.35,0
action heroine|falling from height|mind control|trainhopping|truth serum,PG-13,110000000,2.35,27000
1920s|aviation|fight|spruce goose|test flight,PG-13,110000000,2.35,0
bermuda triangle|box office hit|shipwrecked|travel|travel writer,PG,112000000,2.35,0
heir|kung fu|party|playboy|superhero,PG-13,120000000,2.35,14000
1980s|cult tv|famous opening theme|good versus evil|hero for hire,TV-PG,,4.0,0
army|commander|female rear nudity|greek|navy,R,110000000,2.35,71000
blue|new york|new york city|no opening credits|smurf,PG,110000000,1.78,31000
cattle|cow|dairy farm|farm|rustler,PG,110000000,1.78,304
based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,PG-13,110000000,2.35,12000
arena|boxing|boxing movie|robot|robot battle,PG-13,110000000,2.35,36000
based on cartoon|box office hit|no opening credits|sequel|smurf,PG,105000000,1.85,0
collision course|computer|cruise|diamonds|ship run aground,PG-13,160000000,2.35,894
alien|future|manipulation|simulation|training,PG-13,110000000,2.35,123000
fbi|hacker|independence day|police|terrorist,PG-13,110000000,2.35,0
elf|hobbit|middle earth|quest|ring,PG-13,93000000,2.35,21000
19th century|around the world|inventor|martial arts|train,PG,110000000,2.35,0
african american protagonist|african americans|boxing gym|gym|rumble in the jungle,R,107000000,2.35,0
based on cult comic book|cat|home alone|imagination|talking cat,PG,109000000,1.85,946
humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,PG-13,120000000,2.35,0
12th century|crusader|jerusalem|knight|medieval times,R,130000000,2.35,0
box office hit|cat|first part|mouse|orphanage,PG,133000000,1.85,0
amphibian|dream|frog|frog prince|waitress,G,105000000,1.85,5000
astronaut|international cooperation|left for dead|nasa|space habitat,PG-13,108000000,2.35,153000
,,,,0
clone|environment|escape|island|lottery,PG-13,126000000,2.35,0
anniversary|architect|cellist|friend|hardware store,R,90000000,1.85,53
auto theft|brother|car|theft|thief,PG-13,90000000,2.35,0
battlefield|blood|combat|gladiator|roman empire,R,103000000,2.35,21000
future|murder|neo noir|washington d.c.|year 2054,PG-13,102000000,2.35,0
bildungsroman|flying broom|invisibility cloak|monster|wizardry,PG,100000000,2.35,0
casino|espionage|free running|james bond|terrorist,PG-13,150000000,2.35,0
astronaut|cage|planet|wilhelm scream|year 2029,PG-13,100000000,2.35,0
future|liquid metal|multiple cameos|sexy woman|time travel,R,102000000,2.35,13000
1930s|bank|celebrity criminal|fbi|public enemy number one,R,100000000,2.35,0
death|heroin|popcorn|smuggling|vietnam,R,100000000,1.85,0
espionage|secret agent|secret mission|spy|spy film,R,115000000,2.35,0
hijack|hostage|ransom|subway|train,R,100000000,2.35,0
birthday|critically bashed|male nurse|nurse|suspicion,PG-13,100000000,1.85,0
capitalist|detective|investigation|new york city|police,PG-13,100000000,2.35,16000
assassination attempt|corporate crime|rogue agent|witness|witness protection program,R,100000000,2.35,0
dynamite|historically inaccurate|ku klux klan|n word|slavery,R,100000000,2.35,199000
15th century|cathedral|gypsy|paris|victor hugo,G,100000000,1.78,0
antidote|disney|emperor|first part|llama,G,100000000,1.66,0
church|hostage|mine|plutonium|revenge,R,92000000,2.35,108000
declaration of independence|secret society|treasure|treasure hunt|treasure hunter,PG,100000000,2.35,0
dragon|dragon rider|fictional war|sword and fantasy|teenage hero,PG,100000000,2.35,0
based on children's book|creature|igloo|imagination|king,PG,100000000,2.35,11000
1940s|child hero|fantasy world|orphan|reference to peter pan,PG,150000000,2.35,24000
father daughter relationship|forest|miniature person|shrinking|sword and fantasy,PG,100000000,2.35,17000
police surveillance|surveillance van|tailing a suspect|tourist|venice italy,PG-13,100000000,2.35,25000
atheist|ex cop|female masturbation|female nudity|lucifer,R,83000000,2.35,2000
diamond|elephant|fisherman|rebel|sierra leone,R,100000000,2.35,14000
based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,R,100000000,2.35,138000
love|necktie|partner|rock music|tuxedo,PG-13,100000000,1.85,0
alien|federation|future|military|planet,R,105000000,1.85,0
composer|future|letter|nonlinear timeline|nursing home,R,102000000,2.35,124000
barn owl|escape|owl|ruler|soldier,PG,80000000,2.35,16000
based on cult comic book|bechdel test passed|cat|detective|radical transformation,PG-13,100000000,2.35,0
army|greek mythology|hercules|king|mercenary,PG-13,100000000,2.35,21000
alien|cyborg|pirate|planet|treasure,PG,140000000,1.5,0
human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,PG-13,100000000,1.85,0
battle|fight|mission|pg 13 sequel to r rated franchise|rescue,PG-13,90000000,2.35,56000
athlete|extreme sports|fbi|fbi agent|heist,PG-13,105000000,2.35,37000
baby|cartoon on tv|cartoonist|dog|mask,PG,84000000,1.85,881
emaciation|ship|starvation|vomiting|whale,PG-13,100000000,1.85,27000
casino|future|laser gun|moon|nightclub,PG-13,100000000,1.85,416
cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,R,100000000,2.35,0
dog|girl|imagination|peanuts|red hair,G,99000000,1.85,33000
brother sister relationship|extradition|fbi|japanese tourist|secret,PG,10000000,1.85,578
ancient egypt|bracelet|king|scorpion|son,PG-13,98000000,2.35,0
butcher|civil war|gangster|new york city|revenge,R,100000000,2.35,0
abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,R,94000000,2.35,13000
chicken|competition|island|penguin|surfing,PG,100000000,1.85,0
community|connecticut|fem bot|tv producer|writer,PG-13,90000000,1.85,0
army|helicopter|somali|somalia|warlord,R,92000000,2.35,10000
campaigning|congressman|north carolina|title at the end|u.s. congressman,R,95000000,1.85,18000
1910s|alien|artificially created woman|love|taxi driver,PG-13,93000000,2.35,18000
abu dhabi|box office hit|muslim|nanny|united arab emirates,R,100000000,1.85,0
adventurer|el dorado|gold|high priest|implied sex,PG,95000000,1.85,0
acorn|herd|iceberg|ocean|pirate,PG,95000000,2.35,14000
dress|duke|fairy godmother|fairy tale|pumpkin,PG,95000000,2.35,56000
1970s|afterlife|heaven|pedophile|rape,PG-13,65000000,2.35,16000
