director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Rob Letterman,85,11,116,Catherine Tate,Gulliver's Travels ,1173,Olly Alexander,bermuda triangle|box office hit|shipwrecked|travel|travel writer,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1,English,USA,112000000,2010,392,4.9,2.35,0
Michel Gondry,119,1000,741,Tom Wilkinson,The Green Hornet ,13391,Chad L. Coleman,heir|kung fu|party|playboy|superhero,http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1,English,USA,120000000,2011,1000,5.8,2.35,14000
,60,,432,Dirk Benedict,The A-Team             ,1655,Dwight Schultz,1980s|cult tv|famous opening theme|good versus evil|hero for hire,http://www.imdb.com/title/tt0084967/?ref_=fn_tt_tt_1,English,USA,,,554,7.6,4.0,0
Noam Murro,102,263,1000,Sullivan Stapleton,300: Rise of an Empire ,10583,Peter Mensah,army|commander|female rear nudity|greek|navy,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,English,USA,110000000,2014,1000,6.2,2.35,71000
Raja Gosnell,103,67,111,Tim Gunn,The Smurfs ,692,Madison McKinley,blue|new york|new york city|no opening credits|smurf,http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1,English,USA,110000000,2011,113,5.5,1.78,31000
Will Finn,76,6,421,Roseanne Barr,Home on the Range ,13607,G.W. Bailey,cattle|cow|dairy farm|farm|rustler,http://www.imdb.com/title/tt0299172/?ref_=fn_tt_tt_1,English,USA,110000000,2004,513,5.4,1.78,304
Robert Schwentke,120,124,943,Theo James,Allegiant ,12452,Zoë Kravitz,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1,English,USA,110000000,2016,5000,5.8,2.35,12000
Shawn Levy,127,189,544,Torey Michael Adkins,Real Steel ,22254,Olga Fonda,arena|boxing|boxing movie|robot|robot battle,http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1,English,USA,110000000,2011,929,7.1,2.35,36000
Raja Gosnell,105,67,40,Nancy O'Dell,The Smurfs 2 ,914,Vanessa Matsui,based on cartoon|box office hit|no opening credits|sequel|smurf,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1,English,USA,105000000,2013,71,5.4,1.85,0
Jan de Bont,121,101,202,Temuera Morrison,Speed 2: Cruise Control ,2027,Lois Chiles,collision course|computer|cruise|diamonds|ship run aground,http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1,English,USA,160000000,1997,368,3.7,2.35,894
Gavin Hood,114,151,430,Moises Arias,Ender's Game ,12908,Aramis Knight,alien|future|manipulation|simulation|training,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1,English,USA,110000000,2013,635,6.7,2.35,123000
