director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,budget,movie_facebook_likes
25,François Berléand,517,3629758,The Chorus ,44151,Gérard Jugnot,boarding school|boy|choir|school|teacher,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,French,5500000,0
9,Luke Kirby,636,6239558,Mambo Italiano ,5548,Claudia Ferri,gay|immigrant|italian|police|police officer,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,English,5000000,352
10,Louis Lombardi,715,1056102,Wonderland ,18792,Franky G,murder|police|police investigation|porn star|robbery,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,English,5000000,1000
0,John Savage,782,27545445,Do the Right Thing ,59524,Danny Aiello,black militant|frustration|pizza|pizza parlor|pizzeria,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,6500000,0
56,Eric Stoltz,4000,56007,Harvard Man ,3754,Joey Lauren Adams,basketball|cheerleader|college|harvard|philosophy,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,English,5500000,113
592,Kati Outinen,232,611709,Le Havre ,15267,Jean-Pierre Darroussin,bar|container|illegal immigrant|neighbor|shoe shiner,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,French,3850000,0
929,Albert Dupontel,56,753501,Irreversible ,87244,Jo Prestia,long take|male frontal nudity|revenge|reverse chronology|vengeance,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,French,,13000
17,Hitoshi Matsumoto,31,22770,R100 ,1658,Shinobu Terajima,coma|one word title|spitting|sushi|swimming pool,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japanese,5500000,543
85,Steven Mackintosh,397,2197331,Rang De Basanti ,70233,Madhavan,freedom|friend|india|student|urination,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Hindi,,0
4,John Heard,934,,Animals ,605,David Dastmalchian,drug addict|drug addiction|drug use|drugs|junkie,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,English,,679
3,Cree Kelly,472,27445,Salvation Boulevard ,3788,Mike Eshaq,cross|doused with gasoline|pastor|security guard|shower,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,English,9000000,1000
136,Ken Marino,4000,766487,The Ten ,15315,Ron Silver,death|mexico|sabbath|surgeon|ten stories,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,English,5250000,915
222,Paddy Considine,5000,18434,A Room for Romeo Brass ,4471,Shane Meadows,betrayal|family relationships|friendship|psychosis|stranger,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,,484
77,Synnøve Macody Lund,286,1196752,Headhunters ,79353,Julie R. Ølgaard,art thief|male frontal nudity|male nudity|male star appears nude|painting,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norwegian,30300000,23000
4,Richard Coyle,796,,Grabbers ,13227,Bronagh Gallagher,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,English,4000000,11000
12,Adam Butcher,393,795126,Saint Ralph ,4976,Gordon Pinsent,boston marathon|coma|marathon|miracles|running,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,English,6000000,989
440,Jessica Chastain,631,,Miss Julie ,2894,Colin Farrell,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,English,5500000,0
82,Bill Erwin,208,,Somewhere in Time ,21049,George Voskovec,hotel|love|love across time|time travel|time travel romance,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,English,5100000,0
4,Bipasha Basu,374,563699,Dum Maaro Dum ,3266,Prateik,airport|drugs|loss of loved one|police|title based on song,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,Hindi,,421
0,Barbara Hershey,852,83574831,Insidious: Chapter 2 ,109214,Leigh Whannell,barricading a door|injection in leg|police detective|supernatural|taser,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,English,5000000,35000
163,Tony Nappo,1000,87025093,Saw II ,188679,Shawnee Smith,death|detective|nerve gas|serial killer|trap,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,English,4000000,0
