num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
193,94,280,Dougray Scott,866,Henry Ian Cusick,140780,2124,1,R,24000000,2007,6.3,2.35,0
40,93,170,Mary J. Blige,549,Jennifer Hudson,1633,1373,5,PG,17500000,2013,4.4,2.35,0
46,93,1000,50 Cent,13000,Bruce Willis,13133,16735,4,R,18000000,2014,4.6,2.35,0
38,116,50,Shawn Andrews,109,Kirk Fox,4387,245,0,R,17500000,2002,6.0,1.85,204
239,101,83,Elaine Cassidy,482,Fionnula Flanagan,268581,956,0,PG-13,17000000,2001,7.6,1.85,20000
250,154,604,Carrie Henn,2000,Michael Biehn,488537,4228,1,R,18500000,1986,8.4,1.85,18000
82,170,244,Rex Harrison,453,Jeremy Brett,66959,1164,1,Approved,17000000,1964,7.9,2.2,0
140,99,681,Sarah Michelle Gellar,45000,Muse Watson,105585,50284,1,R,17000000,1997,5.6,2.35,0
129,104,613,Damon Wayans Jr.,839,Rob Riggle,106820,3627,1,R,17000000,2014,6.5,1.85,14000
285,126,284,Patrick Gallagher,912,Virginia Madsen,149966,2170,0,R,12000000,2004,7.5,1.85,0
91,110,422,Owain Yeoman,33000,Chris Moss,54710,35345,2,R,17500000,2006,6.3,2.35,0
318,101,598,Donald Pleasence,2000,Jamie Lee Curtis,157857,4400,0,R,300000,1978,7.9,2.35,12000
283,80,576,Tony Chiu Wai Leung,5000,Jet Li,149414,6229,4,PG-13,31000000,2002,7.9,2.35,0
52,87,503,Molly Shannon,818,Liam Aiken,3407,2164,1,PG,17000000,2003,5.1,1.85,309
56,123,849,Sanaa Lathan,1000,Harold Perrineau,11600,5306,5,R,17000000,2013,6.7,2.35,7000
186,109,968,Common,16000,Ryan Reynolds,121058,19410,0,R,17000000,2006,6.7,2.35,3000
178,90,298,Gina Holden,723,Costas Mandylor,67978,1978,0,R,20000000,2010,5.6,1.85,12000
140,96,486,Vinessa Shaw,1000,Emmanuelle Vaugier,62272,3294,0,R,17000000,2002,5.6,1.85,2000
469,125,1000,Olivia Wilde,12000,Jeff Bridges,264186,25549,0,PG,170000000,2010,6.8,2.35,30000
63,82,281,Chris Kattan,8000,Will Ferrell,48458,9271,2,PG-13,17000000,1998,6.2,1.85,0
148,86,583,Mary-Kate Olsen,15000,Alex Pettyfer,64190,17396,1,PG-13,17000000,2011,5.6,2.35,16000
265,108,580,Greg Nicotero,1000,Dan Byrd,129719,4500,0,R,15000000,2006,6.4,2.35,0
75,98,428,Jenna Boyd,593,Kevin Grevioux,11815,2713,1,PG-13,17000000,2003,5.6,2.35,320
113,129,89,Valente Rodriguez,427,Morgan Saylor,23480,952,0,PG,17000000,2015,7.4,2.35,21000
62,99,826,Loretta Devine,918,Brandon T. Jackson,7991,4797,7,PG-13,,2010,4.9,2.35,0
54,105,104,Adam Boyer,680,T.I.,8522,1538,0,PG-13,,2006,6.0,2.35,874
223,112,746,Hana Mae Lee,10000,Anna Kendrick,213898,12676,4,PG-13,17000000,2012,7.2,1.85,36000
50,108,505,Brian Dennehy,973,Marc Blucas,12993,3344,2,PG-13,34000000,2001,4.9,1.85,476
125,121,244,Bridget Fonda,989,Gary Cole,50656,2365,1,R,17000000,1998,7.5,1.85,0
81,89,973,Ethan Embry,1000,Alexander Gould,10885,4060,0,PG-13,17000000,2002,4.8,2.35,814
37,89,323,Larry the Cable Guy,690,Thomas F. Wilson,9104,2135,2,PG-13,4000000,2006,3.1,1.33,110
44,73,142,Kevin Clash,1000,Vanessa Williams,2045,2020,0,G,17000000,1999,5.8,1.85,339
197,132,625,Lili Taylor,3000,Don Cheadle,52852,6317,1,R,17000000,2009,6.7,2.35,4000
15,154,86,David Niven,715,Ava Gardner,4550,1567,3,Unrated,9000000,1963,6.8,2.2,419
543,96,58,Elizabeth Blackmore,394,Lou Taylor Pucci,125016,673,0,R,17000000,2013,6.5,2.35,70000
112,98,399,Harland Williams,567,Nia Vardalos,15033,2016,1,PG-13,17000000,2009,5.9,1.85,0
153,107,841,Dennis Quaid,2000,Judy Greer,22639,5992,6,PG-13,19000000,2006,5.5,1.85,300
94,134,488,Margot Kidder,1000,Jim Broadbent,33570,3007,6,PG,17000000,1987,3.6,2.35,1000
62,94,66,Clé Bennett,328,DeRay Davis,4600,760,0,PG-13,,2007,3.3,1.85,238
157,122,834,Chazz Palminteri,23000,Paul Walker,88590,27381,2,R,17000000,2006,7.4,2.35,0
35,128,193,Jeremy Northam,767,Aidan Quinn,3222,1727,3,PG,,2004,6.7,2.35,352
21,97,161,Paul Freeman,400,Victor Wong,4081,805,0,PG-13,17000000,1986,3.0,1.85,154
236,110,96,Eddie Marsan,3000,Rufus Sewell,295375,4210,3,PG-13,16000000,2006,7.6,1.85,15000
50,102,60,Melanie Griffith,634,Tippi Hedren,1275,1262,0,PG,17000000,1981,6.4,2.35,0
106,98,71,David Murray,214,Brenda Fricker,16234,409,1,R,17000000,2003,6.9,2.35,0
106,120,55,Brady Corbet,14000,Josh Hutcherson,13762,14492,1,R,17000000,2014,6.6,,0
173,160,215,Curtis Armstrong,1000,Janeane Garofalo,32671,2340,6,R,17000000,2006,5.5,2.35,0
41,80,168,Jess Harnell,677,Rob Paulsen,10706,1364,0,PG,11000000,2008,6.6,,0
41,91,255,Jan-Michael Vincent,669,George Peppard,3701,1769,0,PG,17000000,1977,5.2,2.35,903
145,83,62,Rick Gomez,465,Julianna Guill,16268,730,1,PG-13,17000000,2012,4.1,2.35,0
31,102,165,Jamie Lee Curtis,3000,Macaulay Culkin,55895,5433,1,PG-13,16500000,1991,6.8,1.85,0
105,122,260,Ty Burrell,21000,Robert Downey Jr.,13239,25173,2,R,16800000,2006,6.5,1.85,0
236,110,96,Eddie Marsan,3000,Rufus Sewell,295375,4210,3,PG-13,16000000,2006,7.6,1.85,15000
114,126,168,Tamara Tunie,826,Hal Holbrook,119150,1607,2,R,15000000,1987,7.4,1.85,0
69,136,1000,Kate Winslet,25000,Alan Rickman,78392,41059,2,PG,16500000,1995,7.7,1.85,0
150,120,281,Julie Walters,11000,Anne Hathaway,46204,12554,1,PG,16500000,2007,7.1,2.35,0
72,108,433,Matt Long,714,Danny Strong,37700,2785,2,PG-13,16500000,2007,6.3,2.35,0
