director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,gross,genres,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio
Steve Carr,91,87,574,112950721,Comedy|Family|Fantasy,33884,Kevin Pollak,0,bear|doctor|false accusation|man with glasses|second part,79,English,USA,PG,72000000,2.35
Mel Gibson,132,178,403,75600000,Biography|Drama|History|War,736638,James Robinson,1,14th century|legend|revolt|scotland|tyranny,1065,English,USA,R,72000000,2.35
Sam Mendes,262,125,210,62647540,Action|Drama|War,143525,James Morrison,0,american abroad|gulf war|u.s. military|u.s. soldier|usmc,657,English,Germany,R,70000000,2.35
David Silverman,299,87,433,183132370,Adventure|Animation|Comedy,259083,Marcia Wallace,0,alaska|dome|lake|pig|the simpsons,763,English,USA,PG-13,75000000,2.35
Frank Darabont,128,152,745,27796042,Drama|Romance,45031,Jeffrey DeMunn,1,amnesia|california|communist|small town|writer,376,English,USA,PG,72000000,1.85
Renny Harlin,109,116,462,32616869,Action|Drama|Sport,34435,Cristián de la Fuente,0,car race|german|race car|race car driver|rookie,346,English,USA,PG-13,72000000,2.35
Jean-Jacques Annaud,88,109,8,18947630,Adventure|Drama|Family,11798,Oanh Nguyen,0,circus|death of protagonist|jungle|killing an animal|tiger,124,English,France,PG,59660000,2.35
M. Night Shyamalan,261,108,882,114195633,Drama|Mystery|Romance|Thriller,193770,William Hurt,0,creature|pact|plot twist|village|woods,2003,English,USA,PG-13,60000000,1.85
Betty Thomas,73,85,595,144156464,Comedy|Family|Fantasy,74343,Peter Boyle,0,box office hit|doctor|dog|first part|tiger,98,English,USA,PG-13,71500000,1.85
M. Night Shyamalan,208,106,242,227965690,Drama|Sci-Fi|Thriller,271592,Cherry Jones,0,crop circle|faith|farm|glass of water|loss of faith,2335,English,USA,PG-13,72000000,1.85
Andrew Adamson,205,93,48,436471036,Adventure|Animation|Comedy|Family|Fantasy|Romance,314630,Conrad Vernon,1,drag queen|physical appearance|princess|queen|sequel,483,English,USA,PG,150000000,1.85
John Lasseter,256,117,769,244052771,Adventure|Animation|Comedy|Family|Sport,263853,George Carlin,0,car|desert|route 66|tow truck|truck,584,English,USA,G,120000000,2.35
Garry Marshall,103,116,995,152149590,Comedy|Romance,74274,Hector Elizondo,2,bride|columnist|journalist|maryland|wedding,255,English,USA,PG,70000000,2.35
Rob Cohen,191,132,212,141204016,Action|Adventure|Thriller,142569,Leila Arcieri,0,agent|nsa|nsa agent|prague|russian,737,English,USA,PG-13,70000000,2.35
Paul Tibbitt,147,92,726,162495848,Adventure|Animation|Comedy|Family|Fantasy,34359,Eddie Deezen,0,book|magic|pirate|plankton|time machine,133,English,USA,PG,74000000,1.85
Ron Howard,79,139,808,136448821,Crime|Thriller,98989,Rene Russo,1,bounty|fbi|millionaire|money|ransom,158,English,USA,R,80000000,1.85
Quentin Tarantino,486,153,11000,120523073,Adventure|Drama|War,885175,Christoph Waltz,1,france|german|nazis|revenge|scalping,1527,English,USA,R,75000000,2.35
Steven Spielberg,75,142,5000,119654900,Adventure|Comedy|Family|Fantasy,182802,Bob Hoskins,1,1990s|caught in a net|children|duel|hero,363,English,USA,PG,70000000,2.35
Brett Ratner,245,101,467,72660029,Action|Adventure,115687,Ingrid Bolsø Berdal,0,army|greek mythology|hercules|king|mercenary,269,English,USA,PG-13,100000000,2.35
Renny Harlin,142,124,576,117541000,Action|Thriller,269858,Franco Nero,0,airport|fuel|plane|police|terrorist,316,English,USA,R,70000000,2.35
Clark Johnson,144,117,1000,116643346,Action|Adventure|Crime|Thriller,119807,LL Cool J,1,hostage|police|prison|swat team|training,340,English,USA,PG-13,80000000,2.35
,39,45,160,,Adventure|Drama|Fantasy|Mystery|Thriller,49049,Lyndie Greenwood,0,apocalypse|death|husband wife relationship|mother son relationship|murder,110,English,USA,TV-14,,16.0
Cameron Crowe,153,141,509,100614858,Fantasy|Mystery|Romance|Sci-Fi|Thriller,206776,Noah Taylor,1,death|dream|love|lynchian|reality,1248,English,USA,R,68000000,1.85
M. Night Shyamalan,284,110,559,42272747,Drama|Fantasy|Mystery|Thriller,78635,Bob Balaban,1,apartment|bedtime story|eagle|stuttering|swimming pool,1040,English,USA,PG-13,70000000,1.85
Paul W.S. Anderson,247,109,727,80281096,Action|Horror|Sci-Fi|Thriller,143628,Raoul Bova,0,alien|antarctica|predator|pyramid|satellite,1283,English,USA,PG-13,60000000,2.35
Betty Thomas,107,88,1000,219613391,Animation|Comedy|Family|Fantasy|Music,31649,Jesse McCartney,0,adidas|chipmunk|hospital|school|waste container,98,English,USA,PG,75000000,1.85
Randall Wallace,141,124,841,78120196,Action|Drama|History|War,103241,Chris Klein,0,air cavalry|battle|major|soldier|vietnamese,742,English,USA,R,75000000,2.35
Antoine Fuqua,358,119,992,98895417,Action|Thriller,203154,Radha Mitchell,3,political thriller|politics|president|speaker of the house|u.s. president,698,English,USA,R,70000000,2.35
Jonathan Frakes,160,103,748,70117571,Action|Adventure|Sci-Fi|Thriller,56741,Michael Dorn,0,alien|captain|commander|conspiracy|planet,515,English,USA,PG,58000000,2.35
Jonathan Liebesman,355,116,464,83552429,Action|Sci-Fi,154955,Ramon Rodriguez,0,alien|extraterrestrial|invasion|marine|mission,800,English,USA,PG-13,70000000,2.35
Tim Burton,235,125,883,66257002,Adventure|Drama|Fantasy,350698,Albert Finney,0,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,816,English,USA,PG-13,70000000,1.37
Mike Nichols,59,125,184,65012000,Drama|Horror|Romance|Thriller,43559,Ron Rifkin,1,blood|publisher|publishing house|werewolf|wolf,137,English,USA,R,70000000,1.85
Steven Spielberg,388,146,979,79883359,Drama|War,116159,Eddie Marsan,1,barbed wire|british|cavalry|horse|world war one,488,English,USA,PG-13,66000000,2.35
George Clooney,371,118,559,78031620,Drama|War,102248,Bob Balaban,7,art|art expert|nazi stolen art|soldier|world war two,403,English,USA,PG-13,70000000,2.35
James Cameron,82,171,638,54222000,Adventure|Drama|Sci-Fi|Thriller,131217,Mary Elizabeth Mastrantonio,0,alien|estranged couple|ocean|submarine|underwater,380,English,USA,PG-13,69500000,2.35
Oliver Stone,297,136,17,52474616,Drama,84118,John Buffalo Mailer,2,corporate greed|crisis|economy|greed|mentor,245,English,USA,PG-13,70000000,2.35
Gary Shore,261,92,423,55942830,Action|Drama|Fantasy|Horror|War,138582,Zach McGowan,1,death of wife|dracula|tarantula|turk|vampire,423,English,USA,PG-13,70000000,2.35
Edward Zwick,120,116,774,40932372,Action|Thriller,58023,Mark Valley,0,abduction|martial law|military|new york city|terrorist,281,English,USA,R,70000000,2.35
Matthew Vaughn,228,127,271,38345403,Adventure|Family|Fantasy|Romance,212085,Nathaniel Parker,8,king|magic|one word title|pirate|village,492,English,UK,PG-13,70000000,2.35
Jean-Jacques Annaud,76,136,400,37901509,Adventure|Biography|Drama|History|War,96385,Victor Wong,1,austria|dalai lama|himalaya|mountain|tibet,119,English,USA,PG-13,70000000,2.35
Ron Howard,185,111,244,48430355,Comedy|Drama,43709,Chelcie Ross,2,best friend|friend|investigation|secret|two word title,141,English,USA,PG-13,70000000,2.35
Joel Schumacher,128,116,384,30157016,Action|Adventure|Comedy|Thriller,39659,Garcelle Beauvais,2,cia|cia agent|terrorist|twin|twin brother,189,English,USA,PG-13,70000000,2.35
Andrzej Bartkowiak,237,113,452,28031250,Action|Adventure|Horror|Sci-Fi,88146,Dexter Fletcher,0,commando unit|extra chromosome|first person shooter|special forces|teleportation,814,English,UK,R,60000000,2.35
Betty Thomas,105,97,150,33105600,Action|Adventure|Comedy|Thriller,41663,Tate Taylor,1,boxer|espionage|spy|stealth|top secret,141,English,USA,PG-13,70000000,1.37
Måns Mårlind,242,88,324,62321039,Action|Fantasy|Horror,117096,Sandrine Holt,1,battle|cryogenics|detective|scientist|vampire,271,English,USA,R,70000000,2.35
Adam Shankman,360,136,66,38509342,Comedy|Drama|Musical|Romance,61995,Celina Beach,7,concert|love|music industry|panties|pole dancer,356,English,USA,PG-13,75000000,2.35
Gregory Hoblit,112,125,407,19076815,Drama|War,43651,Rory Cochrane,0,colonel|honor|lieutenant|pilot|racism,196,English,USA,R,60000000,2.35
