director_facebook_likes,movie_imdb_link,country,budget,aspect_ratio
17000,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,USA,100000000,2.35
611,http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1,China,94000000,2.35
9,http://www.imdb.com/title/tt0423294/?ref_=fn_tt_tt_1,USA,100000000,1.85
0,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,USA,90000000,1.85
0,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,USA,92000000,2.35
116,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,USA,95000000,1.85
0,http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1,France,93000000,2.35
127,http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1,USA,100000000,1.85
10,http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1,USA,95000000,1.85
20,http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1,USA,95000000,2.35
0,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,USA,95000000,2.35
0,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,USA,65000000,2.35
475,http://www.imdb.com/title/tt0266543/?ref_=fn_tt_tt_1,USA,94000000,1.85
0,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,USA,94000000,2.35
0,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,USA,94000000,2.35
44,http://www.imdb.com/title/tt1121096/?ref_=fn_tt_tt_1,USA,95000000,2.35
165,http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1,USA,115000000,2.35
0,http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1,UK,100000000,2.35
394,http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1,USA,93000000,1.85
81,http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1,USA,93000000,2.35
70,http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1,USA,90000000,2.35
212,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,USA,92000000,1.85
102,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,USA,107000000,2.35
663,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,USA,92000000,2.35
212,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,USA,98000000,2.35
0,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,UK,95000000,2.35
188,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,USA,90000000,1.85
487,http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1,USA,90000000,1.85
12000,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,USA,100000000,2.35
420,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,USA,90000000,2.35
0,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,USA,100000000,2.35
97,http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1,USA,100000000,2.35
107,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1,USA,90000000,1.85
0,http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1,USA,90000000,2.35
368,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,USA,92000000,2.35
17000,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,USA,90000000,2.35
7,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,USA,90000000,1.66
0,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,USA,92000000,2.35
21000,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,USA,90000000,2.35
323,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,USA,90000000,2.35
0,http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1,USA,90000000,1.85
335,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,USA,,2.35
21,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,USA,120000000,2.35
12,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,USA,90000000,1.85
0,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,USA,75000000,1.85
