num_critic_for_reviews,actor_1_name,cast_total_facebook_likes,country,content_rating
50,Jack Palance,1747,USA,R
275,Bill Murray,20330,USA,PG-13
90,Joe Lo Truglio,2800,USA,R
133,Joseph Gordon-Levitt,37907,USA,PG-13
49,Zooey Deschanel,12687,USA,PG-13
19,Jon Lovitz,12322,USA,PG-13
186,Óscar Jaenada,971,USA,PG-13
185,Logan Lerman,12755,USA,R
42,Chris Elliott,2241,USA,PG
37,Mekhi Phifer,6554,USA,PG-13
45,Kathleen Turner,2936,USA,PG
57,Bokeem Woodbine,3353,USA,R
25,Gregory Smith,2486,USA,PG
59,Jenny Agutter,2646,USA,R
58,Leslie Bibb,2297,USA,PG-13
330,Toby Jones,5371,USA,R
489,Elina Alminas,430,UK,R
242,Willie Garson,1171,USA,R
40,Mo'Nique,2815,USA,R
112,Teo Halm,1921,USA,PG
84,Kirsten Dunst,6214,USA,PG-13
251,Yuki Matsuzaki,751,USA,R
113,J.K. Simmons,27806,USA,PG
23,LL Cool J,3352,USA,R
421,Joan Allen,2499,Ireland,R
32,Don Rickles,1805,Canada,PG-13
52,Kathleen Turner,3092,USA,R
81,Ryan Reynolds,31005,France,PG-13
,Michael Nyqvist,998,Sweden,
39,Rosario Dawson,6485,USA,R
63,Salma Hayek,6910,USA,R
47,Jake Gyllenhaal,18864,USA,PG-13
111,Mark Gatiss,1775,UK,R
168,Justin Chon,2730,USA,R
165,Steve Buscemi,13208,France,R
104,Harry Lennix,2417,USA,PG-13
150,Tina Fey,3004,USA,PG-13
61,Emir Kusturica,2389,France,R
226,Liam Neeson,14372,USA,R
21,Chazz Palminteri,1679,USA,R
217,Natalie Portman,39473,USA,R
94,Peter Dinklage,37606,Germany,R
364,Logan Lerman,13631,USA,PG-13
19,Burt Young,1139,USA,R
129,Toby Jones,3474,USA,R
71,Milla Jovovich,17104,UK,R
93,Djimon Hounsou,7875,USA,PG-13
399,John Boyega,2011,UK,R
110,Jelena Jovanova,796,USA,R
285,Michael Imperioli,2812,USA,R
2,Liam Neeson,14133,South Korea,
61,Steve Irwin,1483,Australia,PG
242,Dameon Clarke,931,France,R
62,Rae Dawn Chong,931,Canada,R
121,Denzel Washington,20456,USA,PG-13
83,Gabriel Millman,14347,USA,PG-13
122,Brad Pitt,23602,USA,R
88,Eva Green,9244,Germany,Unrated
120,Kevin Spacey,32288,USA,R
225,Liam Aiken,1813,USA,R
130,Ed Begley Jr.,3700,USA,R
167,Julian Morris,3142,USA,R
7,David Niven,1166,USA,Approved
226,Ryan Gosling,34351,USA,PG-13
185,Richard Johnson,156,UK,PG-13
177,Catherine Deneuve,2894,Denmark,R
28,Tom Wilkinson,2004,USA,R
48,Isabella Rossellini,3337,USA,R
116,Jenna Fischer,2661,USA,R
391,Robert De Niro,26233,USA,R
117,Kevin Spacey,18739,Canada,R
24,Judith Barsi,1833,USA,G
86,Min-sik Choi,1730,South Korea,R
41,Clifton Collins Jr.,4270,Canada,PG
304,Ellen Burstyn,2466,USA,R
385,Roy Scheider,2047,USA,PG
145,Alyson Hannigan,8134,USA,R
99,Mackenzie Foy,6829,France,PG
29,Victor Wong,1044,USA,PG-13
77,Chris Brown,5165,USA,PG-13
91,Sean Patrick Thomas,2754,USA,PG-13
148,Leonard Nimoy,16539,USA,PG
61,Sean Young,2462,USA,PG-13
84,Matthew Broderick,4537,USA,PG
83,Harrison Ford,22479,USA,R
216,Alex Veadov,146,USA,R
107,Channing Tatum,21380,USA,PG-13
63,Bruce Willis,17035,USA,PG-13
140,Robert De Niro,25522,USA,R
