director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Marc Webb,331,11000,32391374,500 Days of Summer ,376600,43,friend|greeting card|office|summer|true love,USA,PG-13,7500000,17000,2.35,40000
Jane Campion,83,11,40158000,The Piano ,63931,1,adultery|daughter|male rear nudity|new zealand|piano,New Zealand,R,7000000,18,1.85,0
Steven Soderbergh,324,11000,113709992,Magic Mike ,108843,1,bank|male nudity|male objectification|male stripper|stripper,USA,R,7000000,15000,2.35,54000
Jonathan Liebesman,140,82,32131483,Darkness Falls ,25870,0,boy|darkness|light|tooth|tooth fairy,USA,PG-13,11000000,970,2.35,2000
Guy Hamilton,136,189,35400000,Live and Let Die ,74957,3,british|cards|heroin|murder|tarot card,UK,PG,7000000,547,1.66,0
Jay Russell,79,430,34099640,My Dog Skip ,16651,0,1940s|dog|mississippi|puppy|veteran,USA,PG,5000000,934,1.37,0
Adam Brooks,160,61,31973840,"Definitely, Maybe ",127760,5,college|daughter|girl|sex|wisconsin,Germany,PG-13,,109,2.35,0
Salim Akil,52,826,37295394,Jumping the Broom ,7973,8,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,USA,PG-13,6600000,912,1.85,0
Baz Luhrmann,490,76,144812796,The Great Gatsby ,362933,4,ingratitude|mansion|party|title appears in writing|tragedy,Australia,PG-13,105000000,509,2.35,115000
George Clooney,351,566,31501218,"Good Night, and Good Luck. ",84070,0,cbs|expose|fear|paranoia|reporter,USA,PG,7500000,650,1.85,0
Bennett Miller,271,27,28747570,Capote ,100571,1,book|holcomb kansas|kansas|killer|truman capote,Canada,R,7000000,68,2.35,0
Robert Rodriguez,93,4000,25625110,Desperado ,138707,0,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,USA,R,7000000,12000,1.85,0
Michael Winterbottom,71,887,403932,The Claim ,5254,4,gold|gold mine|miner|railroad|surveyor,UK,R,20000000,900,2.35,141
,54,1000,,Fargo             ,170055,0,anthology|death|insurance salesman|minnesota|police officer,USA,TV-MA,,1000,1.78,61000
Michael Anderson,112,440,25000000,Logan's Run ,39847,1,cat|computer|cult film|runner|sanctuary,USA,PG,9000000,659,2.35,0
Guy Hamilton,118,244,21000000,The Man with the Golden Gun ,73950,3,assassin|bikini|girl in a bikini|mission|secret agent,UK,PG,13000000,387,1.66,2000
Craig R. Baxley,35,794,20257000,Action Jackson ,7569,2,murder|power|psychotronic|tough cop|union,USA,R,7000000,841,1.85,978
Neil Marshall,342,159,26005908,The Descent ,154938,0,cave|expedition|friendship between women|group of friends|survival horror,UK,R,3500000,239,2.35,10000
Don Kempf,14,69,18642318,Michael Jordan to the Max ,1723,0,basketball|basketball player|character name in title|chicago bulls|imax,USA,,,366,1.44,407
Matt Bettinelli-Olpin,137,270,15818967,Devil's Due ,13913,0,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,USA,R,7000000,479,1.85,0
David O. Russell,50,380,14891000,Flirting with Disaster ,15088,3,adoption|armpit fetish|mistaken identity|new mexico|overalls,USA,R,7000000,524,1.85,824
Rob Zombie,261,597,16901126,The Devil's Rejects ,76267,0,escape|police|road trip|sheriff|texas,USA,R,7000000,649,1.85,0
,96,970,,Buffy the Vampire Slayer             ,101902,0,action heroine|coming of age|destiny|double life|vampire,USA,TV-14,2300000,3000,1.33,6000
Rick Famuyiwa,180,190,17474107,Dope ,56605,3,african american|geek|hip hop|party|tomboy,USA,R,7000000,256,2.35,23000
Michael Rymer,28,826,14003141,In Too Deep ,4598,1,cunnilingus|oral sex|police|sex scene|undercover,USA,R,7000000,865,2.35,375
Sam Mendes,750,393,304360277,Skyfall ,522048,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,UK,PG-13,200000000,563,2.35,80000
Rob Zombie,202,303,12583510,House of 1000 Corpses ,60709,0,actor playing multiple roles|axe|dark comedy|masked man|sadism,USA,R,7000000,340,1.85,0
Sharron Miller,8,23,,Alien Zone ,440,0,affair|child murderer|mortician|strangulation|supernatural power,USA,PG,350000,29,,44
Ethan Coen,341,98,9190525,A Serious Man ,102125,1,bar mitzvah|jewish|marital breakup|nose job|rabbi,USA,R,7000000,105,1.85,10000
Aaron Schneider,160,970,9176553,Get Low ,19147,1,funeral|funeral home|hermit|party|secret,USA,PG-13,7500000,3000,2.35,0
Steve Miner,31,304,9094451,Warlock ,11668,0,17th century|book|death|warlock|witch hunter,USA,R,7000000,554,1.85,0
Gina Prince-Bythewood,71,658,14612840,Beyond the Lights ,11191,1,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,USA,PG-13,7000000,664,,0
Tom Ford,281,292,9166863,A Single Man ,83182,2,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,USA,R,7000000,343,2.35,16000
Martin Scorsese,114,159,8373585,The Last Temptation of Christ ,39680,0,carpenter|exorcism|faith|reference to jesus christ|temptation,USA,R,7000000,618,1.85,0
Michael Corrente,72,407,7292175,Outside Providence ,7736,3,class|cornwall connecticut|dog|friend|pawtucket rhode island,USA,R,7000000,412,1.85,0
Gurinder Chadha,119,397,6601079,Bride & Prejudice ,17436,1,bollywood|india|jane austen|london england|travel,UK,PG-13,7000000,579,2.35,0
Phillip Noyce,74,46,6165429,Rabbit-Proof Fence ,23486,1,aborigine|based on true story|colonialism|fence|half caste,Australia,PG,6000000,93,2.35,0
Don Michael Paul,25,442,5694308,Who's Your Caddy? ,13815,0,2000s|golf caddy|golf course|golfer|question mark in title,USA,PG-13,7000000,585,1.85,446
Tony Maylam,39,38,5430822,Split Second ,8391,0,appearing from water|breasts|creature|partner|water,UK,R,7000000,192,1.85,0
,27,346,,Nikita             ,42402,1,assassin|death|female protagonist|rogue|training,USA,,,485,16.0,0
Mitch Davis,27,35,4720371,The Other Side of Heaven ,3203,2,1950s|idaho|love|missionary|mormon,USA,PG,7000000,43,1.85,650
,11,652,,Dark Angel             ,25329,1,cat burglar|female lead|future|mixed martial arts|post apocalypse,USA,TV-14,,794,1.33,0
Yash Chopra,29,397,2921738,Veer-Zaara ,34449,0,fair|pakistan|prison|rescue|stranded,India,,7000000,860,2.35,2000
David Mamet,158,501,2344847,Redbelt ,18561,0,bar|debt|fight|instructor|jujitsu,USA,R,7000000,518,2.35,0
Jay Duplass,223,224,7455447,Cyrus ,29967,2,21 year old|forename as title|musician|party|rearview mirror,USA,R,7000000,259,1.85,0
Kevin Brodie,25,359,2148212,A Dog of Flanders ,781,0,artist|box office flop|dog|drawing|flanders,USA,PG,7000000,476,1.85,157
Paul Schrader,97,617,2062066,Auto Focus ,11387,3,friendship|photography|radio|sex addict|video,USA,R,7000000,658,1.85,357
George Hickenlooper,117,628,1654367,Factory Girl ,18355,0,andy warhol|female nudity|public nudity|singer|socialite,USA,R,7000000,787,1.85,3000
Lynne Ramsay,389,77,1738692,We Need to Talk About Kevin ,95529,0,archery|defiance|mental illness|psychopath|toilet training,UK,R,7000000,294,2.35,38000
John Stephenson,9,149,2209479,The Christmas Candle ,844,0,angel|candle|christmas|miracle|village,UK,PG,,627,,962
Tim Chambers,34,455,1889522,The Mighty Macs ,1119,2,basketball|catholic|coach|college|nun,USA,G,7000000,690,2.35,797
Curtis Hanson,7,172,,Losin' It ,3114,0,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,Canada,R,7000000,422,,168
Rodrigo García,161,798,1110286,Mother and Child ,9727,6,adoption|baby|girl|lawyer|sex,USA,R,4825000,941,2.35,0
Dick Richards,6,375,1000000,March or Die ,2215,1,arab|bare chested male|foreign legion|french foreign legion|morocco,UK,PG,9000000,750,1.85,122
Jean-Marie Poiré,16,39,700000,Les visiteurs ,24438,1,distant past|future time travel|nobleman|squire|trapped in the past,France,R,50000000,54,2.35,0
Sofia Coppola,301,106,1768416,Somewhere ,35848,0,actor|boredom|luxury hotel|party|trip,USA,R,7000000,218,1.85,0
Bob Gosse,52,184,1425993,I Hope They Serve Beer in Hell ,7412,1,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,USA,R,,216,2.35,0
Alex Zamm,12,611,306715,Chairman of the Board ,5143,1,box office flop|company|invention|roommate|surfer,USA,PG-13,10000000,788,1.85,724
Spencer Susser,134,973,382946,Hesher ,43965,0,bully|car|car accident|fire|vomiting,USA,R,7000000,20000,2.35,19000
Richard Shepard,151,13,518134,Dom Hemingway ,21243,2,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,UK,R,,524,2.35,0
Gus Van Sant,103,,236266,Gerry ,15104,0,desert|friend|friendship|minimal dialogue|water,USA,R,3500000,0,2.35,0
Thaddeus O'Sullivan,39,52,196067,The Heart of Me ,1966,3,1930s|car accident|hospital|marital rape|painter,UK,R,7000000,358,1.85,97
Peter Sollett,133,935,532988,Freeheld ,5863,0,cancer|gay bar|lesbian kiss|partner|public hearing,USA,PG-13,7000000,1000,1.85,0
Shari Springer Berman,104,281,453079,The Extra Man ,4124,4,co worker|escort|magazine|teacher|writer,USA,R,7000000,403,2.35,916
Aleksey German,121,0,,Hard to Be a God ,2518,0,fictional war|hanging|male full frontal nudity|medieval times|nudity,Russia,Not Rated,7000000,4,1.66,1000
Stephen Milburn Anderson,27,410,46451,Ca$h ,7663,2,cash|financial problem|heist|land rover|mortgage,USA,R,7000000,854,1.85,694
Richard E. Grant,49,530,233103,Wah-Wah ,2670,3,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,UK,R,7000000,838,2.35,311
Troy Duffy,100,184,,The Boondock Saints ,197845,2,fbi|fbi agent|friend|irish|mafia,Canada,R,7000000,333,2.35,16000
David Lam,12,4,,Z Storm ,383,1,,Hong Kong,,7000000,82,2.35,55
