actor_2_name,gross,country,title_year
Greer Garson,,USA,1945
Ethan Peck,,Spain,2015
Zohra Segal,,UK,2005
James Wolk,,USA,2014
Daniel Kash,,Canada,2007
Teresa Wright,23650000,USA,1946
Nick Stahl,510092,USA,2001
Per Christian Ellefsen,313436,Norway,2001
Arturo Castro,3330,USA,2015
Pablo Rosso,,Spain,2007
Martha Higareda,,USA,2010
David Proval,,USA,2015
Michael Chapman,,UK,2015
Maria Doyle Kennedy,,USA,2015
Daniela Bianchi,24800000,UK,1963
Jessica Dublin,792966,USA,1989
Alan Autry,,USA,
John Beck,,USA,1973
Ruby Harris,14673301,USA,2014
John Carradine,,USA,1972
Brock Peters,,USA,1962
Bruce Spence,9003011,Australia,1981
Anita Mui,11546543,Hong Kong,1994
Shelley Winters,,UK,1962
Brendan Sexton III,11533945,USA,1999
Julia Taylor Ross,12555230,France,2011
Ulrich Mühe,11284657,Germany,2006
Alex Kendrick,34522221,USA,2011
Jackie Gleason,,USA,1961
Spencer Tracy,,USA,1940
Charles Linton,7002255,France,2003
Irene Bedard,6719300,Canada,1998
James Urbaniak,6003587,USA,2003
Albert Delpy,5792822,USA,2004
Jorge Salinas,5383834,Mexico,2000
Sarah Clarke,4599680,USA,2003
Celeste Holm,,USA,1947
Shelley Waggener,6531491,USA,2010
Brendan Mackey,4581222,UK,2003
Don Ameche,,USA,1938
Brad William Henke,3885134,USA,2005
George W. Bush,4311834,USA,2010
Emily Ratajkowski,3590010,UK,2015
Gano Grills,3300230,France,1999
Christian Bale,3335839,USA,2005
Leonor Varela,2557668,USA,2015
Enrico Colantoni,2506446,USA,2002
Tawny Kitaen,7369373,UK,1986
Amy Sedaris,,USA,
Brian Blessed,4414535,UK,1996
Peter Stickles,1984378,USA,2006
Ronny Dayag,2283276,Israel,2008
Kirby Heyborne,1098224,USA,2003
Dick Cheney,1430185,USA,2007
David Fine,1477002,USA,2015
Jon Tenney,,USA,
Buzz Aldrin,1134049,UK,2007
Zoe Kazan,977600,USA,2010
Bill Maher,653621,USA,2005
Manny Perez,110000,USA,2000
