duration,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,content_rating,title_year,imdb_score,aspect_ratio
97,14000,Comedy|Family|Fantasy,Colin Firth,Nanny McPhee ,49676,Imelda Staunton,PG,2005,6.6,2.35
142,14000,Crime|Drama,Al Pacino,Scarface ,537442,Mary Elizabeth Mastrantonio,R,1983,8.3,2.35
98,742,Action|Adventure|Comedy|Crime,Kelly Preston,Nothing to Lose ,36253,Rebecca Gayheart,R,1997,6.7,1.85
219,1000,Biography|Drama|History,Cary-Hiroyuki Tagawa,The Last Emperor ,70274,Victor Wong,PG-13,1987,7.8,2.35
109,24000,Action|Crime|Drama|Thriller,J.K. Simmons,Contraband ,101977,Lukas Haas,R,2012,6.5,2.35
97,695,Action|Comedy|Crime|Thriller,Heather Locklear,Money Talks ,22748,Faizon Love,R,1997,6.1,2.35
158,272,Drama,Jim Meskimen,There Will Be Blood ,372990,Kevin Breznahan,R,2007,8.1,2.35
85,1000,Adventure|Animation|Comedy|Family|Fantasy,Alfre Woodard,The Wild Thornberrys Movie ,12218,Cree Summer,PG,2002,5.2,2.35
80,971,Adventure|Animation|Comedy|Family|Fantasy|Musical,Elizabeth Daily,Rugrats Go Wild ,5674,Nancy Cartwright,PG,2003,5.6,2.35
86,744,Action|Comedy,Dave Chappelle,Undercover Brother ,29661,Chi McBride,PG-13,2002,5.8,1.85
119,2000,Comedy|Drama|Family|Romance,Mike Vogel,The Sisterhood of the Traveling Pants ,44838,Kyle Schmid,PG,2005,6.6,2.35
98,5000,Action|Crime|Drama|Thriller,Jet Li,Kiss of the Dragon ,53126,Max Ryan,R,2001,6.6,2.35
97,15000,Comedy|Romance,Emma Stone,The House Bunny ,63969,Beverly D'Angelo,PG-13,2008,5.5,2.35
105,1000,Comedy,Alfre Woodard,Beauty Shop ,13194,LisaRaye McCoy,PG-13,2005,5.5,2.35
124,4000,Biography|Drama|Sport,Jon Hamm,Million Dollar Arm ,35833,Gregory Alan Williams,PG,2014,7.0,2.39
97,12000,Drama|Romance|Sci-Fi,Jeff Bridges,The Giver ,86251,Alexander Skarsgård,PG-13,2014,6.5,2.35
105,14000,Comedy|Drama|Family|Romance,Colin Firth,What a Girl Wants ,48095,Kelly Preston,PG,2003,5.8,2.35
104,296,Horror,Nicki Aycox,Jeepers Creepers II ,45102,Billy Aaron Brown,R,2003,5.6,2.35
101,1000,Comedy|Romance,Dane Cook,Good Luck Chuck ,74622,Chelan Simmons,R,2007,5.6,1.85
101,5000,Action|Crime|Drama|Thriller,Jet Li,Cradle 2 the Grave ,34942,DMX,R,2003,5.8,2.35
114,11000,Drama|Romance,Meryl Streep,The Hours ,102123,Miranda Richardson,PG-13,2002,7.6,1.85
105,17000,Comedy|Romance,Channing Tatum,She's the Man ,116762,Laura Ramsey,PG-13,2006,6.4,1.85
