director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Jon Cassar,90,78,720,Landon Liboiron,2000,Drama|Western,Demi Moore,Forsaken ,4693,4142,1,,English,Canada,11000000,2015,6.3,2.35,0
Richard Fleischer,89,130,183,Brigitte Nielsen,444,Action|Adventure|Fantasy,Ernie Reyes Jr.,Red Sonja ,30215,1243,1,cult film|psychotronic|sword and sorcery|talisman|warrior,English,Netherlands,17900000,1985,5.0,2.35,0
Rodrigo Cortés,114,89,920,Toby Jones,22000,Drama|Horror|Mystery|Thriller,Robert De Niro,Red Lights ,48162,25804,2,fraud|physicist|psychic|skeptic|tailing,English,Spain,14000000,2012,6.2,2.35,10000
Greg Mottola,119,99,778,Joe Lo Truglio,15000,Comedy,Emma Stone,Superbad ,422606,17584,2,black comedy|bromance|party|school|teen comedy,English,USA,20000000,2007,7.6,1.85,0
Tyler Perry,103,0,543,Keshia Knight Pulliam,923,Comedy|Crime|Drama,Vanessa Ferlito,Madea Goes to Jail ,9544,3699,0,adaptation directed by original author|cross dressing|madea series|remake|sequel,English,USA,,2009,4.1,1.85,804
David Hayter,91,512,413,Jennifer Hale,11000,Action|Horror,Jason Momoa,Wolves ,5693,13545,2,bar|female nudity|murder|small town|werewolf,English,France,18000000,2014,5.3,2.35,0
Jon M. Chu,98,209,129,Mari Koda,158,Drama|Music|Musical|Romance,Cassie Ventura,Step Up 2: The Streets ,67653,816,2,audition|dance|kissing in the rain|student|subway,English,USA,23000000,2008,6.2,1.85,0
Cory Edwards,80,19,854,Chazz Palminteri,11000,Action|Animation|Comedy|Crime|Family,Anne Hathaway,Hoodwinked! ,45900,14385,1,animal|axe|red riding hood|wolf|woodsman,English,USA,17500000,2005,6.5,1.85,0
Terry George,121,83,242,Sophie Okonedo,3000,Drama|History|War,Don Cheadle,Hotel Rwanda ,264533,4142,1,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,English,UK,17500000,2004,8.1,2.35,12000
Xavier Gens,94,87,280,Dougray Scott,866,Action|Crime|Drama|Thriller,Henry Ian Cusick,Hitman ,140780,2124,1,hitman|impersonation|see through dress|topless female nudity|woman on top,English,France,24000000,2007,6.3,2.35,0
Kasi Lemmons,93,148,170,Mary J. Blige,549,Drama|Family|Music|Musical,Jennifer Hudson,Black Nativity ,1633,1373,5,based on stage musical|based on the bible|christmas|color in title|nativity,English,USA,17500000,2013,4.4,2.35,0
Brian A Miller,93,32,1000,50 Cent,13000,Action|Thriller,Bruce Willis,The Prince ,13133,16735,4,assassin|fight|mechanic|rescue|rival,English,USA,18000000,2014,4.6,2.35,0
Matt Dillon,116,0,50,Shawn Andrews,109,Crime|Drama|Thriller,Kirk Fox,City of Ghosts ,4387,245,0,bag over head|buddhist temple|loss of friend|male bonding|nightclub,English,USA,17500000,2002,6.0,1.85,204
Alejandro Amenábar,101,448,83,Elaine Cassidy,482,Fantasy|Horror|Thriller,Fionnula Flanagan,The Others ,268581,956,0,curtain|haunting|mansion|mute|xeroderma pigmentosum,English,USA,17000000,2001,7.6,1.85,20000
James Cameron,154,0,604,Carrie Henn,2000,Action|Adventure|Sci-Fi,Michael Biehn,Aliens ,488537,4228,1,alien|human versus alien|monster|rescue mission|space marine,English,USA,18500000,1986,8.4,1.85,18000
George Cukor,170,165,244,Rex Harrison,453,Drama|Family|Musical|Romance,Jeremy Brett,My Fair Lady ,66959,1164,1,colonel|flower girl|professor|street|wager,English,USA,17000000,1964,7.9,2.2,0
Jim Gillespie,99,13,681,Sarah Michelle Gellar,45000,Horror|Mystery|Thriller,Muse Watson,I Know What You Did Last Summer ,105585,50284,1,beach|corpse|fourth of july|overalls|revenge,English,USA,17000000,1997,5.6,2.35,0
Luke Greenfield,104,42,613,Damon Wayans Jr.,839,Comedy,Rob Riggle,Let's Be Cops ,106820,3627,1,friendship between men|impersonating a police officer|mobster|party|police officer,English,USA,17000000,2014,6.5,1.85,14000
Alexander Payne,126,729,284,Patrick Gallagher,912,Adventure|Comedy|Drama|Romance,Virginia Madsen,Sideways ,149966,2170,0,actor|california|teacher|wine|writer,English,USA,12000000,2004,7.5,1.85,0
Jay Chandrasekhar,110,422,422,Owain Yeoman,33000,Comedy,Chris Moss,Beerfest ,54710,35345,2,beer|competition|germany|oktoberfest|prostitute,English,USA,17500000,2006,6.3,2.35,0
John Carpenter,101,0,598,Donald Pleasence,2000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,English,USA,300000,1978,7.9,2.35,12000
Yimou Zhang,80,611,576,Tony Chiu Wai Leung,5000,Action|Adventure|History,Jet Li,Hero ,149414,6229,4,china|flying|king|palace|sword,Mandarin,China,31000000,2002,7.9,2.35,0
John Hoffman,87,9,503,Molly Shannon,818,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,Good Boy! ,3407,2164,1,dog|friend|neighborhood|planet|star,English,USA,17000000,2003,5.1,1.85,309
Malcolm D. Lee,123,92,849,Sanaa Lathan,1000,Comedy|Drama,Harold Perrineau,The Best Man Holiday ,11600,5306,5,childbirth|christmas|gay slur|infidelity|punched in the nose,English,USA,17000000,2013,6.7,2.35,7000
Joe Carnahan,109,248,968,Common,16000,Action|Crime|Drama|Thriller,Ryan Reynolds,Smokin' Aces ,121058,19410,0,casino|fbi|mafia|mob hit|sniper,English,UK,17000000,2006,6.7,2.35,3000
Kevin Greutert,90,52,298,Gina Holden,723,Horror|Mystery,Costas Mandylor,Saw 3D: The Final Chapter ,67978,1978,0,blood splatter|self help guru|sequel|support group|survivor,English,Canada,20000000,2010,5.6,1.85,12000
Michael Lehmann,96,36,486,Vinessa Shaw,1000,Comedy|Romance,Emmanuelle Vaugier,40 Days and 40 Nights ,62272,3294,0,female on male rape|lent|male rear nudity|masturbation|sex,English,USA,17000000,2002,5.6,1.85,2000
Joseph Kosinski,125,364,1000,Olivia Wilde,12000,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,264186,25549,0,arcade|bridge|disappearance|escape|warrior,English,USA,170000000,2010,6.8,2.35,30000
John Fortenberry,82,12,281,Chris Kattan,8000,Comedy|Music|Romance,Will Ferrell,A Night at the Roxbury ,48458,9271,2,1990s|bar|car accident|nightclub|whipped cream,English,USA,17000000,1998,6.2,1.85,0
Daniel Barnz,86,33,583,Mary-Kate Olsen,15000,Drama|Fantasy|Romance,Alex Pettyfer,Beastly ,64190,17396,1,love|maid|newscaster|student|tutor,English,USA,17000000,2011,5.6,2.35,16000
