director_facebook_likes,actor_3_facebook_likes,num_user_for_reviews,country
3,499,27,Canada
99,452,220,USA
0,195,165,USA
41,525,84,USA
9,262,42,Canada
43,244,267,UK
7,1000,12,UK
0,319,190,France
17,770,114,USA
6,200,26,USA
176,760,344,USA
0,82,228,Spain
0,123,147,Canada
100,327,54,USA
12,1000,88,UK
43,129,38,USA
116,303,106,India
3000,844,551,Denmark
25,110,80,Australia
147,1000,286,India
0,513,1110,UK
365,177,826,USA
50,741,129,USA
278,51,150,USA
92,177,275,UK
33,123,76,USA
798,16,29,Italy
473,685,70,USA
92,862,79,USA
85,118,281,USA
909,184,429,USA
65,908,244,USA
0,407,173,USA
8,587,316,USA
37,883,370,USA
46,701,246,USA
644,199,159,USA
17,179,278,USA
2,127,26,USA
0,130,108,UK
84,338,127,USA
17,571,41,USA
188,35,327,USA
23,471,238,USA
157,219,52,USA
6,633,81,USA
,140,54,USA
12,297,56,USA
49,261,27,USA
38,316,63,USA
26,611,76,USA
162,277,314,UK
43,0,24,South Korea
64,748,21,USA
6,6,47,Thailand
930,433,45,Italy
0,5,1,France
608,25,94,UK
3,204,14,USA
11,18,6,Australia
8,558,57,USA
28,104,44,Denmark
0,230,45,Germany
11,35,44,UK
25,98,14,France
6,664,42,USA
4,93,93,Australia
4,151,64,UK
3,327,57,UK
8,59,39,Australia
236,68,33,France
8,896,196,USA
,265,73,USA
3,305,38,Thailand
541,673,339,USA
108,175,226,USA
43,122,52,USA
68,1000,41,USA
35,170,186,France
8,3,14,Norway
729,133,441,USA
300,341,117,USA
17,429,116,USA
170,202,308,USA
14,559,57,USA
0,13,17,South Korea
319,179,110,UK
160,81,235,India
71,304,113,USA
78,,312,USA
407,39,140,USA
11,119,47,India
644,6,222,Ireland
0,417,102,India
80,225,235,USA
54,346,90,USA
163,636,259,USA
11,173,159,Turkey
16000,857,2195,USA
21,842,92,UK
66,85,552,USA
422,422,201,USA
338,195,406,USA
2000,51,99,USA
36,27,889,USA
0,107,584,USA
0,27,1441,UK
548,360,247,USA
152,459,142,USA
44,458,60,USA
0,388,14,USA
129,3000,378,USA
5,297,148,USA
0,602,211,USA
19,117,100,USA
2,213,48,USA
2,102,6,USA
0,591,165,UK
13,244,452,UK
,460,25,USA
0,112,271,USA
13,292,147,USA
3,268,172,USA
33,475,164,USA
3,631,78,USA
79,414,625,USA
126,517,1061,USA
44,596,298,USA
31,50,90,Canada
78,968,188,USA
133,86,25,USA
132,216,142,USA
87,424,264,USA
10,582,11,USA
54,306,339,UK
18,741,32,USA
198,636,55,USA
15,660,34,USA
26,417,86,USA
133,136,86,UK
,648,85,
26,0,140,USA
608,386,141,UK
341,569,162,France
73,112,102,USA
71,168,109,Germany
16,472,150,USA
13,594,73,UK
14,291,34,UK
23,200,37,USA
136,249,15,UK
45,4,71,France
109,7,182,USA
12,710,110,USA
30,209,48,USA
0,844,12,UK
200,1000,79,USA
2,227,27,UK
8,33,98,Canada
387,399,27,USA
36,405,86,UK
3,448,107,USA
,427,33,UK
53,463,34,USA
346,488,58,Italy
43,47,11,Spain
78,4,430,Japan
17,1000,31,USA
2,23,31,Canada
2,600,24,USA
29,11,2,China
21,112,149,UK
78,189,5,USA
341,15,288,France
16,376,13,UK
73,26,43,Australia
155,391,14,USA
78,325,134,USA
88,890,30,USA
7,36,81,Hong Kong
2,40,19,France
655,88,323,USA
0,658,384,USA
92,221,237,UK
14,161,268,USA
62,518,61,UK
248,147,214,USA
329,280,83,Canada
18,742,20,USA
0,249,33,USA
406,968,106,USA
119,844,95,USA
27,59,26,France
187,158,150,UK
22,447,3,UK
549,911,1624,Germany
127,373,98,UK
20,36,4,Nigeria
5,60,37,USA
10,106,158,France
287,664,69,USA
23,93,96,Germany
0,500,73,France
12,641,224,UK
0,4000,1902,USA
0,440,206,USA
655,973,881,USA
249,96,29,Canada
82,175,276,UK
0,3000,2238,USA
213,92,128,USA
464,11000,494,USA
319,11,241,New Zealand
0,11000,281,USA
474,82,369,USA
82,189,251,UK
13,430,149,USA
20,61,168,Germany
70,826,59,USA
1000,76,753,Australia
0,566,526,USA
152,27,416,Canada
0,4000,202,USA
187,887,92,UK
,1000,173,USA
23,440,242,USA
82,244,258,UK
22,794,65,USA
197,159,1100,UK
0,69,13,USA
14,270,120,USA
737,380,105,USA
0,597,687,USA
,970,665,USA
44,190,89,USA
48,826,29,USA
0,393,1498,UK
0,303,922,USA
0,23,21,USA
1000,98,324,USA
11,970,97,USA
49,304,79,USA
107,658,37,USA
192,292,247,USA
17000,159,308,USA
30,407,100,USA
98,397,276,UK
176,46,249,Australia
70,442,46,USA
6,38,75,UK
,346,83,USA
7,35,85,USA
,652,160,USA
147,397,119,India
342,501,119,USA
157,224,126,USA
0,359,20,USA
261,617,147,USA
60,628,106,USA
159,77,301,UK
0,149,34,UK
2,455,12,USA
161,172,16,Canada
127,798,65,USA
6,375,26,UK
8,39,78,France
0,106,198,USA
10,184,72,USA
43,611,62,USA
58,973,99,USA
47,13,66,UK
835,,290,USA
5,52,25,UK
6,935,25,USA
30,281,29,USA
23,0,28,Russia
0,410,38,USA
554,530,50,UK
78,184,876,Canada
4,4,1,Hong Kong
0,507,70,USA
0,26,9,Russia
24,29,6,USA
16000,240,138,USA
49,687,42,USA
0,787,408,USA
197,578,162,USA
16,63,6,Canada
0,493,38,USA
4,36,51,Germany
3,436,129,USA
0,83,65,USA
13,261,160,Canada
777,58,156,Canada
125,11,21,Italy
11,415,31,Ireland
294,15,107,Brazil
40,300,291,USA
3,38,31,Australia
309,15,183,USA
7,51,63,USA
0,146,33,USA
0,517,201,USA
208,689,54,USA
218,376,418,USA
132,180,166,USA
338,45,171,USA
38,91,160,USA
11,8,84,Germany
0,726,375,UK
905,466,263,UK
0,266,21,USA
129,782,119,UK
15,874,135,USA
19,0,35,UK
38,706,92,USA
9,368,18,New Zealand
210,471,143,UK
0,255,692,UK
31,43,225,Germany
0,27,75,UK
228,358,300,USA
,5,25,Italy
0,781,434,USA
116,898,350,USA
0,576,505,UK
909,282,1416,USA
131,399,309,USA
55,266,259,USA
0,535,283,USA
153,447,191,USA
34,249,316,USA
11000,484,250,USA
10,578,43,USA
44,328,50,USA
0,574,1182,USA
81,92,227,USA
12,583,258,Germany
0,120,547,USA
54,332,87,USA
378,658,340,USA
0,381,284,UK
0,182,38,USA
0,405,32,USA
472,64,70,Hong Kong
378,345,272,USA
80,658,73,USA
,502,44,UK
