actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,num_user_for_reviews,content_rating
501,Kathryn Morris,574,Drama|Thriller,79,R
181,Tom Guiry,262,Crime|Drama|Romance,30,R
258,Eion Bailey,1000,Drama,3,R
152,Kurt Angle,247,Comedy,72,Not Rated
13,Stig Frode Henriksen,35,Comedy|Horror,200,Not Rated
69,Larry Bagby,214,Action|Adventure|Drama|War,157,PG-13
37,Alan Pietruszewski,134,Horror|Sci-Fi|Short|Thriller,3,
425,Ron Howard,11000,Comedy|Drama|Music,238,PG
0,Katy Helvenston-Wettengal,25,Documentary|War,24,
357,Fred Armisen,2000,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,73,R
522,Mark Duplass,934,Comedy|Drama|Romance,260,R
95,Larry King,312,Comedy|Documentary,8,R
246,Ben Crompton,513,Crime|Horror|Thriller,209,Not Rated
74,Jake Ryan,969,Horror,247,R
389,Atticus Shaffer,10000,Drama|Fantasy|Horror|Mystery|Thriller,230,PG-13
48,Stefania Sandrelli,319,Drama,101,R
21,Christel Khalil,108,Drama,31,R
201,Nichola Burley,1000,Crime|Drama|Horror|Thriller,74,R
280,Michael Welch,935,Horror,129,R
118,Jennifer Lee Wiggins,717,Horror,30,R
433,Lloyd Bridges,998,Thriller|Western,333,PG
2,Arthur Agee,7,Documentary|Drama|Sport,74,PG-13
14,Christopher Toler,262,Documentary|Music,46,PG-13
567,Lauren Cohan,22000,Action|Adventure|Fantasy|Sci-Fi,11,
36,Bruce Altman,80,Crime|Drama,109,NC-17
195,Kara Hayward,601,Drama|Mystery|Thriller,17,PG-13
311,Wesley Jonathan,618,Drama|Music|Romance,10,PG-13
84,Thomas Kretschmann,6000,Action|Adventure|Drama|Romance,2618,PG-13
324,Paris Hilton,730,Horror,576,R
71,Tristan Mack Wilds,33000,Drama,189,R
236,Akima,752,Drama,6,PG-13
48,Robinne Lee,465,Comedy,36,R
137,Steffinnie Phrommany,696,Crime|Drama|Thriller,1,
432,Lee Armstrong,977,Fantasy|Horror,79,Not Rated
442,Harvey Weinstein,628,Documentary,8,
21,Dave Fennoy,1000,Documentary,1,
258,Madison Lintz,523,Fantasy|Horror|Mystery|Thriller,27,PG-13
2000,Lorraine Ziff,260000,Drama|Thriller,5,
912,Justin Kirk,956,Comedy|Drama,19,
23,Edward Everett Horton,610,Comedy|Musical|Romance,98,Approved
39,Joshua Leonard,170,Horror,3400,R
136,Jimi Hendrix,262,Documentary|History|Music,63,R
11,Barry Dennen,119,Comedy,109,R
254,David A.R. White,602,Action|Crime|Drama,16,PG-13
20,Matthew Feeney,23,Mystery|Thriller,4,PG-13
218,Jason London,919,Drama,19,R
359,Angela Nordeng,601,Crime|Drama,,Not Rated
0,Garba Touré,0,Documentary,2,
0,Colin Andrews,0,Documentary,13,
271,Steven Michael Quezada,595,Action|Drama|Thriller,1,PG-13
2,Félix Moati,541,Comedy|Drama,1,
233,Annabella Sciorra,587,Thriller,9,
704,Ringo Starr,785,Comedy|Musical,219,Approved
,,,Documentary,2,
221,Sally Kirkland,2000,Drama|Romance,9,R
0,Spela Colja,0,Comedy,2,
150,Ken Bevel,848,Drama|Romance,215,PG
0,Pant Shirt Baba,0,Biography|Documentary|Drama,3,
