num_user_for_reviews,actor_2_facebook_likes
89,617
2047,893
216,2000
532,460
497,640
84,879
39,605
110,2000
229,579
222,828
239,52
207,367
142,854
559,919
599,3000
131,11000
545,1000
495,4000
195,245
269,467
418,62
178,12000
301,1000
191,808
2319,691
190,708
289,19000
415,638
429,1000
532,3000
207,637
63,3000
667,15000
640,1000
483,957
611,11000
211,12000
612,534
1448,568
149,10000
549,27
533,721
211,135
180,691
481,624
155,560
110,1000
919,17000
945,50
407,963
322,11000
318,743
623,3000
470,440
375,22000
346,8000
309,11000
849,560
498,883
357,1000
322,920
406,10000
243,11000
110,919
252,818
130,2000
779,11000
646,412
394,495
147,387
199,13000
791,748
242,11000
560,989
292,15000
232,258
209,843
312,18000
130,11000
384,664
110,536
2042,979
192,131
9,171
118,2000
168,651
248,912
304,520
533,593
329,348
625,903
219,726
102,995
306,11000
142,1000
142,2000
506,294
1740,495
261,4000
181,1000
279,822
210,298
114,289
148,823
275,3000
156,273
672,919
259,1000
157,886
140,643
177,722
548,414
106,508
194,119
226,743
33,7
118,472
65,2000
323,563
302,455
84,13000
392,184
150,559
347,329
286,631
260,1000
190,450
227,898
22,512
514,631
632,1000
47,552
420,14000
94,923
205,988
398,6000
208,1000
390,40
274,11000
137,694
73,713
78,619
90,3000
127,3000
149,845
374,940
70,979
245,8000
258,852
341,811
150,8000
93,387
91,602
211,2000
179,342
294,5000
148,531
113,560
209,882
867,399
477,844
226,35
627,2000
397,11000
850,324
32,555
560,490
185,254
497,629
537,12000
316,1000
254,575
84,5000
560,8000
323,794
307,745
345,1000
55,102
164,631
419,977
210,811
376,954
236,29
71,769
97,115
169,1000
343,973
651,509
286,1000
176,541
107,13000
243,418
29,423
16,623
85,664
461,935
347,780
370,337
212,3000
152,1000
89,8000
94,577
310,2000
137,530
228,949
620,15000
633,881
609,724
548,422
252,91
582,650
209,807
350,108
271,902
379,625
1004,14000
317,1000
541,1000
116,279
73,843
61,584
118,8000
1053,2000
91,641
348,706
184,11000
116,976
69,894
47,845
269,463
355,216
285,304
70,11000
569,362
524,117
414,14000
305,929
214,844
80,461
81,484
55,701
531,44
409,8000
588,107
148,642
183,861
161,5000
349,766
273,1000
182,1000
229,52
154,68
186,1000
115,202
47,116
41,623
142,141
66,611
695,660
270,1000
135,1000
259,11000
217,738
62,2000
147,48
189,849
502,845
91,1000
297,370
194,10000
303,5000
403,28
142,1000
75,268
181,956
345,971
602,437
358,530
268,923
41,558
380,815
192,726
112,828
175,3000
71,592
460,537
396,442
317,349
283,2000
265,9000
290,922
437,43
841,643
169,786
835,392
102,489
18,284
71,172
564,418
5,152
658,3000
132,312
2073,3000
153,81
125,574
235,641
751,23000
273,896
336,489
327,869
918,11000
1360,935
188,4000
236,11000
288,2000
420,449
166,923
279,575
696,349
203,50
410,869
734,157
263,869
144,2000
654,12000
277,935
200,3000
696,13000
285,899
263,984
304,11000
58,874
382,363
433,876
1732,472
422,897
215,4000
426,655
442,256
82,826
344,11000
351,698
185,2000
189,971
290,137000
355,535
411,563
197,719
211,593
139,835
209,2000
544,1000
203,980
332,903
