director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,aspect_ratio,movie_facebook_likes
Vincenzo Natali,368,165,559,David Hewlett,Sarah Polley,Splice ,79517,2222,0,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,354,English,Canada,26000000,2009,1.85,12000
Willard Huyck,81,8,322,Jeffrey Jones,Lea Thompson,Howard the Duck ,33669,3000,1,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,269,English,USA,35000000,1986,1.85,0
Gavin O'Connor,154,149,798,Rick Gonzalez,Jennifer Ehle,Pride and Glory ,53053,5101,0,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,132,English,USA,30000000,2008,1.85,0
Bruce Hunt,140,2,258,Cole Hauser,Eddie Cibrian,The Cave ,28606,2178,0,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,262,English,USA,30000000,2005,2.35,0
Rob Reiner,73,0,130,Lobo Sebastian,David Paymer,Alex & Emma ,11520,977,2,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,105,English,USA,30000000,2003,1.85,625
Paul McGuigan,98,118,40,Christopher Cousins,Jessica Paré,Wicker Park ,44979,679,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,English,USA,30000000,2004,2.35,0
Craig Gillespie,358,44,133,Reid Ewing,Grace Phipps,Fright Night ,85024,1393,1,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,242,English,USA,30000000,2011,1.85,23000
Terrence Malick,222,0,855,Michael Greyeyes,Christian Bale,The New World ,70771,27829,0,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,671,English,USA,30000000,2005,2.35,0
Chris Roberts,85,38,362,David Suchet,Saffron Burrows,Wing Commander ,14747,2497,3,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338,English,USA,30000000,1999,2.35,858
Neil Jordan,62,277,210,Aidan Quinn,Robert Downey Jr.,In Dreams ,11003,22006,0,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,148,English,USA,30000000,1999,1.85,654
James Wong,130,70,99,Texas Battle,Ian Whyte,Dragonball: Evolution ,56451,1100,0,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,524,English,USA,45000000,2009,2.35,0
Jee-woon Kim,376,419,165,James Burnett,Zach Gilford,The Last Stand ,114241,1643,2,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,258,English,USA,45000000,2013,2.35,24000
Nick Hamm,130,6,353,Cameron Bright,Robert De Niro,Godsend ,22449,23352,1,http://www.imdb.com/title/tt0335121/?ref_=fn_tt_tt_1,191,English,USA,25000000,2004,2.35,387
Andy Cadiff,65,3,120,Stark Sands,Annabella Sciorra,Chasing Liberty ,30092,842,0,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,129,English,USA,23000000,2004,2.35,0
Mike Disa,77,6,843,Phil LaMarr,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,9682,5393,0,http://www.imdb.com/title/tt0844993/?ref_=fn_tt_tt_1,38,English,USA,30000000,2011,1.85,0
Lasse Hallström,107,529,83,Camryn Manheim,Morgan Freeman,An Unfinished Life ,24033,11519,3,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,152,English,USA,30000000,2005,2.35,0
Terry Gilliam,292,0,645,Lily Cole,Andrew Garfield,The Imaginarium of Doctor Parnassus ,126307,11769,1,http://www.imdb.com/title/tt1054606/?ref_=fn_tt_tt_1,210,English,UK,40000000,2009,1.85,19000
Richard J. Lewis,193,12,329,Atom Egoyan,Mark Addy,Barney's Version ,21086,1873,2,http://www.imdb.com/title/tt1423894/?ref_=fn_tt_tt_1,87,English,Canada,,2010,2.35,0
,16,,51,Ingvar Eggert Sigurðsson,Ólafur Darri Ólafsson,Trapped             ,2308,307,0,http://www.imdb.com/title/tt3561180/?ref_=fn_tt_tt_1,19,Icelandic,Iceland,,,16.0,0
Brad Furman,184,65,681,John Heard,Justin Timberlake,Runner Runner ,52069,5706,3,http://www.imdb.com/title/tt2364841/?ref_=fn_tt_tt_1,95,English,USA,30000000,2013,2.35,0
Peter Howitt,123,29,91,Richard Roundtree,Tyler Labine,Antitrust ,25558,1297,2,http://www.imdb.com/title/tt0218817/?ref_=fn_tt_tt_1,221,English,USA,30000000,2001,2.35,0
Edward Zwick,60,380,2000,Morgan Freeman,Denzel Washington,Glory ,101888,32930,3,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,English,USA,18000000,1989,1.85,0
Sergio Leone,111,0,642,Burt Young,Robert De Niro,Once Upon a Time in America ,221000,24719,8,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,495,English,Italy,30000000,1984,1.85,12000
