director_facebook_likes,actor_3_facebook_likes,genres,content_rating,actor_2_facebook_likes,imdb_score
209,129,Drama|Music|Musical|Romance,PG-13,152,6.2
19,854,Action|Animation|Comedy|Crime|Family,PG,979,6.5
83,242,Drama|History|War,PG-13,460,8.1
87,280,Action|Crime|Drama|Thriller,R,794,6.3
148,170,Drama|Family|Music|Musical,PG,269,4.4
32,1000,Action|Thriller,R,1000,4.6
0,50,Crime|Drama|Thriller,R,67,6.0
448,83,Fantasy|Horror|Thriller,PG-13,203,7.6
0,604,Action|Adventure|Sci-Fi,R,626,8.4
165,244,Drama|Family|Musical|Romance,Approved,272,7.9
13,681,Horror|Mystery|Thriller,R,4000,5.6
42,613,Comedy,R,756,6.5
729,284,Adventure|Comedy|Drama|Romance,R,306,7.5
422,422,Comedy,R,459,6.3
0,598,Horror|Thriller,R,742,7.9
611,576,Action|Adventure|History,PG-13,643,7.9
9,503,Comedy|Drama|Family|Fantasy|Sci-Fi,PG,636,5.1
92,849,Comedy|Drama,R,886,6.7
248,968,Action|Crime|Drama|Thriller,R,988,6.7
52,298,Horror|Mystery,R,346,5.6
36,486,Comedy|Romance,R,580,5.6
364,1000,Action|Adventure|Sci-Fi,PG,10000,6.8
12,281,Comedy|Music|Romance,PG-13,357,6.2
33,583,Drama|Fantasy|Romance,PG-13,976,5.6
192,580,Horror,R,1000,6.4
39,428,Comedy,PG-13,517,5.6
51,89,Biography|Drama|Sport,PG,234,7.4
17,826,Comedy,PG-13,912,4.9
49,104,Comedy|Crime|Drama|Music|Romance,PG-13,503,6.0
36,746,Comedy|Music|Romance,PG-13,751,7.2
19,505,Comedy|Drama|Romance|Sport,PG-13,954,4.9
0,244,Crime|Drama|Thriller,R,888,7.5
11,973,Horror|Mystery|Thriller,PG-13,982,4.8
0,323,Comedy|Romance,PG-13,400,3.1
11,142,Adventure|Comedy|Family|Fantasy|Musical,G,436,5.8
847,625,Crime|Drama|Thriller,R,960,6.7
117,86,Action|Adventure|Drama|History|War,Unrated,490,6.8
201,58,Horror,R,150,6.5
80,399,Comedy|Romance,PG-13,503,5.9
80,841,Comedy|Music,PG-13,2000,5.5
22,488,Action|Adventure|Family|Sci-Fi,PG,593,3.6
8,66,Drama,PG-13,122,3.3
47,834,Action|Crime|Drama|Thriller,R,979,7.4
9,193,Biography|Drama|Romance|Sport,PG,327,6.7
3,161,Adventure|Crime|Drama|Romance,PG-13,193,3.0
168,96,Drama|Mystery|Romance|Thriller,PG-13,979,7.6
4,60,Adventure|Horror|Thriller,PG,537,6.4
541,71,Biography|Crime|Drama|Thriller,R,96,6.9
30,55,Crime|Drama|Romance|Thriller,R,287,6.6
219,215,Comedy|Mystery|Sci-Fi|Thriller,R,876,5.5
0,168,Adventure|Animation|Family|Fantasy,PG,262,6.6
22,255,Sci-Fi,PG,642,5.2
57,62,Horror|Thriller,PG-13,152,4.1
6,165,Comedy|Drama|Family|Romance,PG-13,2000,6.8
30,260,Biography|Drama|Romance,R,3000,6.5
168,96,Drama|Mystery|Romance|Thriller,PG-13,979,7.6
0,168,Crime|Drama,R,508,7.4
0,1000,Drama|Romance,PG,14000,7.7
11,281,Biography|Drama|Romance,PG,838,7.1
18,433,Comedy|Romance,PG-13,701,6.3
26,385,Drama,R,624,7.6
608,1000,Comedy|Drama,PG,1000,8.0
137,481,Comedy,PG-13,854,7.3
0,62,Comedy|Drama|Romance,R,73,7.6
0,359,Drama,R,617,7.8
480,486,Comedy,R,490,6.5
48,35,Comedy|Drama|Romance|Sport,R,255,6.4
405,628,Comedy|Drama|Romance,PG-13,897,8.0
