director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,movie_imdb_link,title_year,actor_2_facebook_likes
Scott Cooper,391,108,Benedict Cumberbatch,Biography|Crime|Drama,63769,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,2015,19000
Clint Eastwood,279,16000,Chris Bauer,Drama|History|War,24468,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,2006,638
F. Gary Gray,216,473,Leslie Bibb,Crime|Drama|Thriller,22517,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,2009,1000
Robert Rodriguez,250,0,Rosario Dawson,Action|Horror|Thriller,22186,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,2007,3000
Jonathan Demme,78,438,Kimberly Elise,Drama|History|Horror,2397,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,1998,637
Curtis Hanson,106,161,Robert Duvall,Drama|Romance|Sport,26334,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,2007,3000
Steven Spielberg,194,14000,Tom Hanks,Biography|Crime|Drama,48153,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,2002,15000
Kathryn Bigelow,558,0,Harold Perrineau,Drama|History|Thriller,2759,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,2012,1000
Peyton Reed,183,235,John Michael Higgins,Comedy|Drama|Romance,8315,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,2006,957
Phyllida Lloyd,238,58,Meryl Streep,Comedy|Family|Musical|Romance,26002,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,2008,11000
Garry Marshall,186,0,Taylor Lautner,Comedy|Romance,45696,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,2010,12000
Jay Chandrasekhar,144,422,Jessica Simpson,Action|Adventure|Comedy,2297,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,2005,534
Terrence Malick,156,0,Miranda Otto,Drama|War,1937,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,1998,568
David Dobkin,215,71,Olivia Wilde,Comedy|Fantasy,28045,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,2011,10000
Milos Forman,140,869,Gerry Becker,Biography|Comedy|Drama,209,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,1999,27
Martin Scorsese,133,17000,Don Rickles,Biography|Crime|Drama,24183,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,1995,721
Pierre Morel,203,180,Amber Rose Revah,Action|Thriller,488,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,2010,135
Paul Hunter,127,13,Mako,Action|Comedy|Fantasy,2422,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,2003,691
Bobby Farrelly,155,101,Tony Cox,Comedy,1711,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,2000,624
Steve Oedekerk,98,176,Wanda Sykes,Animation|Comedy|Family,2055,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,2006,560
John Whitesell,71,14,Jorge Garcia,Comedy|Family,5468,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,2006,1000
Chris Weitz,299,129,Kristen Stewart,Adventure|Drama|Fantasy|Romance,64040,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,2009,17000
Andrew Adamson,212,80,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,275,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,2001,50
George Nolfi,413,53,Michael Kelly,Romance|Sci-Fi|Thriller,14607,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,2011,963
Kevin Reynolds,67,58,Morgan Freeman,Action|Adventure|Drama|Romance,38518,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,1991,11000
Cameron Crowe,109,488,Kelly Preston,Comedy|Drama|Romance|Sport,12182,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,1996,743
Seth MacFarlane,457,3000,Seth MacFarlane,Comedy|Fantasy,21773,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,2012,3000
James L. Brooks,156,274,Yeardley Smith,Comedy|Drama|Romance,1474,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,1997,440
Tom Shadyac,55,293,Philip Seymour Hoffman,Biography|Comedy|Drama|Romance,74382,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,1998,22000
Adam McKay,272,285,Will Ferrell,Comedy,28176,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,2013,8000
Steven Brill,117,65,Adam Sandler,Comedy|Romance,26826,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,2002,11000
J.J. Abrams,539,14000,AJ Michalka,Mystery|Sci-Fi|Thriller,3388,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,2011,560
Steven Soderbergh,169,0,Albert Finney,Biography|Drama,10003,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,2000,883
Donald Petrie,140,80,Adam Goldberg,Comedy|Romance,14087,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,2003,1000
Phil Lord,330,97,Craig Roberts,Action|Comedy|Crime,19428,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,2014,920
Neil Jordan,120,277,Tom Cruise,Drama|Fantasy|Horror,25697,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,1994,10000
Peyton Reed,190,235,Zooey Deschanel,Comedy|Romance,29505,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,2008,11000
Rawson Marshall Thurber,177,43,Thomas Kretschmann,Action|Comedy|Crime,14569,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,2016,919
Chris Columbus,65,0,Liam Aiken,Comedy|Drama,9988,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,1998,818
Sean Anders,145,51,Linda Cardellini,Comedy|Family,10886,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,2015,2000
Rob Marshall,321,252,Meryl Streep,Adventure|Comedy|Drama|Fantasy|Musical,62837,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,2014,11000
Spike Lee,230,0,James Ransone,Crime|Drama|Mystery|Thriller,19148,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,2006,412
Brian Helgeland,143,241,Deborah Kara Unger,Action|Crime|Drama|Thriller,3148,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,1999,495
Frank Marshall,55,155,Joe Don Baker,Action|Adventure|Mystery|Sci-Fi,1761,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,1995,387
Cameron Crowe,257,488,Matt Damon,Comedy|Drama|Family,36873,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,2011,13000
Alex Proyas,279,295,Ben Mendelsohn,Drama|Mystery|Sci-Fi|Thriller,13421,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,2009,748
