director_name,director_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,movie_facebook_likes
Mary Lambert,52,969,Fantasy|Horror,Pet Sematary ,63855,0,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,English,USA,1989,886,0
Akira Kurosawa,0,15,Drama,Madadayo ,3466,0,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,Japanese,Japan,1993,6,355
Jamie Thraves,2,680,Drama|Thriller,The Cry of the Owl ,3737,2,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,English,UK,2009,544,443
Mabel Cheung,3,215,Drama,A Tale of Three Cities ,117,1,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,Chinese,China,2015,27,4
Joe Dante,287,767,Comedy|Fantasy|Horror,Gremlins ,142293,0,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,English,USA,1984,281,14000
George Lucas,0,11000,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode IV - A New Hope ,911097,1,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,English,USA,1977,1000,33000
Dan Mazer,11,22000,Comedy,Dirty Grandpa ,49671,1,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,English,USA,2016,851,11000
David Lean,767,597,Drama|Romance|War,Doctor Zhivago ,55816,2,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,English,USA,1965,396,7000
Stephen Daldry,335,585,Adventure|Crime|Drama|Mystery|Thriller,Trash ,14437,0,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,Portuguese,UK,2014,68,0
Kenny Ortega,197,755,Comedy|Drama|Family|Music|Musical|Romance,High School Musical 3: Senior Year ,43795,1,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,English,USA,2008,734,0
David O. Russell,737,23000,Biography|Drama|Sport,The Fighter ,275869,2,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,English,USA,2010,238,36000
