director_name,duration,director_facebook_likes,genres,facenumber_in_poster,num_user_for_reviews,budget
Michael Hoffman,118,97,Drama|Romance,0,99,26000000
Mick Jackson,129,81,Action|Drama|Music|Romance,0,126,25000000
Steven Spielberg,185,14000,Biography|Drama|History,0,1273,22000000
Tate Taylor,146,150,Drama,2,460,25000000
Bill Condon,128,386,Biography|Drama|Thriller,1,105,28000000
Raja Gosnell,93,67,Adventure|Comedy|Family|Fantasy|Horror|Mystery,0,149,80000000
Oleg Stepchenko,107,0,Adventure|Fantasy|Mystery|Thriller,1,18,26000000
Ronny Yu,97,31,Action|Horror|Thriller,0,885,30000000
Michael Winterbottom,101,187,Drama,2,25,
John A. Davis,82,8,Action|Adventure|Animation|Comedy|Family|Sci-Fi,0,118,30000000
Matt Reeves,85,198,Action|Adventure|Horror|Sci-Fi,0,2192,25000000
Michael Pressman,88,34,Action|Adventure|Comedy|Family|Sci-Fi,0,93,25000000
Brian De Palma,119,0,Crime|Drama|Thriller,1,418,25000000
Ethan Coen,122,1000,Crime|Drama|Thriller,0,1518,25000000
Tim Story,99,167,Action|Comedy|Crime|Romance,1,109,25000000
Sharon Maguire,97,11,Comedy|Drama|Romance,3,571,26000000
Lasse Hallström,121,529,Drama|Romance,1,498,25000000
Charles Herman-Wurmfeld,95,0,Comedy,2,297,45000000
Andy Fickman,105,99,Comedy|Family,5,107,25000000
Ivan Reitman,108,425,Comedy|Romance,1,178,25000000
George P. Cosmatos,134,170,Action|Biography|Drama|History|Romance|Western,0,439,25000000
Andrzej Bartkowiak,115,43,Action|Crime|Thriller,1,365,25000000
Richard Donner,107,503,Fantasy|Horror|Mystery,2,310,2800000
James Wong,86,70,Horror,0,571,25000000
Scott Hicks,101,96,Drama|Romance,0,106,25000000
Gabor Csupo,96,47,Adventure|Drama|Family|Fantasy,3,522,17000000
Marc Forster,101,395,Biography|Drama|Family,1,632,25000000
Tyler Perry,100,0,Comedy|Drama,0,27,25000000
Joe Carnahan,117,248,Action|Adventure|Drama|Thriller,1,755,25000000
John Polson,101,21,Drama|Horror|Mystery|Thriller,0,450,30000000
Adam McKay,98,285,Comedy,5,577,26000000
Martin Scorsese,146,17000,Biography|Crime|Drama,3,989,25000000
Harald Zwart,102,91,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,3,104,26000000
Kirk Jones,97,52,Comedy|Family|Fantasy,0,181,25000000
Brian De Palma,142,0,Crime|Drama,0,851,25000000
Steve Oedekerk,98,176,Action|Adventure|Comedy|Crime,2,92,25000000
Bernardo Bertolucci,219,973,Biography|Drama|History,0,133,23000000
Baltasar Kormákur,109,175,Action|Crime|Drama|Thriller,3,161,25000000
Brett Ratner,97,420,Action|Comedy|Crime|Thriller,2,41,25000000
Paul Thomas Anderson,158,0,Drama,0,1107,25000000
Cathy Malkasian,85,0,Adventure|Animation|Comedy|Family|Fantasy,0,33,25000000
John Eng,80,0,Adventure|Animation|Comedy|Family|Fantasy|Musical,0,35,25000000
Malcolm D. Lee,86,92,Action|Comedy,3,179,25000000
Ken Kwapis,119,42,Comedy|Drama|Family|Romance,0,223,25000000
Chris Nahon,98,20,Action|Crime|Drama|Thriller,1,254,25000000
Fred Wolf,97,29,Comedy|Romance,1,126,25000000
Bille Woodruff,105,23,Comedy,1,59,
Craig Gillespie,124,44,Biography|Drama|Sport,0,96,25000000
Phillip Noyce,97,176,Drama|Romance|Sci-Fi,3,260,25000000
Dennie Gordon,105,29,Comedy|Drama|Family|Romance,1,194,20000000
Victor Salva,104,108,Horror,0,316,17000000
Mark Helfrich,101,7,Comedy|Romance,1,150,25000000
Andrzej Bartkowiak,101,43,Action|Crime|Drama|Thriller,2,185,30000000
Stephen Daldry,114,335,Drama|Romance,3,660,25000000
Andy Fickman,105,99,Comedy|Romance,0,261,20000000
Steve Bendelack,90,68,Comedy|Family,0,235,25000000
Dwight H. Little,97,27,Action|Adventure|Horror|Thriller,0,144,25000000
Guillaume Canet,144,0,Crime|Drama|Thriller,6,41,25500000
Kirsten Sheridan,114,59,Drama|Music,0,364,30000000
Shekhar Kapur,124,159,Biography|Drama|History,1,409,25000000
Ronny Yu,89,31,Comedy|Fantasy|Horror|Romance,0,292,25000000
Richard Fleischer,160,130,Action|Drama|History|War,0,159,25000000
Bob Spiers,93,14,Comedy|Family|Music,1,261,25000000
David Gordon Green,87,234,Comedy,3,114,
Damien Dante Wayans,88,82,Action|Comedy|Music,0,50,25000000
Frank Darabont,142,0,Crime|Drama,0,4144,25000000
Simon Wincer,92,23,Adventure|Comedy|Crime,0,119,21150000
Bobby Farrelly,117,101,Comedy|Sport,2,185,27000000
Rupert Wyatt,111,81,Crime|Drama|Thriller,1,145,25000000
John Wells,121,53,Drama,3,285,25000000
Tim Fywell,98,3,Comedy|Drama|Family|Sport,2,81,
Nigel Cole,107,13,Comedy|Drama|Romance,3,161,30000000
Dexter Fletcher,106,452,Biography|Comedy|Drama|Sport,3,119,23000000
Spike Lee,136,0,Drama|Sport,0,109,25000000
Jeremy Leven,97,19,Comedy|Drama|Romance,3,117,25000000
,7,,Animation|Comedy|Family,0,12,
Lasse Hallström,108,529,Drama|Romance|War,,186,25000000
Sylvain White,97,41,Action|Crime|Drama|Mystery|Thriller,1,165,25000000
Troy Nixey,99,24,Fantasy|Horror|Thriller,1,250,25000000
Philip G. Atwell,103,5,Action|Crime|Thriller,0,166,25000000
Paul Thomas Anderson,95,0,Comedy|Drama|Romance|Thriller,0,888,25000000
Jeff Schaffer,93,17,Comedy,5,316,25000000
Don Michael Paul,98,70,Action|Crime|Thriller,0,132,13000000
Paul Feig,90,176,Adventure|Comedy|Family|Romance,1,56,26000000
James Bridges,107,21,Drama,0,37,25000000
Steve Barron,90,48,Adventure|Family|Fantasy|Musical,2,22,25000000
Bill Paxton,120,0,Drama|History|Sport,1,106,
Richard Kelly,115,219,Drama|Fantasy|Mystery|Thriller,1,376,16000000
Carter Smith,93,27,Horror,0,351,8000000
John Schlesinger,99,154,Comedy|Drama|Romance,1,162,25000000
Wes Craven,107,0,Horror|Mystery|Thriller,2,136,25000000
Luke Greenfield,110,42,Comedy|Drama|Romance,2,513,25000000
Ringo Lam,101,17,Action|Crime|Mystery|Romance|Thriller,1,68,25000000
Bruce McCulloch,85,54,Comedy|Crime,1,92,25000000
Brian Helgeland,132,241,Biography|Crime|Drama|History|Thriller,2,174,30000000
Akiva Schaffer,88,82,Comedy,5,149,
David R. Ellis,90,160,Horror|Thriller,0,130,25000000
Alan Parker,145,317,Drama,1,163,25000000
Ivan Reitman,110,425,Drama|Sport,1,113,25000000
Tobe Hooper,101,365,Action|Horror|Sci-Fi|Thriller,0,189,25000000
,30,,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,0,60,
Robert Redford,122,0,Crime|Drama|History,0,135,25000000
Catherine Hardwicke,107,308,Biography|Drama|Sport,0,194,25000000
Patricia Riggen,127,36,Biography|Drama|History,7,56,26000000
John Carpenter,99,0,Action|Adventure|Comedy|Fantasy,1,331,25000000
Pascal Chaumeil,104,8,Comedy|Romance,2,11,17000000
Gavin O'Connor,140,149,Drama|Sport,1,514,25000000
Neil Jordan,133,277,Biography|Drama|Thriller|War,2,93,28000000
Ron Maxwell,271,33,Drama|History|War,0,256,25000000
Kimberly Peirce,112,108,Drama|War,2,99,25000000
Stephen Gaghan,99,79,Drama|Music|Mystery|Romance|Thriller,3,157,25000000
