num_critic_for_reviews,genres,actor_3_name,budget,actor_2_facebook_likes
242,Drama|Romance|Sci-Fi,Flint Beverage,100000,399
48,Thriller,Christopher Heyerdahl,,1000
38,Crime|Drama|Thriller,Melvin Van Peebles,500000,535
,Drama,Sienna Beckman,200000,54
91,Comedy|Drama|Romance,Ron Rifkin,150000,346
232,Drama|Music|Romance,Darren Healy,180000,96
18,Comedy,Max Kerstein,1200000,23
29,Documentary,Simon Baron-Cohen,160000,2
44,Horror,Kate Ashfield,,204
2,Action|Drama|Sport,Lia Tucker,,36
277,Horror|Thriller,Marilyn Burns,83532,371
43,Animation|Comedy|Family,Christopher Shea,150000,36
5,Adventure|Documentary,Mike Brett,150000,0
16,Documentary,Kayden Kross,150000,366
18,Documentary,Michael Landers,150000,0
40,Documentary,Bob Eubanks,160000,91
130,Fantasy|Horror|Thriller,John Heard,18000000,782
3,Drama,Samantha Esteban,125000,180
136,Drama|Mystery|Sci-Fi|Thriller,Constance Wu,,119
,Documentary|Family,,125000,
12,Documentary|War,,120000,
171,Comedy|Drama,Mel Eslyn,125000,128
,Romance,,125000,0
8,Comedy,Paul McGillion,120000,686
8,Comedy,Paul McGillion,120000,686
284,Drama|Horror|Mystery,S. William Hinzman,114000,108
36,Drama,Rita Maiden,120000,7
21,Biography|Drama,Aunjanue Ellis,10000000,664
1,Comedy,Christopher Robin Miller,103000,81
31,Drama|Sport,Shannen Fields,100000,150
159,Horror|Thriller,Reese Mishler,100000,40
