director_facebook_likes,genres,movie_imdb_link,language,aspect_ratio,movie_facebook_likes
14000,Drama|Sci-Fi,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,English,2.35,0
2,Drama|Horror|Sci-Fi|Thriller,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,English,2.35,0
12000,Action|Comedy|Crime|Thriller,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,English,2.35,0
163,Comedy,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,English,2.35,800
438,Crime|Drama|Horror|Thriller,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,English,1.85,40000
122,Comedy|Music,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,English,1.85,0
79,Action|Comedy|Documentary,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,English,1.78,0
82,Adventure|Horror|Thriller,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,English,2.35,0
67,Adventure|Comedy|Drama|Family|Romance,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,English,2.35,0
0,Horror|Mystery|Thriller,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,English,2.35,131000
32,Adventure|Comedy|Family|Romance,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,English,1.85,773
265,Comedy,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,English,1.85,11000
154,Drama|Mystery|Thriller,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,English,1.85,0
0,Comedy|Music,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,English,1.85,0
545,Action|Adventure|Fantasy|Sci-Fi|Thriller,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,English,1.85,0
118,Drama|Mystery|Romance|Thriller,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,English,2.35,0
322,Comedy|Crime,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,English,1.85,0
729,Comedy|Drama,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,English,2.35,22000
99,Adventure|Comedy|Drama|Family|Mystery,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,English,1.85,0
30,Drama|Family|Music|Romance,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,English,2.35,10000
0,Biography|Drama|History,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,English,2.35,83000
30,Comedy|Drama|Music|Romance,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,English,2.35,2000
0,Comedy|Drama|Romance,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,English,1.85,0
13000,Fantasy|Romance,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,English,1.85,16000
17,Drama|Romance,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,English,2.35,51000
0,Comedy|Crime|Drama,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,English,1.85,0
607,Action|Crime|Drama|Thriller,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,English,1.85,0
24,Comedy,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,English,,18000
64,Comedy|Romance,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,English,1.85,806
2,Adventure|Animation|Family|Fantasy,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,English,1.66,302
151,Biography|Drama|History,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,English,2.35,22000
0,Adventure|Animation|Family|Musical,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,English,1.85,227
19,Drama|Horror|Mystery|Thriller,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,English,1.85,1000
9,Drama|Mystery|Thriller,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,English,2.35,0
25,Animation|Comedy|Drama|Family|Musical,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,English,1.78,347
174,Horror|Mystery|Thriller,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,English,1.85,20000
132,Adventure|Family,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,English,2.35,33000
,Comedy,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,English,1.85,211
82,Adventure|Comedy,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,English,1.85,0
468,Adventure|Fantasy,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,English,2.35,0
310,Biography|Crime|Drama|History,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,English,1.85,80000
119,Crime|Drama|Thriller,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,English,2.35,0
70,Horror|Thriller,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,English,1.85,930
8,Comedy|Drama|Romance,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,English,1.85,0
12,Adventure|Comedy|Fantasy|Music|Sci-Fi,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,English,1.85,0
272,Comedy|Drama|Romance|Thriller,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,English,2.35,0
20,Action|Sci-Fi,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,English,2.35,4000
210,Crime|Drama|Thriller,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,English,2.35,10000
16,Biography|Drama|Music,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,English,2.35,0
82,Comedy,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,English,1.85,16000
0,Drama,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,English,1.85,0
189,Comedy|Drama,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,English,2.35,14000
53,Drama|Mystery,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,English,1.85,0
406,Action|Comedy,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,English,2.35,0
34,Horror|Thriller,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,English,2.35,16000
36,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,English,2.35,0
92,Comedy,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,English,1.85,13000
32,Comedy|Drama|Musical|Romance|Western,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,English,2.35,0
835,Biography|Drama|History,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,English,1.85,10000
58,Action|Adventure|Drama|Mystery,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,English,2.35,21000
