num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
98,789,Jeff Kober,970,39177215,Crime|Drama|Thriller,Bill Cobbs,Enough ,30667,3770,Billy Campbell,234,English,USA,PG-13,38000000,919,5.6,2.35
116,692,Anne Bancroft,931,40334024,Comedy|Crime|Romance,Sarah Silverman,Heartbreakers ,44168,2912,Jeffrey Jones,216,English,USA,PG-13,35000000,754,6.2,2.35
76,377,Daniella Alonso,598,71038190,Action|Comedy|Crime,D.B. Woodside,Paul Blart: Mall Cop 2 ,23473,3552,Eduardo Verástegui,123,English,USA,PG,30000000,557,4.4,1.85
106,280,Shirley Knight,308,24044532,Drama|Romance,Sonia Braga,Angel Eyes ,19686,1440,Kari Matchett,180,English,USA,R,38000000,285,5.6,1.85
55,466,Ken Marino,854,22770864,Comedy|Drama,Jim Belushi,Joe Somebody ,8433,2765,Kelly Lynch,85,English,USA,PG,38000000,543,5.5,1.85
172,541,Frank Langella,40000,18653746,Mystery|Thriller,Johnny Depp,The Ninth Gate ,137722,42344,Lena Olin,638,English,Spain,R,38000000,903,6.7,2.35
47,182,Paul Guilfoyle,24000,17305211,Crime|Drama|Mystery|Thriller,J.K. Simmons,Extreme Measures ,14066,24547,Bill Nunn,75,English,USA,R,38000000,210,6.1,2.35
107,108,Dagmara Dominczyk,628,16991902,Drama|Music,Beth Grant,Rock Star ,34592,1265,Matthew Glave,191,English,USA,R,57000000,316,6.2,2.35
323,736,Gabourey Sidibe,940,47536959,Drama,Mo'Nique,Precious ,86955,3277,Mariah Carey,275,English,USA,R,10000000,906,7.3,1.85
37,982,Jason Marsden,12000,10300000,Adventure|Drama,Jeff Bridges,White Squall ,17859,16237,Ethan Embry,89,English,USA,PG-13,38000000,1000,6.6,2.35
297,145,Richard Masur,957,13782838,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,258078,1757,David Clennon,911,English,USA,R,15000000,163,8.2,2.35
302,904,Nolan Gerard Funk,14000,41997790,Action|Sci-Fi|Thriller,Vin Diesel,Riddick ,125305,17551,Bokeem Woodbine,343,English,USA,R,38000000,924,6.4,2.35
38,12,Claudia Stedelin,37,6482195,Crime|Mystery|Thriller,Gregory Scott Cummins,Switchback ,9740,74,Ted Markland,81,English,USA,R,37000000,12,6.4,2.35
31,427,Usher Raymond,1000,623374,Action|Adventure|Drama|Thriller|Western,Tom Skerritt,Texas Rangers ,4757,2120,Leonor Varela,67,English,USA,PG-13,38000000,569,5.2,2.35
118,260,Toby Jones,13000,7871693,Adventure|Family|Fantasy|Sci-Fi,Bill Murray,City of Ember ,52908,15494,Harry Treadaway,102,English,USA,PG,55000000,2000,6.5,2.35
546,15,Jeffrey W. Jenkins,378,16377274,Drama,Mike Howard,The Master ,105144,427,Bruce Goodchild,405,English,USA,R,32000000,18,7.1,1.85
21,217,Ryan Cartwright,4000,,Adventure|Comedy|History|Romance,Hayden Christensen,Virgin Territory ,6691,4900,David Walliams,28,English,Italy,R,38000000,476,4.8,1.85
86,534,Nicole Beharie,2000,9589875,Biography|Drama|Sport,Dennis Quaid,The Express ,16673,5162,Charles S. Dutton,45,English,USA,PG,40000000,898,7.3,2.35
194,724,Maggie Siff,17000,34912982,Action|Adventure|Sci-Fi|Thriller,Chloë Grace Moretz,The 5th Wave ,55617,19974,Nick Robinson,266,English,USA,PG-13,38000000,1000,5.2,2.35
437,531,Phylicia Rashad,13000,109712885,Drama|Sport,Sylvester Stallone,Creed ,146708,15106,Graham McTavish,362,English,USA,PG-13,35000000,597,7.7,2.35
378,206,Jon Hamm,10000,92173235,Crime|Drama|Thriller,Jeremy Renner,The Town ,280228,14296,Owen Burke,420,English,USA,R,37000000,4000,7.6,2.35
170,651,Dennis Quaid,10000,41102171,Comedy|Drama|Romance,Anna Kendrick,What to Expect When You're Expecting ,57266,13396,Thomas Lennon,89,English,USA,PG-13,40000000,2000,5.7,2.35
341,681,Brad Pitt,24000,60338891,Comedy|Drama,J.K. Simmons,Burn After Reading ,248468,36093,Kevin Sussman,545,English,USA,R,37000000,11000,7.0,1.85
139,35,Anthony Simcoe,18000,48006503,Adventure|Comedy|Family|Fantasy,Gerard Butler,Nim's Island ,28109,18178,Christopher James Baker,110,English,USA,PG,37000000,82,6.0,2.35
393,471,Olivia Wilde,26000,26903709,Action|Biography|Drama|Sport,Chris Hemsworth,Rush ,312629,37206,Alexandra Maria Lara,475,English,UK,R,38000000,10000,8.1,2.35
224,272,Neil Flynn,786,22450975,Drama,Patton Oswalt,Magnolia ,241030,1906,Jim Meskimen,1437,English,USA,R,37000000,625,8.0,2.35
203,574,Tracy Morgan,13000,44867349,Action|Comedy|Crime,Bruce Willis,Cop Out ,75347,14483,Kevin Pollak,176,English,USA,R,37000000,642,5.6,2.35
148,591,Damon Wayans Jr.,2000,46813366,Comedy|Romance,Alison Brie,How to Be Single ,39440,4882,Nicholas Braun,83,English,USA,R,38000000,756,6.1,2.35
131,631,Michael Roark,11000,72279690,Drama|Family,Morgan Freeman,Dolphin Tale ,17948,14209,Harry Connick Jr.,86,English,USA,PG,37000000,680,6.9,1.85
350,10000,Taylor Lautner,17000,191449475,Drama|Fantasy|Romance,Kristen Stewart,Twilight ,348007,44060,Anna Kendrick,1535,English,USA,PG-13,37000000,12000,5.2,2.35
129,644,Laura Harring,18000,71026631,Crime|Drama|Thriller,Denzel Washington,John Q ,98899,20970,Anne Heche,394,English,USA,PG-13,36000000,669,7.0,1.85
40,405,Dave Chappelle,789,68208190,Action|Comedy|Crime|Thriller,Peter Greene,Blue Streak ,60572,2986,Tamala Jones,144,English,USA,PG-13,65000000,744,6.3,1.85
