director_name,duration,actor_3_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,plot_keywords,language,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Walt Becker,94,583,21005329,Ryan Reynolds,89128,19341,college|love|party|reporter|tuition,English,R,6000000,2002,876,6.4,1.85,0
Darren Aronofsky,109,120,26236603,Mark Margolis,251349,1582,heart attack|stripper|supermarket|wrestler|wrestling,English,R,6000000,2008,245,7.9,2.35,10000
King Vidor,144,332,20400000,Joseph Cotten,6304,2037,box office hit|half breed|infidelity|shooting|texas,English,Unrated,8000000,1946,436,6.9,1.37,403
Christopher Guest,90,658,18621249,John Michael Higgins,45859,4611,dog show|gay|gay character|gay couple|gay interest,English,PG-13,6000000,2000,925,7.5,1.85,0
John Carpenter,106,381,25244700,Donald Pleasence,91017,2270,1990s|police|prison|rescue|year 1997,English,R,6000000,1981,602,7.2,2.35,0
Spike Lee,121,182,14545844,Tisha Campbell-Martin,4756,1284,beauty salon|black college|college|fraternity|sorority,English,R,6500000,1988,282,5.8,1.85,624
Fred Savage,89,405,13235267,Lochlyn Munro,12339,1752,competition|estranged father|skunk|summer camp|wall,English,PG,6000000,2007,484,2.9,1.85,256
Sammo Kam-Bo Hung,86,64,12674183,Sammo Kam-Bo Hung,19774,773,chef|cook|drugs|gang|reporter,English,PG-13,,1997,155,6.2,2.35,355
Christopher Guest,91,345,17508936,Michael McKean,22408,1660,concert|mockumentary|musician|new york city|singer,English,PG-13,,2003,378,7.3,1.85,0
Donald Petrie,104,658,12793213,Julia Roberts,18286,10430,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,English,R,6000000,1988,960,6.2,1.85,0
,,502,,Jim Broadbent,9277,4528,male frontal nudity|male nudity|tv mini series,English,TV-14,,,888,8.2,16.0,11000
Peter Howitt,99,161,11883495,Jeanne Tripplehorn,52805,1462,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,English,R,9000000,1998,427,6.8,1.85,0
Rusty Cundieff,98,360,11797927,Corbin Bernsen,4582,3221,child abuse|death|drugs|ku klux klan|police brutality,English,R,6000000,1995,475,6.1,1.85,985
Kevin Macdonald,121,25,17605861,David Oyelowo,145580,1184,1970s|assassination|doctor|scottish|ugandan,English,R,6000000,2006,149,7.7,2.35,0
Dominique Othenin-Girard,96,120,11642254,Donald Pleasence,22929,1308,cat|halloween|kitten|michael myers|psychotronic,English,X,3000000,1989,256,5.2,1.85,926
Richard Linklater,99,84,9203192,Matthew McConaughey,45396,11328,funeral|stockbroker|texas|vacation|widow,English,PG-13,5000000,2011,106,6.8,1.85,15000
Jean-Jacques Mantello,42,,7518876,Charlotte Rampling,172,844,3d in title|animal in title|digit in title|dolphin|manatee,English,,6000000,2008,0,6.5,1.78,28
Ed Harris,122,221,8596914,John Heard,23023,1517,1940s|artist|drinking|life magazine|painter,English,R,6000000,2000,394,7.0,1.85,0
Risa Bramon Garcia,101,612,6851636,Janeane Garofalo,13010,2697,bartender|friend|new year's eve|party|punk,English,R,6000000,1999,744,5.9,1.85,0
Brian Klugman,102,10000,11434867,J.K. Simmons,59637,51355,american in paris|book|love|novel|writer,English,PG-13,6000000,2012,14000,7.1,1.85,21000
Matt Piedmont,84,546,5895238,Will Ferrell,17169,10123,absurd humor|drug lord|mexico|ranch|spaghetti western,Spanish,R,6000000,2012,806,5.5,2.35,9000
Raymond De Felitta,104,130,6670712,Ezra Miller,27301,3825,anger|family reunion|father son reunion|hugging|movie making,English,PG-13,6000000,2009,591,7.4,1.85,0
John Michael McDonagh,96,28,5359774,Don Cheadle,64794,3569,boat on fire|drug smuggling|fbi|fbi agent|small town,English,R,6000000,2011,482,7.3,2.35,17000
Deb Hagan,94,664,4693919,Drake Bell,11011,4484,college|face slap|high school|loss of virginity|pierced nipple,English,R,6500000,2008,1000,4.6,1.85,422
Sofia Coppola,90,826,4859475,Kirsten Dunst,116910,7103,catholic|five sisters|isolation|school|suicide,English,R,6000000,1999,899,7.2,1.85,0
Mark Herman,97,286,4595000,Jim Broadbent,13892,2103,mother|recluse|shy|singer|talent,English,R,,1998,497,7.0,1.85,915
Zach Cregger,90,263,4542775,Hugh M. Hefner,18313,1831,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,English,R,6000000,2009,308,5.1,1.85,985
Zach Braff,106,379,3588432,Jim Parsons,29341,18947,actor|dream sequence|genius recluse|jew|religion,English,R,6000000,2014,1000,6.7,2.35,0
Mark Tarlov,96,353,4394936,Sarah Michelle Gellar,11439,5668,chef|female chef|love|magic|restaurant,English,PG-13,6000000,1999,812,5.3,2.35,901
